,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2021-01-04,3764.610107,3769.98999,3662.709961,3700.649902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3803.790039,3803.790039
1,2021-01-05,3698.02002,3737.830078,3695.070068,3726.860107,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3803.790039,3803.790039
2,2021-01-06,3712.199951,3783.040039,3705.340088,3748.139893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3803.790039,3803.790039
3,2021-01-07,3764.709961,3811.550049,3764.709961,3803.790039,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3803.790039,3803.790039
4,2021-01-08,3815.050049,3826.689941,3783.600098,3824.679932,1,Holding,0.0,0.0,0.0,20.88989300000003,20.88989300000003,1,0.0,0.5491862796268295,0.5491862796268295,3803.790039,3824.679932
5,2021-01-11,3803.139893,3817.860107,3789.02002,3799.610107,0,Holding,0.0,0.0,0.0,-4.179932000000008,-4.179932000000008,2,0.0,-0.1098886099690953,-0.1098886099690953,3803.790039,3799.610107
6,2021-01-12,3801.620117,3810.780029,3776.51001,3801.189941,1,Holding,0.0,0.0,0.0,-2.600097999999889,-2.600097999999889,3,0.0,-0.06835545530487386,-0.06835545530487386,3803.790039,3801.189941
7,2021-01-13,3802.22998,3820.959961,3791.5,3809.840088,0,Holding,0.0,0.0,0.0,6.0500489999999445,6.0500489999999445,4,0.0,0.15905317953854456,0.15905317953854456,3803.790039,3809.840088
8,2021-01-14,3814.97998,3823.600098,3792.860107,3795.540039,0,sell,-15.06005899999991,-0.3959224574855645,0.0,-8.25,-8.25,0,0.0,-0.2168889427495554,-0.2168889427495554,3803.790039,3795.540039
9,2021-01-15,3788.72998,3788.72998,3749.620117,3768.25,0,No action,0.0,0.0,-15.06005899999991,0.0,-15.06005899999991,0,-0.3959224574855645,0.0,-0.3959224574855645,3788.72998,3788.72998
10,2021-01-19,3781.879883,3804.530029,3780.370117,3798.909912,0,No action,0.0,0.0,-15.06005899999991,0.0,-15.06005899999991,0,-0.3959224574855645,0.0,-0.3959224574855645,3788.72998,3788.72998
11,2021-01-20,3816.219971,3859.75,3816.219971,3851.850098,0,No action,0.0,0.0,-15.06005899999991,0.0,-15.06005899999991,0,-0.3959224574855645,0.0,-0.3959224574855645,3788.72998,3788.72998
12,2021-01-21,3857.459961,3861.449951,3845.050049,3853.070068,0,No action,0.0,0.0,-15.06005899999991,0.0,-15.06005899999991,0,-0.3959224574855645,0.0,-0.3959224574855645,3788.72998,3788.72998
13,2021-01-22,3844.23999,3852.310059,3830.409912,3841.469971,1,Buy,0.0,0.0,-15.06005899999991,0.0,-15.06005899999991,0,-0.3959224574855645,0.0,-0.3959224574855645,3788.72998,3788.72998
14,2021-01-25,3851.679932,3859.22998,3797.159912,3855.360107,0,Holding,0.0,0.0,-15.06005899999991,13.890135999999984,-1.169922999999926,1,-0.3959224574855645,0.3651656862651557,-0.030756771220408735,3788.72998,3802.620116
15,2021-01-26,3862.959961,3870.899902,3847.780029,3849.620117,1,Holding,0.0,0.0,-15.06005899999991,8.15014599999995,-6.9099129999999604,2,-0.3959224574855645,0.2142638241447887,-0.18165863334077573,3788.72998,3796.880126
16,2021-01-27,3836.830078,3836.830078,3732.47998,3750.77002,1,Holding,0.0,0.0,-15.06005899999991,-90.69995100000006,-105.76000999999997,3,-0.3959224574855645,-2.384462603615332,-2.7803850611008962,3788.72998,3698.030029
17,2021-01-28,3755.75,3830.5,3755.75,3787.379883,1,Holding,0.0,0.0,-15.06005899999991,-54.09008799999992,-69.15014699999983,4,-0.3959224574855645,-1.4220050908545934,-1.8179275483401578,3788.72998,3734.639892
18,2021-01-29,3778.050049,3778.050049,3694.120117,3714.23999,0,Holding,0.0,0.0,-15.06005899999991,-127.22998099999995,-142.29003999999986,5,-0.3959224574855645,-3.344821341228607,-3.740743798714172,3788.72998,3661.499999
19,2021-02-01,3731.169922,3784.320068,3725.620117,3773.860107,1,Holding,0.0,0.0,-15.06005899999991,-67.60986400000002,-82.66992299999993,6,-0.3959224574855645,-1.7774341724122702,-2.1733566298978344,3788.72998,3721.120116
20,2021-02-02,3791.840088,3843.090088,3791.840088,3826.310059,0,Holding,0.0,0.0,-15.06005899999991,-15.159912000000077,-30.219970999999987,7,-0.3959224574855645,-0.3985475498007654,-0.7944700072863298,3788.72998,3773.570068
21,2021-02-03,3840.27002,3847.51001,3816.679932,3830.169922,0,sell,-4.81005899999991,-0.1252140205783717,-15.06005899999991,-11.300048999999944,-26.360107999999855,0,-0.3959224574855645,-0.29707341583371616,-0.6929958733192806,3788.72998,3777.429931
22,2021-02-04,3836.659912,3872.419922,3836.659912,3871.73999,1,Buy,0.0,0.0,-19.87011799999982,0.0,-19.87011799999982,0,-0.5223768345853177,0.0,-0.5223768345853177,3783.919921,3783.919921
23,2021-02-05,3878.300049,3894.560059,3874.929932,3886.830078,1,Holding,0.0,0.0,-19.87011799999982,15.090087999999923,-4.780029999999897,1,-0.5223768345853177,0.3967119069476044,-0.1256649276377133,3783.919921,3799.010009
24,2021-02-08,3892.590088,3915.77002,3892.590088,3915.590088,1,Holding,0.0,0.0,-19.87011799999982,43.85009799999989,23.97998000000007,2,-0.5223768345853177,1.1528001690526506,0.6304233344673331,3783.919921,3827.770019
25,2021-02-09,3910.48999,3918.350098,3902.639893,3911.22998,1,Holding,0.0,0.0,-19.87011799999982,39.489990000000034,19.619872000000214,3,-0.5223768345853177,1.0381748097321846,0.5157979751468668,3783.919921,3823.409911
26,2021-02-10,3920.780029,3931.5,3884.939941,3909.879883,1,Holding,0.0,0.0,-19.87011799999982,38.13989300000003,18.26977500000021,4,-0.5223768345853177,1.0026813417395362,0.4803045071542186,3783.919921,3822.059814
