,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-03,15732.5,15832.799805,15644.089844,15832.799805,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
1,2022-01-04,15852.139648,15852.139648,15512.410156,15622.719727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
2,2022-01-05,15547.160156,15586.299805,15095.179688,15100.169922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
3,2022-01-06,15024.150391,15198.450195,14914.870117,15080.860352,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
4,2022-01-07,15095.719727,15171.019531,14877.629883,14935.900391,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
5,2022-01-10,14751.780273,14953.849609,14530.230469,14942.830078,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
6,2022-01-11,14919.259766,15158.709961,14837.629883,15153.450195,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
7,2022-01-12,15263.099609,15319.030273,15117.290039,15188.389648,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
8,2022-01-13,15245.040039,15259.709961,14782.240234,14806.80957,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
9,2022-01-14,14708.019531,14897.679688,14689.429688,14893.75,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
10,2022-01-18,14681.830078,14740.540039,14482.94043,14506.900391,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
11,2022-01-19,14582.219727,14658.889648,14331.650391,14340.259766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
12,2022-01-20,14462.849609,14642.030273,14140.780273,14154.019531,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
13,2022-01-21,14046.219727,14171.719727,13764.240234,13768.919922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
14,2022-01-24,13481.5,13876.610352,13094.650391,13855.129883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
15,2022-01-25,13610.870117,13781.620117,13414.139648,13539.290039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
16,2022-01-26,13871.769531,14002.650391,13392.19043,13542.120117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
17,2022-01-27,13710.990234,13765.910156,13322.660156,13352.780273,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
18,2022-01-28,13436.709961,13771.910156,13236.55957,13770.570313,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
19,2022-01-31,13812.19043,14242.900391,13767.709961,14239.879883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
20,2022-02-01,14277.429688,14358.69043,14070.769531,14346.0,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
21,2022-02-02,14494.469727,14504.820313,14264.650391,14417.549805,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
22,2022-02-03,14045.830078,14207.889648,13851.740234,13878.820313,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
23,2022-02-04,13958.480469,14222.759766,13850.389648,14098.009766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
24,2022-02-07,14118.790039,14236.30957,13974.099609,14015.669922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
25,2022-02-08,13984.429688,14226.480469,13934.780273,14194.450195,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
26,2022-02-09,14368.160156,14490.719727,14330.870117,14490.370117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
27,2022-02-10,14228.679688,14509.55957,14118.200195,14185.639648,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
28,2022-02-11,14213.620117,14246.700195,13733.160156,13791.150391,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
29,2022-02-14,13768.969727,13921.709961,13664.759766,13790.919922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
30,2022-02-15,13997.179688,14142.490234,13976.290039,14139.759766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
31,2022-02-16,14038.919922,14163.730469,13931.990234,14124.089844,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
32,2022-02-17,14004.19043,14020.820313,13704.700195,13716.719727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
33,2022-02-18,13735.400391,13762.400391,13465.55957,13548.070313,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13548.070313,13548.070313
34,2022-02-22,13424.360352,13618.719727,13249.650391,13381.519531,1,Holding,0.0,0.0,0.0,-166.55078200000025,-166.55078200000025,1,0.0,-1.2293321347778,-1.2293321347778,13548.070313,13381.519531
35,2022-02-23,13511.75,13533.780273,13032.169922,13037.490234,1,Holding,0.0,0.0,0.0,-510.5800789999994,-510.5800789999994,2,0.0,-3.7686553671785585,-3.7686553671785585,13548.070313,13037.490234
36,2022-02-24,12587.879883,13486.110352,12587.879883,13473.589844,1,Holding,0.0,0.0,0.0,-74.48046900000008,-74.48046900000008,3,0.0,-0.5497496490591183,-0.5497496490591183,13548.070313,13473.589844
37,2022-02-25,13485.259766,13696.860352,13358.290039,13694.620117,1,Holding,0.0,0.0,0.0,146.54980400000022,146.54980400000022,4,0.0,1.0817024167595213,1.0817024167595213,13548.070313,13694.620117
38,2022-02-28,13570.830078,13810.639648,13549.900391,13751.400391,1,Holding,0.0,0.0,0.0,203.33007799999905,203.33007799999905,5,0.0,1.5008047146381758,1.5008047146381758,13548.070313,13751.400391
39,2022-03-01,13716.700195,13777.040039,13441.320313,13532.459961,1,Holding,0.0,0.0,0.0,-15.610351999999693,-15.610351999999693,6,0.0,-0.11522195884251382,-0.11522195884251382,13548.070313,13532.459961
40,2022-03-02,13597.530273,13796.549805,13493.910156,13752.019531,1,Holding,0.0,0.0,0.0,203.94921799999975,203.94921799999975,7,0.0,1.505374664348332,1.505374664348332,13548.070313,13752.019531
