,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
1,2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
2,2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
3,2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
4,2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
5,2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
6,2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
7,2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
8,2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
9,2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
10,2022-01-18,2898.97998,2902.790039,2857.26001,2864.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
11,2022-01-19,2840.340088,2871.790039,2832.179932,2842.280029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
12,2022-01-20,2842.280029,2862.699951,2830.969971,2862.679932,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
13,2022-01-21,2837.48999,2847.949951,2817.110107,2834.290039,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2834.290039,2834.290039
14,2022-01-24,2823.76001,2828.110107,2780.679932,2792.0,1,Holding,0.0,0.0,0.0,-42.29003899999998,-42.29003899999998,1,0.0,-1.4920857928471158,-1.4920857928471158,2834.290039,2792.0
15,2022-01-25,2786.409912,2789.620117,2703.98999,2720.389893,1,Holding,0.0,0.0,0.0,-113.90014599999995,-113.90014599999995,2,0.0,-4.01864821287614,-4.01864821287614,2834.290039,2720.389893
16,2022-01-26,2729.75,2744.139893,2708.100098,2709.23999,1,Holding,0.0,0.0,0.0,-125.05004899999994,-125.05004899999994,3,0.0,-4.412041367654821,-4.412041367654821,2834.290039,2709.23999
17,2022-01-27,2709.23999,2722.860107,2614.48999,2614.48999,1,Holding,0.0,0.0,0.0,-219.80004899999994,-219.80004899999994,4,0.0,-7.7550302183452695,-7.7550302183452695,2834.290039,2614.48999
18,2022-01-28,2617.870117,2668.590088,2591.530029,2663.340088,1,Holding,0.0,0.0,0.0,-170.94995100000006,-170.94995100000006,5,0.0,-6.031491084106373,-6.031491084106373,2834.290039,2663.340088
19,2022-02-03,2706.340088,2735.340088,2702.780029,2707.820068,0,Holding,0.0,0.0,0.0,-126.46997099999999,-126.46997099999999,6,0.0,-4.462139345647962,-4.462139345647962,2834.290039,2707.820068
20,2022-02-04,2714.830078,2751.800049,2712.870117,2750.26001,0,sell,-83.59008799999992,-2.949242556329639,0.0,-84.03002900000001,-84.03002900000001,0,0.0,-2.964764644540319,-2.964764644540319,2834.290039,2750.26001
21,2022-02-07,2750.699951,2750.699951,2718.939941,2745.060059,0,No action,0.0,0.0,-83.59008799999992,0.0,-83.59008799999992,0,-2.949242556329639,0.0,-2.949242556329639,2750.699951,2750.699951
22,2022-02-08,2767.76001,2779.850098,2726.719971,2746.469971,0,No action,0.0,0.0,-83.59008799999992,0.0,-83.59008799999992,0,-2.949242556329639,0.0,-2.949242556329639,2750.699951,2750.699951
23,2022-02-09,2772.629883,2773.379883,2753.51001,2768.850098,0,No action,0.0,0.0,-83.59008799999992,0.0,-83.59008799999992,0,-2.949242556329639,0.0,-2.949242556329639,2750.699951,2750.699951
24,2022-02-10,2787.439941,2788.27002,2761.76001,2771.929932,1,Buy,0.0,0.0,-83.59008799999992,0.0,-83.59008799999992,0,-2.949242556329639,0.0,-2.949242556329639,2750.699951,2750.699951
25,2022-02-11,2739.139893,2766.699951,2735.080078,2747.709961,1,Holding,0.0,0.0,-83.59008799999992,-24.219970999999987,-107.81005899999991,1,-2.949242556329639,-0.8545339632405908,-3.8037765195702296,2750.699951,2726.47998
26,2022-02-14,2715.100098,2724.719971,2688.23999,2704.47998,0,Holding,0.0,0.0,-83.59008799999992,-67.44995199999994,-151.04003999999986,2,-2.949242556329639,-2.379782981695048,-5.329025538024687,2750.699951,2683.249999
27,2022-02-15,2712.449951,2716.449951,2665.469971,2676.540039,1,Holding,0.0,0.0,-83.59008799999992,-95.38989300000003,-178.97998099999995,3,-2.949242556329639,-3.3655656862011085,-6.314808242530748,2750.699951,2655.310058
28,2022-02-16,2719.610107,2730.429932,2711.340088,2729.679932,1,Holding,0.0,0.0,-83.59008799999992,-42.25,-125.84008799999992,4,-2.949242556329639,-1.4906731286719948,-4.439915685001634,2750.699951,2708.449951
29,2022-02-17,2735.110107,2770.659912,2711.98999,2744.090088,1,Holding,0.0,0.0,-83.59008799999992,-27.839844000000085,-111.42993200000001,5,-2.949242556329639,-0.9822510617093583,-3.9314936180389974,2750.699951,2722.860107
30,2022-02-18,2714.52002,2747.080078,2711.879883,2744.52002,1,Holding,0.0,0.0,-83.59008799999992,-27.409912000000077,-111.0,6,-2.949242556329639,-0.9670821130808086,-3.9163246694104483,2750.699951,2723.290039
31,2022-02-21,2706.649902,2746.620117,2694.899902,2743.800049,1,Holding,0.0,0.0,-83.59008799999992,-28.129883000000063,-111.71997099999999,7,-2.949242556329639,-0.99248427694171,-3.9417268332713493,2750.699951,2722.570068
32,2022-02-22,2705.080078,2721.840088,2690.090088,2706.790039,1,Holding,0.0,0.0,-83.59008799999992,-65.13989300000003,-148.72998099999995,8,-2.949242556329639,-2.29827900827619,-5.247521564605829,2750.699951,2685.560058
33,2022-02-23,2727.429932,2729.560059,2705.310059,2719.530029,1,Holding,0.0,0.0,-83.59008799999992,-52.399902999999995,-135.98999099999992,9,-2.949242556329639,-1.8487840792217523,-4.798026635551391,2750.699951,2698.300048
34,2022-02-24,2689.280029,2694.550049,2642.629883,2648.800049,1,Holding,0.0,0.0,-83.59008799999992,-123.12988300000006,-206.719971,10,-2.949242556329639,-4.34429367868939,-7.29353623501903,2750.699951,2627.570068
35,2022-02-25,2678.469971,2694.810059,2665.959961,2676.76001,1,Holding,0.0,0.0,-83.59008799999992,-95.16992200000004,-178.76000999999997,11,-2.949242556329639,-3.357804624454669,-6.307047180784309,2750.699951,2655.530029
36,2022-02-28,2663.0,2699.179932,2658.25,2699.179932,1,Holding,0.0,0.0,-83.59008799999992,-72.75,-156.34008799999992,12,-2.949242556329639,-2.566780357654145,-5.516022913983784,2750.699951,2677.949951
37,2022-03-02,2698.310059,2716.459961,2692.23999,2703.52002,1,Holding,0.0,0.0,-83.59008799999992,-68.40991200000008,-152.0,13,-2.949242556329639,-2.41365248646665,-5.362895042796289,2750.699951,2682.290039
38,2022-03-03,2729.860107,2748.209961,2726.350098,2747.080078,1,Holding,0.0,0.0,-83.59008799999992,-24.84985400000005,-108.43994199999997,14,-2.949242556329639,-0.8767576238869198,-3.8260001802165586,2750.699951,2725.850097
39,2022-03-04,2736.580078,2736.580078,2702.340088,2713.429932,1,Holding,0.0,0.0,-83.59008799999992,-58.5,-142.09008799999992,15,-2.949242556329639,-2.0640089473919927,-5.013251503721632,2750.699951,2692.199951
