,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-03,4778.140137,4796.640137,4758.169922,4796.560059,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
1,2022-01-04,4804.509766,4818.620117,4774.27002,4793.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
2,2022-01-05,4787.990234,4797.700195,4699.439941,4700.580078,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
3,2022-01-06,4693.390137,4725.009766,4671.259766,4696.049805,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
4,2022-01-07,4697.660156,4707.950195,4662.740234,4677.029785,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
5,2022-01-10,4655.339844,4673.02002,4582.240234,4670.290039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
6,2022-01-11,4669.140137,4714.129883,4638.27002,4713.069824,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
7,2022-01-12,4728.589844,4748.830078,4706.709961,4726.350098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
8,2022-01-13,4733.560059,4744.129883,4650.290039,4659.029785,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
9,2022-01-14,4637.990234,4665.129883,4614.75,4662.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
10,2022-01-18,4632.240234,4632.240234,4568.700195,4577.109863,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
11,2022-01-19,4588.029785,4611.549805,4530.200195,4532.759766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
12,2022-01-20,4547.350098,4602.109863,4477.950195,4482.72998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
13,2022-01-21,4471.379883,4494.52002,4395.339844,4397.939941,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
14,2022-01-24,4356.319824,4417.350098,4222.620117,4410.129883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
15,2022-01-25,4366.640137,4411.009766,4287.109863,4356.450195,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
16,2022-01-26,4408.430176,4453.22998,4304.799805,4349.930176,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
17,2022-01-27,4380.580078,4428.740234,4309.5,4326.509766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
18,2022-01-28,4336.189941,4432.720215,4292.459961,4431.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
19,2022-01-31,4431.790039,4516.890137,4414.02002,4515.549805,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
20,2022-02-01,4519.569824,4550.490234,4483.529785,4546.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
21,2022-02-02,4566.390137,4595.310059,4544.319824,4589.379883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
22,2022-02-03,4535.410156,4542.879883,4470.390137,4477.439941,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
23,2022-02-04,4482.790039,4539.660156,4451.5,4500.529785,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4363.490234,4363.490234
