,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3257.850098,3257.850098
1,2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,0,Holding,0.0,0.0,0.0,-23.0,-23.0,1,0.0,-0.7059870561300454,-0.7059870561300454,3257.850098,3234.850098
2,2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,0,sell,-15.989990999999918,-0.4908142032015593,0.0,-11.570068999999876,-11.570068999999876,0,0.0,-0.3551443022839744,-0.3551443022839744,3257.850098,3246.280029
3,2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,0,No action,0.0,0.0,-15.989990999999918,0.0,-15.989990999999918,0,-0.49081420320155933,0.0,-0.49081420320155933,3241.860107,3241.860107
4,2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,0,No action,0.0,0.0,-15.989990999999918,0.0,-15.989990999999918,0,-0.49081420320155933,0.0,-0.49081420320155933,3241.860107,3241.860107
5,2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,1,Buy,0.0,0.0,-15.989990999999918,0.0,-15.989990999999918,0,-0.49081420320155933,0.0,-0.49081420320155933,3241.860107,3241.860107
6,2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,1,Holding,0.0,0.0,-15.989990999999918,-9.349853000000167,-25.339844000000085,1,-0.49081420320155933,-0.28699457368342574,-0.7778087768849851,3241.860107,3232.510254
7,2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,0,Holding,0.0,0.0,-15.989990999999918,13.429932000000008,-2.56005899999991,2,-0.49081420320155933,0.4122329633350739,-0.07858123986648542,3241.860107,3255.290039
8,2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,0,sell,7.570068999999876,0.2311683242212219,-15.989990999999918,8.449951000000056,-7.540039999999863,0,-0.49081420320155933,0.25937200134492056,-0.23144220185663872,3241.860107,3250.310058
9,2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,1,Buy,0.0,0.0,-8.419922000000042,0.0,-8.419922000000042,0,-0.2584502585054189,0.0,-0.2584502585054189,3249.430176,3249.430176
10,2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,0,Holding,0.0,0.0,-8.419922000000042,27.52001999999993,19.10009799999989,1,-0.2584502585054189,0.8447294741060837,0.5862792156006648,3249.430176,3276.950196
11,2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,1,Holding,0.0,0.0,-8.419922000000042,40.33007799999996,31.910155999999915,2,-0.2584502585054189,1.237935349596308,0.9794850910908891,3249.430176,3289.760254
12,2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,0,Holding,0.0,0.0,-8.419922000000042,31.5,23.080077999999958,3,-0.2584502585054189,0.9668953160041927,0.7084450574987738,3249.430176,3280.930176
13,2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,0,sell,26.479980999999952,0.8050363660861697,-8.419922000000042,32.45996100000002,24.04003899999998,0,-0.2584502585054189,0.9963614047167869,0.7379111462113681,3249.430176,3281.890137
14,2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,1,Buy,0.0,0.0,18.06005899999991,0.0,18.06005899999991,0,0.5543551255193421,0.0,0.5543551255193421,3275.910157,3275.910157
15,2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,0,Holding,0.0,0.0,18.06005899999991,-30.070067999999992,-12.010009000000082,1,0.5543551255193421,-0.9230034254326207,-0.36864829991327863,3275.910157,3245.840089
16,2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,0,sell,-70.18994100000009,-2.110632864943837,18.06005899999991,-81.91015599999992,-63.850097000000005,0,0.5543551255193421,-2.514239560938814,-1.9598844354194715,3275.910157,3194.000001
17,2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,1,Buy,0.0,0.0,-52.12988200000018,0.0,-52.12988200000018,0,-1.6001313882429031,0.0,-1.6001313882429031,3205.7202159999997,3205.7202159999997
18,2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,1,Holding,0.0,0.0,-52.12988200000018,-2.8400879999999233,-54.9699700000001,1,-1.6001313882429031,-0.08717675505522672,-1.6873081432981298,3205.7202159999997,3202.880128
19,2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,1,Holding,0.0,0.0,-52.12988200000018,7.419922000000042,-44.70996000000014,2,-1.6001313882429031,0.22775516910846041,-1.3723762191344429,3205.7202159999997,3213.1401379999998
20,2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,0,Holding,0.0,0.0,-52.12988200000018,-50.7199700000001,-102.84985200000028,3,-1.6001313882429031,-1.5568540133610562,-3.1569854016039596,3205.7202159999997,3155.0002459999996
21,2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,0,sell,4.3701169999999365,0.1333881832020473,-52.12988200000018,-27.320067999999992,-79.44995000000017,0,-1.6001313882429031,-0.8385919295909849,-2.438723317833888,3205.7202159999997,3178.4001479999997
22,2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,0,No action,0.0,0.0,-47.75976500000024,0.0,-47.75976500000024,0,-1.4659902562527372,0.0,-1.4659902562527372,3210.0903329999996,3210.0903329999996
23,2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,0,No action,0.0,0.0,-47.75976500000024,0.0,-47.75976500000024,0,-1.4659902562527372,0.0,-1.4659902562527372,3210.0903329999996,3210.0903329999996
24,2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,1,Buy,0.0,0.0,-47.75976500000024,0.0,-47.75976500000024,0,-1.4659902562527372,0.0,-1.4659902562527372,3210.0903329999996,3210.0903329999996
25,2020-02-07,3335.540039,3341.419922,3322.120117,3327.709961,1,Holding,0.0,0.0,-47.75976500000024,-18.070067999999992,-65.82983300000024,1,-1.4659902562527372,-0.5546623526691188,-2.0206526089218557,3210.0903329999996,3192.0202649999997
26,2020-02-10,3318.280029,3352.26001,3317.77002,3352.090088,0,Holding,0.0,0.0,-47.75976500000024,6.31005899999991,-41.44970600000033,2,-1.4659902562527372,0.19368782510507979,-1.2723024311476574,3210.0903329999996,3216.4003919999996
27,2020-02-11,3365.870117,3375.629883,3352.719971,3357.75,1,Holding,0.0,0.0,-47.75976500000024,11.969970999999987,-35.789794000000256,3,-1.4659902562527372,0.3674193299240003,-1.0985709263287367,3210.0903329999996,3222.0603039999996
28,2020-02-12,3370.5,3381.469971,3369.719971,3379.449951,1,Holding,0.0,0.0,-47.75976500000024,33.66992200000004,-14.0898430000002,4,-1.4659902562527372,1.0335012657786211,-0.43248899047411604,3210.0903329999996,3243.7602549999997
29,2020-02-13,3365.899902,3385.090088,3360.52002,3373.939941,0,Holding,0.0,0.0,-47.75976500000024,28.159912000000077,-19.599853000000167,5,-1.4659902562527372,0.8643710162504867,-0.6016192400022503,3210.0903329999996,3238.2502449999997
30,2020-02-14,3378.080078,3380.689941,3366.149902,3380.159912,1,Holding,0.0,0.0,-47.75976500000024,34.37988300000006,-13.37988200000018,6,-1.4659902562527372,1.0552935821419756,-0.4106966741107614,3210.0903329999996,3244.4702159999997
31,2020-02-18,3369.040039,3375.01001,3355.610107,3370.290039,1,Holding,0.0,0.0,-47.75976500000024,24.510009999999966,-23.249755000000278,7,-1.4659902562527372,0.7523369480703457,-0.7136533081823914,3210.0903329999996,3234.6003429999996
32,2020-02-19,3380.389893,3393.52002,3378.830078,3386.149902,1,Holding,0.0,0.0,-47.75976500000024,40.3698730000001,-7.389892000000145,8,-1.4659902562527372,1.2391568606788643,-0.22683339557387291,3210.0903329999996,3250.4602059999997
33,2020-02-20,3380.449951,3389.149902,3341.02002,3373.22998,1,Holding,0.0,0.0,-47.75976500000024,27.449951000000056,-20.309814000000188,9,-1.4659902562527372,0.842578699887132,-0.623411556365605,3210.0903329999996,3237.5402839999997
34,2020-02-21,3360.5,3360.76001,3328.449951,3337.75,0,Holding,0.0,0.0,-47.75976500000024,-8.030029000000013,-55.789794000000256,10,-1.4659902562527372,-0.24648245801516966,-1.7124727142679066,3210.0903329999996,3202.0603039999996
35,2020-02-24,3257.610107,3259.810059,3214.649902,3225.889893,1,Holding,0.0,0.0,-47.75976500000024,-119.89013599999998,-167.64990100000023,11,-1.4659902562527372,-3.6800384423335117,-5.146028698586249,3210.0903329999996,3090.2001969999997
36,2020-02-25,3238.939941,3246.98999,3118.77002,3128.209961,0,Holding,0.0,0.0,-47.75976500000024,-217.570068,-265.32983300000024,12,-1.4659902562527372,-6.678332687362339,-8.144322943615077,3210.0903329999996,2992.5202649999997
37,2020-02-26,3139.899902,3182.51001,3108.98999,3116.389893,1,Holding,0.0,0.0,-47.75976500000024,-229.39013599999998,-277.1499010000002,13,-1.4659902562527372,-7.041150731300467,-8.507140987553205,3210.0903329999996,2980.7001969999997
38,2020-02-27,3062.540039,3097.070068,2977.389893,2978.76001,1,Holding,0.0,0.0,-47.75976500000024,-367.02001900000005,-414.7797840000003,14,-1.4659902562527372,-11.265712293678408,-12.731702549931146,3210.0903329999996,2843.0703139999996
39,2020-02-28,2916.899902,2959.719971,2855.840088,2954.219971,1,Holding,0.0,0.0,-47.75976500000024,-391.560058,-439.31982300000027,15,-1.4659902562527372,-12.018970984588256,-13.484961240840992,3210.0903329999996,2818.5302749999996
40,2020-03-02,2974.280029,3090.959961,2945.189941,3090.22998,1,Holding,0.0,0.0,-47.75976500000024,-255.55004899999994,-303.3098140000002,16,-1.4659902562527372,-7.844131599452123,-9.31012185570486,3210.0903329999996,2954.5402839999997
41,2020-03-03,3096.459961,3136.719971,2976.629883,3003.370117,1,Holding,0.0,0.0,-47.75976500000024,-342.4099120000001,-390.1696770000003,17,-1.4659902562527372,-10.510302859244696,-11.976293115497432,3210.0903329999996,2867.6804209999996
42,2020-03-04,3045.75,3130.969971,3034.379883,3130.120117,1,Holding,0.0,0.0,-47.75976500000024,-215.65991200000008,-263.4196770000003,18,-1.4659902562527372,-6.619700278180204,-8.085690534432942,3210.0903329999996,2994.4304209999996
43,2020-03-05,3075.699951,3083.040039,2999.830078,3023.939941,1,Holding,0.0,0.0,-47.75976500000024,-321.8400879999999,-369.59985300000017,19,-1.4659902562527372,-9.878910272684987,-11.344900528937725,3210.0903329999996,2888.2502449999997
