,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
1,2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
2,2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
3,2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
4,2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
5,2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
6,2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
7,2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
8,2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
9,2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
10,2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
11,2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
12,2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
13,2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
14,2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
15,2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
16,2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
17,2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
18,2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
19,2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3283.659912,3283.659912
20,2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,1,Holding,0.0,0.0,0.0,-58.139892000000145,-58.139892000000145,1,0.0,-1.7705820200054914,-1.7705820200054914,3283.659912,3225.52002
21,2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,0,Holding,0.0,0.0,0.0,-34.739990000000034,-34.739990000000034,2,0.0,-1.0579655302622593,-1.0579655302622593,3283.659912,3248.919922
22,2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,0,sell,41.25,1.2562202269867708,0.0,13.930175999999847,13.930175999999847,0,0.0,0.42422712379843575,0.42422712379843575,3283.659912,3297.590088
23,2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,0,No action,0.0,0.0,41.25,0.0,41.25,0,1.2562202269867708,0.0,1.2562202269867708,3324.909912,3324.909912
24,2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,0,No action,0.0,0.0,41.25,0.0,41.25,0,1.2562202269867708,0.0,1.2562202269867708,3324.909912,3324.909912
