,Date,Open,High,Low,Close,Predicted_results_20,action_20,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
0,2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,0,No action,0.0,0.0,0.0
1,2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,0,No action,0.0,0.0,0.0
2,2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,0,No action,0.0,0.0,0.0
3,2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,1,Buy,0.0,0.0,0.0
4,2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,1,Holding,0.0,0.0,0.0
5,2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,0,Holding,0.0,0.0,0.0
6,2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,1,Holding,0.0,0.0,0.0
7,2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,1,Holding,0.0,0.0,0.0
8,2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,1,Holding,0.0,0.0,0.0
9,2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,1,Holding,0.0,0.0,0.0
10,2022-01-18,2898.97998,2902.790039,2857.26001,2864.23999,1,Holding,0.0,0.0,0.0
11,2022-01-19,2840.340088,2871.790039,2832.179932,2842.280029,1,Holding,0.0,0.0,0.0
12,2022-01-20,2842.280029,2862.699951,2830.969971,2862.679932,1,Holding,0.0,0.0,0.0
13,2022-01-21,2837.48999,2847.949951,2817.110107,2834.290039,1,Holding,0.0,0.0,0.0
14,2022-01-24,2823.76001,2828.110107,2780.679932,2792.0,1,Holding,0.0,0.0,0.0
15,2022-01-25,2786.409912,2789.620117,2703.98999,2720.389893,1,Holding,0.0,0.0,0.0
16,2022-01-26,2729.75,2744.139893,2708.100098,2709.23999,1,Holding,0.0,0.0,0.0
17,2022-01-27,2709.23999,2722.860107,2614.48999,2614.48999,1,Holding,0.0,0.0,0.0
18,2022-01-28,2617.870117,2668.590088,2591.530029,2663.340088,1,Holding,0.0,0.0,0.0
19,2022-02-03,2706.340088,2735.340088,2702.780029,2707.820068,0,Holding,0.0,0.0,0.0
20,2022-02-04,2714.830078,2751.800049,2712.870117,2750.26001,0,sell,-204.18994199999997,-6.910238600893952,-204.18994199999997
21,2022-02-07,2750.699951,2750.699951,2718.939941,2745.060059,0,No action,0.0,0.0,-204.18994199999997
22,2022-02-08,2767.76001,2779.850098,2726.719971,2746.469971,0,No action,0.0,0.0,-204.18994199999997
23,2022-02-09,2772.629883,2773.379883,2753.51001,2768.850098,1,Buy,0.0,0.0,-204.18994199999997
24,2022-02-10,2787.439941,2788.27002,2761.76001,2771.929932,0,Holding,0.0,0.0,-204.18994199999997
25,2022-02-11,2739.139893,2766.699951,2735.080078,2747.709961,1,Holding,0.0,0.0,-204.18994199999997
26,2022-02-14,2715.100098,2724.719971,2688.23999,2704.47998,1,Holding,0.0,0.0,-204.18994199999997
27,2022-02-15,2712.449951,2716.449951,2665.469971,2676.540039,0,Holding,0.0,0.0,-204.18994199999997
28,2022-02-16,2719.610107,2730.429932,2711.340088,2729.679932,0,sell,-33.73999099999992,-1.2185560722254716,-237.9299329999999
29,2022-02-17,2735.110107,2770.659912,2711.98999,2744.090088,1,Buy,0.0,0.0,-237.9299329999999
30,2022-02-18,2714.52002,2747.080078,2711.879883,2744.52002,0,Holding,0.0,0.0,-237.9299329999999
31,2022-02-21,2706.649902,2746.620117,2694.899902,2743.800049,1,Holding,0.0,0.0,-237.9299329999999
32,2022-02-22,2705.080078,2721.840088,2690.090088,2706.790039,0,Holding,0.0,0.0,-237.9299329999999
33,2022-02-23,2727.429932,2729.560059,2705.310059,2719.530029,1,Holding,0.0,0.0,-237.9299329999999
34,2022-02-24,2689.280029,2694.550049,2642.629883,2648.800049,0,Holding,0.0,0.0,-237.9299329999999
35,2022-02-25,2678.469971,2694.810059,2665.959961,2676.76001,1,Holding,0.0,0.0,-237.9299329999999
36,2022-02-28,2663.0,2699.179932,2658.25,2699.179932,0,Holding,0.0,0.0,-237.9299329999999
37,2022-03-02,2698.310059,2716.459961,2692.23999,2703.52002,1,Holding,0.0,0.0,-237.9299329999999
38,2022-03-03,2729.860107,2748.209961,2726.350098,2747.080078,1,Holding,0.0,0.0,-237.9299329999999
39,2022-03-04,2736.580078,2736.580078,2702.340088,2713.429932,0,Holding,0.0,0.0,-237.9299329999999
40,2022-03-07,2680.169922,2680.169922,2644.100098,2651.310059,0,sell,-126.76000999999997,-4.619382233634597,-364.68994299999986
41,2022-03-08,2617.330078,2647.179932,2605.810059,2622.399902,0,No action,0.0,0.0,-364.68994299999986
42,2022-03-10,2660.860107,2682.790039,2660.860107,2680.320068,0,No action,0.0,0.0,-364.68994299999986
43,2022-03-11,2665.949951,2672.620117,2647.280029,2661.280029,1,Buy,0.0,0.0,-364.68994299999986
44,2022-03-14,2654.929932,2661.76001,2633.310059,2645.649902,1,Holding,0.0,0.0,-364.68994299999986
45,2022-03-15,2630.310059,2641.969971,2615.080078,2621.530029,0,Holding,0.0,0.0,-364.68994299999986
46,2022-03-16,2649.850098,2659.899902,2630.030029,2659.22998,1,Holding,0.0,0.0,-364.68994299999986
47,2022-03-17,2703.27002,2714.0,2694.51001,2694.51001,1,Holding,0.0,0.0,-364.68994299999986
48,2022-03-18,2695.639893,2708.159912,2688.709961,2707.02002,0,Holding,0.0,0.0,-364.68994299999986
49,2022-03-21,2717.810059,2717.810059,2683.689941,2686.050049,0,sell,25.399902999999995,0.9544242891847888,-339.29003999999986
50,2022-03-22,2686.679932,2712.139893,2686.580078,2710.0,1,Buy,0.0,0.0,-339.29003999999986
51,2022-03-23,2727.120117,2742.27002,2720.830078,2735.050049,1,Holding,0.0,0.0,-339.29003999999986
52,2022-03-24,2716.25,2729.659912,2705.139893,2729.659912,0,Holding,0.0,0.0,-339.29003999999986
53,2022-03-25,2740.830078,2740.949951,2722.360107,2729.97998,1,Holding,0.0,0.0,-339.29003999999986
54,2022-03-28,2721.219971,2737.459961,2707.73999,2729.560059,1,Holding,0.0,0.0,-339.29003999999986
55,2022-03-29,2745.620117,2754.179932,2733.219971,2741.070068,1,Holding,0.0,0.0,-339.29003999999986
56,2022-03-30,2758.310059,2760.600098,2740.02002,2746.73999,0,Holding,0.0,0.0,-339.29003999999986
57,2022-03-31,2743.23999,2765.199951,2743.199951,2757.649902,0,sell,35.85009799999989,1.322881845018446,-303.439942
58,2022-04-01,2745.850098,2745.850098,2729.679932,2739.850098,1,Buy,0.0,0.0,-303.439942
59,2022-04-04,2729.860107,2758.379883,2722.449951,2757.899902,1,Holding,0.0,0.0,-303.439942
60,2022-04-05,2765.5,2769.179932,2750.5,2759.199951,1,Holding,0.0,0.0,-303.439942
61,2022-04-06,2739.070068,2747.850098,2730.659912,2735.030029,0,Holding,0.0,0.0,-303.439942
62,2022-04-07,2714.699951,2718.5,2693.360107,2695.860107,1,Holding,0.0,0.0,-303.439942
63,2022-04-08,2706.639893,2712.0,2685.52002,2700.389893,0,Holding,0.0,0.0,-303.439942
64,2022-04-11,2687.540039,2711.02002,2683.959961,2693.100098,0,sell,-65.68017599999985,-2.3972178641431587,-369.1201179999998
65,2022-04-12,2674.169922,2685.080078,2658.399902,2666.76001,1,Buy,0.0,0.0,-369.1201179999998
66,2022-04-13,2677.530029,2717.629883,2672.600098,2716.48999,0,Holding,0.0,0.0,-369.1201179999998
67,2022-04-14,2719.340088,2720.300049,2702.610107,2716.709961,1,Holding,0.0,0.0,-369.1201179999998
68,2022-04-15,2695.52002,2705.409912,2685.01001,2696.060059,1,Holding,0.0,0.0,-369.1201179999998
69,2022-04-18,2685.040039,2701.110107,2681.370117,2693.209961,0,Holding,0.0,0.0,-369.1201179999998
70,2022-04-19,2707.76001,2723.97998,2705.320068,2718.889893,1,Holding,0.0,0.0,-369.1201179999998
