,True_Label,Predicted_results,action
0,0,0,No action
1,1,1,Buy
2,0,0,Holding
3,1,0,sell
4,1,1,Buy
5,0,0,Holding
6,1,0,sell
7,0,0,No action
8,1,0,No action
9,1,0,No action
10,1,0,No action
11,0,0,No action
12,1,0,No action
13,1,0,No action
14,0,0,No action
15,0,1,Buy
16,1,1,Holding
17,1,0,Holding
18,1,0,sell
19,0,0,No action
20,1,0,No action
21,1,0,No action
22,1,1,Buy
23,1,1,Holding
24,0,0,Holding
25,1,0,sell
26,1,1,Buy
27,1,1,Holding
28,0,1,Holding
29,1,0,Holding
30,1,1,Holding
31,1,1,Holding
32,0,0,Holding
33,0,0,sell
34,0,1,Buy
35,0,1,Holding
36,1,0,Holding
37,0,0,sell
38,1,1,Buy
39,1,1,Holding
40,0,1,Holding
41,1,1,Holding
42,0,1,Holding
43,0,0,Holding
44,0,1,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,0,Holding
49,0,1,Holding
50,1,1,Holding
51,0,1,Holding
52,1,1,Holding
53,0,1,Holding
54,0,1,Holding
55,1,1,Holding
56,0,1,Holding
57,1,1,Holding
58,0,1,Holding
59,1,1,Holding
60,0,1,Holding
61,0,1,Holding
62,1,1,Holding
63,0,1,Holding
64,1,0,Holding
65,0,0,sell
66,1,0,No action
67,1,0,No action
68,1,1,Buy
69,1,0,Holding
70,0,1,Holding
71,1,0,Holding
72,1,0,sell
73,0,0,No action
74,0,0,No action
75,1,0,No action
76,0,1,Buy
77,1,0,Holding
78,1,0,sell
79,0,1,Buy
80,1,0,Holding
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,0,Holding
85,1,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,0,1,Holding
90,0,1,Holding
91,1,0,Holding
92,1,1,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,0,0,Holding
97,1,1,Holding
98,1,0,Holding
99,1,0,sell
100,0,1,Buy
101,1,0,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,0,1,Holding
106,1,1,Holding
107,1,1,Holding
108,1,1,Holding
109,1,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,0,Holding
114,1,1,Holding
115,1,0,Holding
116,1,0,sell
117,1,1,Buy
118,1,1,Holding
119,0,0,Holding
120,1,0,sell
121,0,0,No action
122,1,1,Buy
123,1,1,Holding
124,1,1,Holding
125,1,0,Holding
126,1,0,sell
127,0,1,Buy
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,1,1,Holding
134,0,0,Holding
135,1,1,Holding
136,1,1,Holding
137,0,1,Holding
138,1,1,Holding
139,0,1,Holding
140,0,0,Holding
141,1,1,Holding
142,0,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,0,Holding
148,1,0,sell
149,1,1,Buy
150,0,1,Holding
151,0,0,Holding
152,0,1,Holding
153,1,1,Holding
154,1,1,Holding
155,0,1,Holding
156,1,1,Holding
157,1,1,Holding
158,0,0,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,0,Holding
163,1,1,Holding
164,0,0,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,1,1,Holding
169,0,0,Holding
170,0,0,sell
171,0,0,No action
172,1,1,Buy
173,0,1,Holding
174,0,0,Holding
175,1,1,Holding
176,1,0,Holding
177,0,1,Holding
178,0,1,Holding
179,0,0,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,0,Holding
185,1,1,Holding
186,0,1,Holding
187,1,1,Holding
188,1,1,Holding
189,0,1,Holding
190,1,0,Holding
191,0,1,Holding
192,1,1,Holding
193,1,1,Holding
194,1,0,Holding
195,1,1,Holding
196,0,0,Holding
197,0,1,Holding
198,0,0,Holding
199,0,1,Holding
200,0,1,Holding
201,1,1,Holding
202,0,1,Holding
203,1,0,Holding
204,1,1,Holding
205,0,0,Holding
206,1,1,Holding
207,0,0,Holding
208,1,0,sell
209,0,1,Buy
210,1,1,Holding
211,1,0,Holding
212,1,1,Holding
213,1,1,Holding
214,1,1,Holding
215,0,1,Holding
216,0,1,Holding
217,1,1,Holding
218,0,1,Holding
219,1,1,Holding
220,1,0,Holding
221,0,0,sell
222,0,1,Buy
223,1,0,Holding
224,0,0,sell
225,1,1,Buy
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,0,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,1,Holding
233,1,1,Holding
234,1,1,Holding
235,1,1,Holding
236,0,0,Holding
237,1,1,Holding
238,0,1,Holding
239,1,1,Holding
240,1,1,Holding
241,1,0,Holding
242,1,1,Holding
243,0,0,Holding
244,0,1,Holding
245,1,1,Holding
246,0,0,Holding
247,1,0,sell
248,1,1,Buy
249,0,0,Holding
250,1,0,sell
251,1,0,No action
252,0,1,sell
