,True_Label,Predicted_results,action
0,0,0,No action
1,0,0,No action
2,1,1,Buy
3,0,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,0,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,0,Holding
12,0,0,sell
13,1,0,No action
14,0,1,Buy
15,0,0,Holding
16,1,0,sell
17,0,0,No action
18,0,0,No action
19,1,0,No action
20,1,0,No action
21,1,0,No action
22,1,0,No action
23,0,0,No action
24,1,0,No action
25,1,0,No action
26,1,1,Buy
27,1,0,Holding
28,1,0,sell
29,1,0,No action
30,0,0,No action
31,1,0,No action
32,0,0,No action
33,0,0,No action
34,0,0,No action
35,1,0,No action
36,0,1,Buy
37,0,0,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,0,Holding
44,0,0,sell
45,1,1,Buy
46,0,0,Holding
47,0,0,sell
48,0,1,Buy
49,0,0,Holding
50,1,1,Holding
51,0,0,Holding
52,0,0,sell
53,1,0,No action
54,0,0,No action
55,1,1,Buy
56,1,0,Holding
57,1,0,sell
58,1,0,No action
59,1,1,Buy
60,1,0,Holding
61,0,0,sell
62,1,1,Buy
63,1,1,Holding
64,1,1,Holding
65,1,0,Holding
66,1,1,Holding
67,1,0,Holding
68,0,1,Holding
69,0,1,Holding
70,1,1,Holding
71,1,0,Holding
72,1,1,Holding
73,1,1,Holding
74,0,1,Holding
75,1,0,Holding
76,1,0,sell
77,0,0,No action
78,1,0,No action
79,0,0,No action
80,1,0,No action
81,0,1,Buy
82,1,1,Holding
83,1,1,Holding
84,1,1,Holding
85,1,0,Holding
86,0,0,sell
87,1,0,No action
88,0,0,No action
89,1,1,Buy
90,0,1,Holding
91,1,0,Holding
92,1,0,sell
93,1,0,No action
94,0,0,No action
95,1,0,No action
96,1,0,No action
97,0,1,Buy
98,0,1,Holding
99,1,1,Holding
100,1,0,Holding
101,1,0,sell
102,0,0,No action
103,1,1,Buy
104,1,0,Holding
105,1,0,sell
106,1,0,No action
107,1,0,No action
108,0,0,No action
109,0,0,No action
110,0,0,No action
111,1,0,No action
112,1,0,No action
113,1,1,Buy
114,1,1,Holding
115,1,0,Holding
116,1,0,sell
117,1,1,Buy
118,0,0,Holding
119,1,1,Holding
120,0,0,Holding
121,1,0,sell
122,0,0,No action
123,1,1,Buy
124,1,1,Holding
125,1,0,Holding
126,0,0,sell
127,1,1,Buy
128,1,0,Holding
129,0,0,sell
130,1,0,No action
131,0,1,Buy
132,1,0,Holding
133,0,1,Holding
134,1,1,Holding
135,0,1,Holding
136,1,1,Holding
137,1,0,Holding
138,1,0,sell
139,0,1,Buy
140,1,1,Holding
141,1,0,Holding
142,1,1,Holding
143,1,0,Holding
144,1,0,sell
145,1,1,Buy
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,1,1,Holding
151,0,0,Holding
152,0,0,sell
153,1,0,No action
154,0,1,Buy
155,0,0,Holding
156,1,1,Holding
157,0,0,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,0,1,Holding
163,1,1,Holding
164,1,0,Holding
165,1,0,sell
166,1,0,No action
167,1,1,Buy
168,0,0,Holding
169,1,1,Holding
170,0,1,Holding
171,0,0,Holding
172,1,0,sell
173,1,0,No action
174,1,0,No action
175,1,0,No action
176,0,0,No action
177,0,0,No action
178,1,1,Buy
179,0,1,Holding
180,0,0,Holding
181,1,0,sell
182,0,0,No action
183,1,0,No action
184,1,1,Buy
185,1,1,Holding
186,1,1,Holding
187,1,0,Holding
188,1,1,Holding
189,1,0,Holding
190,1,0,sell
191,0,0,No action
192,0,1,Buy
193,0,0,Holding
194,0,0,sell
195,0,0,No action
196,1,1,Buy
197,1,1,Holding
198,0,0,Holding
199,0,1,Holding
200,0,1,Holding
201,1,1,Holding
202,1,1,Holding
203,1,1,Holding
204,0,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,0,0,Holding
210,1,1,Holding
211,0,1,Holding
212,0,0,Holding
213,1,1,Holding
214,0,1,Holding
215,1,1,Holding
216,0,1,Holding
217,1,0,Holding
218,1,0,sell
219,1,1,Buy
220,1,0,Holding
221,0,0,sell
222,0,0,No action
223,1,0,No action
224,1,0,No action
225,1,0,No action
226,1,0,No action
227,1,0,No action
228,1,0,No action
229,1,1,Buy
230,1,0,Holding
231,0,1,Holding
232,1,0,Holding
233,1,1,Holding
234,1,1,Holding
235,1,1,Holding
236,1,1,Holding
237,1,1,Holding
238,1,1,Holding
239,1,1,Holding
240,1,1,Holding
241,0,0,Holding
242,0,1,Holding
243,1,1,Holding
244,0,0,Holding
245,1,0,sell
246,1,1,Buy
247,1,1,sell
