,True_Label,Predicted_results,action
0,0,1,Buy
1,1,1,Holding
2,0,1,Holding
3,1,1,Holding
4,1,1,Holding
5,0,1,Holding
6,1,1,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,1,1,Holding
13,1,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,1,Holding
18,1,1,Holding
19,0,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,0,Holding
42,0,0,sell
43,0,1,Buy
44,0,1,Holding
45,1,1,Holding
46,0,0,Holding
47,0,1,Holding
48,1,0,Holding
49,0,0,sell
50,1,1,Buy
51,0,1,Holding
52,1,1,Holding
53,0,1,Holding
54,0,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,0,1,Holding
59,1,1,Holding
60,0,1,Holding
61,0,1,Holding
62,1,1,Holding
63,0,1,Holding
64,1,1,Holding
65,0,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,0,Holding
69,1,0,sell
70,0,0,No action
71,1,0,No action
72,1,0,No action
73,0,0,No action
74,0,0,No action
75,1,1,Buy
76,0,0,Holding
77,1,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,0,Holding
81,0,0,sell
82,0,1,Buy
83,1,0,Holding
84,1,1,Holding
85,0,0,Holding
86,1,0,sell
87,1,0,No action
88,1,0,No action
89,0,0,No action
90,0,1,Buy
91,1,0,Holding
92,1,0,sell
93,1,1,Buy
94,0,1,Holding
95,1,1,Holding
96,0,1,Holding
97,1,1,Holding
98,1,1,Holding
99,1,0,Holding
100,0,1,Holding
101,1,1,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,0,1,Holding
106,1,1,Holding
107,1,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,1,Holding
114,0,1,Holding
115,1,1,Holding
116,0,1,Holding
117,1,1,Holding
118,1,0,Holding
119,0,0,sell
120,1,0,No action
121,0,0,No action
122,1,0,No action
123,1,0,No action
124,1,1,Buy
125,1,0,Holding
126,1,0,sell
127,0,0,No action
128,1,0,No action
129,0,0,No action
130,1,0,No action
131,0,0,No action
132,1,0,No action
133,1,0,No action
134,0,1,Buy
135,1,0,Holding
136,1,0,sell
137,1,0,No action
138,1,1,Buy
139,0,0,Holding
140,0,0,sell
141,1,1,Buy
142,0,0,Holding
143,1,1,Holding
144,0,0,Holding
145,1,0,sell
146,1,1,Buy
147,1,0,Holding
148,1,1,Holding
149,1,0,Holding
150,1,0,sell
151,1,1,Buy
152,0,0,Holding
153,1,0,sell
154,0,1,Buy
155,0,1,Holding
156,1,1,Holding
157,1,0,Holding
158,0,1,Holding
159,1,1,Holding
160,1,0,Holding
161,1,0,sell
162,1,0,No action
163,1,0,No action
164,1,0,No action
165,1,0,No action
166,0,0,No action
167,1,0,No action
168,1,0,No action
169,0,1,Buy
170,0,0,Holding
171,0,0,sell
172,1,1,Buy
173,0,1,Holding
174,1,1,Holding
175,1,1,Holding
176,1,1,Holding
177,0,1,Holding
178,0,1,Holding
179,0,1,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,0,1,Holding
187,1,1,Holding
188,1,1,Holding
189,0,1,Holding
190,1,1,Holding
191,0,1,Holding
192,1,1,Holding
193,1,1,Holding
194,1,1,Holding
195,1,1,Holding
196,0,1,Holding
197,0,1,Holding
198,0,1,Holding
199,1,1,Holding
200,0,1,Holding
201,1,1,Holding
202,0,1,Holding
203,1,1,Holding
204,1,1,Holding
205,0,1,Holding
206,0,1,Holding
207,0,1,Holding
208,1,1,Holding
209,0,1,Holding
210,1,0,Holding
211,1,1,Holding
212,1,1,Holding
213,1,1,Holding
214,0,1,Holding
215,1,1,Holding
216,0,1,Holding
217,1,1,Holding
218,0,1,Holding
219,1,1,Holding
220,1,1,Holding
221,0,1,Holding
222,0,1,Holding
223,1,1,Holding
224,0,1,Holding
225,1,1,Holding
226,1,1,Holding
227,0,1,Holding
228,1,1,Holding
229,0,1,Holding
230,1,1,Holding
231,1,1,Holding
232,0,1,Holding
233,1,1,Holding
234,0,1,Holding
235,1,1,Holding
236,0,1,Holding
237,0,1,Holding
238,0,1,Holding
239,0,1,Holding
240,1,1,Holding
241,1,1,Holding
242,1,1,Holding
243,0,1,Holding
244,0,1,Holding
245,0,1,Holding
246,1,1,Holding
247,1,1,Holding
248,1,1,Holding
249,0,1,Holding
250,1,1,Holding
251,1,1,Holding
252,0,1,sell
