,True_Label,Predicted_results,action
0,1,1,Buy
1,1,1,Holding
2,1,1,Holding
3,1,1,Holding
4,0,1,Holding
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,1,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,1,1,Holding
18,1,1,Holding
19,1,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,1,1,Holding
25,1,1,Holding
26,1,1,Holding
27,0,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,1,1,Holding
37,0,1,Holding
38,0,1,Holding
39,0,1,Holding
40,0,1,Holding
41,1,1,Holding
42,1,1,Holding
43,1,1,Holding
44,1,0,Holding
45,1,1,Holding
46,0,1,Holding
47,1,1,Holding
48,0,1,Holding
49,0,1,Holding
50,0,1,Holding
51,1,1,Holding
52,0,1,Holding
53,0,1,Holding
54,0,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,1,Holding
69,1,1,Holding
70,0,1,Holding
71,0,1,Holding
72,1,1,Holding
73,1,1,Holding
74,1,1,Holding
75,1,0,Holding
76,1,0,sell
77,0,0,No action
78,0,1,Buy
79,0,1,Holding
80,0,1,Holding
81,0,1,Holding
82,0,1,Holding
83,0,1,Holding
84,0,1,Holding
85,0,1,Holding
86,0,1,Holding
87,0,1,Holding
88,0,1,Holding
89,1,1,Holding
90,1,1,Holding
91,0,1,Holding
92,1,0,Holding
93,1,0,sell
94,1,0,No action
95,1,0,No action
96,1,0,No action
97,1,0,No action
98,1,1,Buy
99,0,0,Holding
100,0,0,sell
101,1,1,Buy
102,1,0,Holding
103,1,0,sell
104,1,1,Buy
105,1,1,Holding
106,1,1,Holding
107,1,1,Holding
108,1,1,Holding
109,1,1,Holding
110,1,1,Holding
111,0,1,Holding
112,1,1,Holding
113,1,1,Holding
114,1,1,Holding
115,1,1,Holding
116,1,1,Holding
117,1,1,Holding
118,1,1,Holding
119,1,1,Holding
120,1,1,Holding
121,1,1,Holding
122,1,1,Holding
123,1,1,Holding
124,1,1,Holding
125,1,1,Holding
126,1,1,Holding
127,0,1,Holding
128,1,1,Holding
129,0,1,Holding
130,0,1,Holding
131,0,1,Holding
132,0,1,Holding
133,0,1,Holding
134,1,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,0,Holding
139,0,1,Holding
140,0,1,Holding
141,1,1,Holding
142,0,1,Holding
143,0,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,0,1,Holding
149,0,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,1,Holding
153,0,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,1,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,0,Holding
163,1,0,sell
164,1,1,Buy
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,0,1,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,0,1,Holding
173,0,1,Holding
174,0,1,Holding
175,0,1,Holding
176,0,1,Holding
177,0,0,Holding
178,0,1,Holding
179,1,1,Holding
180,1,1,Holding
181,0,1,Holding
182,0,1,Holding
183,0,1,Holding
184,0,1,Holding
185,0,1,Holding
186,0,1,Holding
187,1,1,Holding
188,0,1,Holding
189,1,1,Holding
190,1,1,Holding
191,1,0,Holding
192,0,0,sell
193,1,0,No action
194,1,0,No action
195,1,1,Buy
196,1,0,Holding
197,1,1,Holding
198,1,0,Holding
199,1,0,sell
200,1,0,No action
201,1,1,Buy
202,1,1,Holding
203,1,1,Holding
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,1,1,Holding
210,1,1,Holding
211,1,1,Holding
212,0,1,Holding
213,0,1,Holding
214,0,1,Holding
215,0,1,Holding
216,1,1,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,0,1,Holding
221,0,1,Holding
222,0,1,Holding
223,0,1,Holding
224,0,1,Holding
225,0,1,Holding
226,0,1,Holding
227,0,1,Holding
228,0,1,Holding
229,0,1,Holding
230,1,1,Holding
231,1,1,Holding
232,1,1,Holding
233,1,1,Holding
234,0,1,Holding
235,0,1,Holding
236,0,1,Holding
237,0,1,Holding
238,0,1,Holding
239,1,1,Holding
240,0,1,Holding
241,1,1,Holding
242,1,1,Holding
243,1,1,Holding
244,1,1,Holding
245,1,1,Holding
246,1,1,Holding
247,0,0,Holding
248,0,1,Holding
249,0,0,Holding
250,0,0,sell
251,0,0,sell
