,True_Label,Predicted_results,action
0,1,1,Buy
1,0,1,Holding
2,1,0,Holding
3,0,1,Holding
4,0,1,Holding
5,0,1,Holding
6,1,0,Holding
7,1,1,Holding
8,0,1,Holding
9,0,1,Holding
10,1,0,Holding
11,1,1,Holding
12,1,1,Holding
13,0,0,Holding
14,1,1,Holding
15,0,1,Holding
16,0,1,Holding
17,0,1,Holding
18,0,0,Holding
19,1,1,Holding
20,1,1,Holding
21,1,1,Holding
22,0,1,Holding
23,1,1,Holding
24,0,0,Holding
25,0,0,sell
26,1,0,No action
27,1,1,Buy
28,0,0,Holding
29,1,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,0,Holding
33,0,1,Holding
34,0,0,Holding
35,1,1,Holding
36,0,0,Holding
37,1,1,Holding
38,1,1,Holding
39,0,1,Holding
40,0,0,Holding
41,0,0,sell
42,0,1,Buy
43,0,1,Holding
44,1,1,Holding
45,1,1,Holding
46,1,0,Holding
47,1,0,sell
48,1,1,Buy
49,1,1,Holding
50,1,1,Holding
51,1,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,0,Holding
55,1,0,sell
56,0,0,No action
57,1,1,Buy
58,0,0,Holding
59,1,0,sell
60,1,0,No action
61,0,1,Buy
62,0,1,Holding
63,1,0,Holding
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,0,0,Holding
70,1,1,Holding
71,1,1,Holding
72,1,0,Holding
73,0,0,sell
74,1,1,Buy
75,1,0,Holding
76,1,1,Holding
77,0,1,Holding
78,0,1,Holding
79,0,1,Holding
80,0,1,Holding
81,0,1,Holding
82,1,0,Holding
83,1,1,Holding
84,1,0,Holding
85,1,1,Holding
86,0,1,Holding
87,0,1,Holding
88,0,1,Holding
89,1,1,Holding
90,0,0,Holding
91,1,1,Holding
92,1,1,Holding
93,0,1,Holding
94,0,1,Holding
95,1,1,Holding
96,1,0,Holding
97,1,0,sell
98,1,0,No action
99,1,0,No action
100,1,1,Buy
101,0,1,Holding
102,1,0,Holding
103,0,0,sell
104,0,0,No action
105,1,1,Buy
106,0,1,Holding
107,1,1,Holding
108,1,0,Holding
109,1,1,Holding
110,0,0,Holding
111,1,0,sell
112,1,0,No action
113,1,1,Buy
114,0,0,Holding
115,1,0,sell
116,1,1,Buy
117,0,1,Holding
118,0,1,Holding
119,1,1,Holding
120,1,0,Holding
121,1,1,Holding
122,1,1,Holding
123,1,1,Holding
124,1,0,Holding
125,0,1,Holding
126,1,1,Holding
127,0,1,Holding
128,0,1,Holding
129,1,1,Holding
130,1,0,Holding
131,1,1,Holding
132,1,0,Holding
133,0,1,Holding
134,0,1,Holding
135,0,1,Holding
136,0,1,Holding
137,1,1,Holding
138,1,1,Holding
139,0,0,Holding
140,0,1,Holding
141,0,1,Holding
142,1,1,Holding
143,0,1,Holding
144,1,1,Holding
145,0,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,0,1,Holding
151,0,1,Holding
152,1,1,Holding
153,0,1,Holding
154,0,1,Holding
155,1,1,Holding
156,0,0,Holding
157,0,1,Holding
158,1,0,Holding
159,1,0,sell
160,1,1,Buy
161,1,0,Holding
162,1,0,sell
163,1,0,No action
164,1,1,Buy
165,1,1,Holding
166,1,0,Holding
167,1,1,Holding
168,0,1,Holding
169,1,1,Holding
170,0,0,Holding
171,0,1,Holding
172,1,1,Holding
173,0,1,Holding
174,1,1,Holding
175,1,0,Holding
176,0,0,sell
177,1,1,Buy
178,0,1,Holding
179,1,1,Holding
180,0,1,Holding
181,0,1,Holding
182,0,1,Holding
183,1,1,Holding
184,0,1,Holding
185,0,1,Holding
186,0,1,Holding
187,1,1,Holding
188,0,0,Holding
189,0,1,Holding
190,1,1,Holding
191,1,0,Holding
192,1,1,Holding
193,1,1,Holding
194,1,1,Holding
195,0,0,Holding
196,0,1,Holding
197,1,1,Holding
198,0,1,Holding
199,1,1,Holding
200,0,1,Holding
201,0,1,Holding
202,0,0,Holding
203,1,1,Holding
204,1,1,Holding
205,0,1,Holding
206,0,1,Holding
207,0,1,Holding
208,1,1,Holding
209,1,0,Holding
210,0,1,Holding
211,1,1,Holding
212,1,1,Holding
213,1,1,Holding
214,1,1,Holding
215,0,1,Holding
216,1,1,Holding
217,1,1,Holding
218,0,1,Holding
219,0,1,Holding
220,1,0,Holding
221,0,1,Holding
222,0,1,Holding
223,0,1,Holding
224,0,1,Holding
225,1,1,Holding
226,1,1,Holding
227,1,1,Holding
228,0,1,Holding
229,1,0,Holding
230,1,1,Holding
231,1,1,Holding
232,0,1,Holding
233,0,1,Holding
234,0,1,Holding
235,1,1,Holding
236,1,1,Holding
237,0,1,Holding
238,0,1,Holding
239,1,1,Holding
240,1,1,Holding
241,1,1,Holding
242,1,0,Holding
243,1,1,Holding
244,1,1,Holding
245,1,1,Holding
246,1,1,Holding
247,0,1,sell
