,True_Label,Predicted_results,action
0,1,0,No action
1,1,0,No action
2,1,0,No action
3,1,1,Buy
4,0,0,Holding
5,0,0,sell
6,0,1,Buy
7,0,0,Holding
8,0,0,sell
9,1,0,No action
10,1,1,Buy
11,1,0,Holding
12,1,0,sell
13,0,0,No action
14,0,1,Buy
15,0,1,Holding
16,0,0,Holding
17,0,1,Holding
18,1,0,Holding
19,1,0,sell
20,1,0,No action
21,1,0,No action
22,0,1,Buy
23,1,0,Holding
24,0,0,sell
25,1,0,No action
26,1,0,No action
27,1,0,No action
28,0,0,No action
29,0,0,No action
30,0,0,No action
31,0,0,No action
32,0,0,No action
33,0,0,No action
34,0,0,No action
35,1,0,No action
36,0,0,No action
37,1,0,No action
38,0,1,Buy
39,0,1,Holding
40,0,0,Holding
41,0,0,sell
42,1,0,No action
43,1,1,Buy
44,1,0,Holding
45,1,0,sell
46,0,1,Buy
47,1,1,Holding
48,0,1,Holding
49,0,0,Holding
50,0,1,Holding
51,0,0,Holding
52,0,0,sell
53,1,0,No action
54,1,0,No action
55,1,0,No action
56,1,0,No action
57,1,0,No action
58,1,0,No action
59,1,0,No action
60,1,0,No action
61,1,0,No action
62,1,0,No action
63,1,0,No action
64,1,0,No action
65,1,1,Buy
66,1,0,Holding
67,1,0,sell
68,1,0,No action
69,1,1,Buy
70,0,0,Holding
71,0,1,Holding
72,0,0,Holding
73,0,1,Holding
74,1,1,Holding
75,1,1,Holding
76,1,1,Holding
77,0,1,Holding
78,0,1,Holding
79,0,1,Holding
80,0,1,Holding
81,1,1,Holding
82,1,1,Holding
83,1,1,Holding
84,1,1,Holding
85,0,1,Holding
86,0,1,Holding
87,0,1,Holding
88,0,1,Holding
89,1,1,Holding
90,1,1,Holding
91,1,1,Holding
92,0,1,Holding
93,0,1,Holding
94,1,1,Holding
95,1,1,Holding
96,1,1,Holding
97,1,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,1,Holding
101,1,1,Holding
102,1,1,Holding
103,0,1,Holding
104,0,1,Holding
105,0,1,Holding
106,0,1,Holding
107,1,1,Holding
108,1,1,Holding
109,1,1,Holding
110,1,1,Holding
111,1,1,Holding
112,0,1,Holding
113,1,1,Holding
114,1,1,Holding
115,1,1,Holding
116,1,1,Holding
117,1,1,Holding
118,1,1,Holding
119,0,1,Holding
120,0,1,Holding
121,1,1,Holding
122,0,1,Holding
123,1,0,Holding
124,0,0,sell
125,0,0,No action
126,0,1,Buy
127,0,1,Holding
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,0,1,Holding
133,0,1,Holding
134,0,1,Holding
135,0,1,Holding
136,1,1,Holding
137,1,1,Holding
138,0,1,Holding
139,0,1,Holding
140,1,1,Holding
141,0,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,0,1,Holding
148,0,1,Holding
149,0,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,0,Holding
153,0,1,Holding
154,0,1,Holding
155,0,1,Holding
156,0,1,Holding
157,1,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,1,Holding
165,0,1,Holding
166,0,1,Holding
167,0,1,Holding
168,0,1,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,1,1,Holding
173,1,1,Holding
174,1,1,Holding
175,0,0,Holding
176,0,0,sell
177,0,0,No action
178,0,0,No action
179,0,1,Buy
180,0,0,Holding
181,0,0,sell
182,0,0,No action
183,0,0,No action
184,0,0,No action
185,0,1,Buy
186,0,0,Holding
187,1,1,Holding
188,1,0,Holding
189,1,0,sell
190,1,0,No action
191,1,0,No action
192,1,0,No action
193,0,1,Buy
194,1,0,Holding
195,0,0,sell
196,1,0,No action
197,1,0,No action
198,1,0,No action
199,0,0,No action
200,0,0,No action
201,0,0,No action
202,0,0,No action
203,1,0,No action
204,1,1,Buy
205,0,0,Holding
206,0,0,sell
207,0,0,No action
208,0,0,No action
209,0,0,No action
210,1,1,Buy
211,1,0,Holding
212,1,1,Holding
213,1,0,Holding
214,0,0,sell
215,0,0,No action
216,1,0,No action
217,1,0,No action
218,1,0,No action
219,0,0,No action
220,0,0,No action
221,0,0,No action
222,0,0,No action
223,0,0,No action
224,1,0,No action
225,1,0,No action
226,1,0,No action
227,1,0,No action
228,1,0,No action
229,1,0,No action
230,1,0,No action
231,1,1,Buy
232,0,0,Holding
233,0,0,sell
234,0,1,Buy
235,1,0,Holding
236,0,0,sell
237,0,0,No action
238,0,0,No action
239,1,0,No action
240,1,0,No action
241,1,0,No action
242,1,1,Buy
243,0,0,Holding
244,0,0,sell
245,0,0,No action
246,0,1,Buy
247,0,0,sell
