,True_Label,Predicted_results,action
0,1,0,No action
1,1,0,No action
2,1,0,No action
3,1,0,No action
4,0,1,Buy
5,0,1,Holding
6,0,1,Holding
7,0,0,Holding
8,0,0,sell
9,1,1,Buy
10,1,0,Holding
11,1,0,sell
12,1,0,No action
13,0,1,Buy
14,0,1,Holding
15,0,0,Holding
16,0,1,Holding
17,0,1,Holding
18,1,0,Holding
19,1,0,sell
20,1,1,Buy
21,1,1,Holding
22,0,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,1,1,Holding
36,0,1,Holding
37,1,1,Holding
38,0,1,Holding
39,0,1,Holding
40,0,1,Holding
41,0,0,Holding
42,1,0,sell
43,1,0,No action
44,1,0,No action
45,1,1,Buy
46,0,1,Holding
47,1,0,Holding
48,0,1,Holding
49,0,0,Holding
50,0,0,sell
51,0,0,No action
52,0,0,No action
53,1,0,No action
54,1,0,No action
55,1,0,No action
56,1,0,No action
57,1,0,No action
58,1,0,No action
59,1,0,No action
60,1,1,Buy
61,1,1,Holding
62,1,1,Holding
63,1,0,Holding
64,1,0,sell
65,1,0,No action
66,1,0,No action
67,1,1,Buy
68,1,0,Holding
69,1,0,sell
70,0,0,No action
71,0,1,Buy
72,0,1,Holding
73,0,0,Holding
74,1,0,sell
75,1,0,No action
76,1,0,No action
77,0,0,No action
78,0,1,Buy
79,0,1,Holding
80,0,1,Holding
81,1,0,Holding
82,1,0,sell
83,1,0,No action
84,1,0,No action
85,0,0,No action
86,0,1,Buy
87,0,1,Holding
88,0,1,Holding
89,1,1,Holding
90,1,1,Holding
91,1,1,Holding
92,0,1,Holding
93,0,1,Holding
94,1,1,Holding
95,1,1,Holding
96,1,1,Holding
97,1,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,1,Holding
101,1,0,Holding
102,1,1,Holding
103,0,0,Holding
104,0,0,sell
105,0,1,Buy
106,0,0,Holding
107,1,1,Holding
108,1,1,Holding
109,1,1,Holding
110,1,1,Holding
111,1,1,Holding
112,0,1,Holding
113,1,0,Holding
114,1,0,sell
115,1,0,No action
116,1,0,No action
117,1,1,Buy
118,1,1,Holding
119,0,0,Holding
120,0,0,sell
121,1,1,Buy
122,0,1,Holding
123,1,1,Holding
124,0,0,Holding
125,0,1,Holding
126,0,0,Holding
127,0,0,sell
128,1,1,Buy
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,0,1,Holding
133,0,0,Holding
134,0,0,sell
135,0,0,No action
136,1,0,No action
137,1,0,No action
138,0,0,No action
139,0,0,No action
140,1,0,No action
141,0,0,No action
142,1,0,No action
143,1,0,No action
144,1,0,No action
145,1,0,No action
146,1,1,Buy
147,0,0,Holding
148,0,0,sell
149,0,0,No action
150,0,0,No action
151,0,0,No action
152,0,0,No action
153,0,1,Buy
154,0,0,Holding
155,0,1,Holding
156,0,1,Holding
157,1,1,Holding
158,1,0,Holding
159,1,1,Holding
160,1,1,Holding
161,1,0,Holding
162,1,1,Holding
163,1,0,Holding
164,1,0,sell
165,0,0,No action
166,0,0,No action
167,0,0,No action
168,0,0,No action
169,0,0,No action
170,0,0,No action
171,0,1,Buy
172,1,1,Holding
173,1,0,Holding
174,1,1,Holding
175,0,1,Holding
176,0,1,Holding
177,0,1,Holding
178,0,1,Holding
179,0,1,Holding
180,0,1,Holding
181,0,0,Holding
182,0,0,sell
183,0,1,Buy
184,0,1,Holding
185,0,1,Holding
186,0,1,Holding
187,1,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,1,Holding
191,1,1,Holding
192,1,0,Holding
193,0,0,sell
194,1,0,No action
195,0,1,Buy
196,1,1,Holding
197,1,1,Holding
198,1,1,Holding
199,0,0,Holding
200,0,0,sell
201,0,0,No action
202,0,1,Buy
203,1,0,Holding
204,1,1,Holding
205,0,1,Holding
206,0,1,Holding
207,0,1,Holding
208,0,1,Holding
209,0,1,Holding
210,1,1,Holding
211,1,1,Holding
212,1,0,Holding
213,1,1,Holding
214,0,1,Holding
215,0,1,Holding
216,1,1,Holding
217,1,1,Holding
218,1,0,Holding
219,0,0,sell
220,0,0,No action
221,0,0,No action
222,0,0,No action
223,0,1,Buy
224,1,1,Holding
225,1,1,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,1,Holding
231,1,1,Holding
232,0,0,Holding
233,0,0,sell
234,0,1,Buy
235,1,1,Holding
236,0,1,Holding
237,0,1,Holding
238,0,1,Holding
239,1,1,Holding
240,1,1,Holding
241,1,0,Holding
242,1,0,sell
243,0,1,Buy
244,0,1,Holding
245,0,1,Holding
246,0,0,Holding
247,0,1,sell
