,True_Label,Predicted_results,action
0,1,1,Buy
1,1,0,Holding
2,1,1,Holding
3,1,1,Holding
4,0,1,Holding
5,0,0,Holding
6,1,1,Holding
7,1,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,0,0,Holding
13,0,0,sell
14,0,1,Buy
15,0,1,Holding
16,1,1,Holding
17,1,0,Holding
18,1,1,Holding
19,1,1,Holding
20,1,0,Holding
21,1,1,Holding
22,1,0,Holding
23,1,0,sell
24,1,1,Buy
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,0,Holding
32,0,1,Holding
33,0,0,Holding
34,0,0,sell
35,0,0,No action
36,1,0,No action
37,1,0,No action
38,0,1,Buy
39,0,1,Holding
40,1,0,Holding
41,1,1,Holding
42,1,0,Holding
43,1,0,sell
44,1,1,Buy
45,1,1,Holding
46,1,1,Holding
47,1,1,Holding
48,0,1,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,1,1,Holding
53,0,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,1,0,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,1,0,Holding
67,1,0,sell
68,1,1,Buy
69,1,1,Holding
70,0,1,Holding
71,0,1,Holding
72,0,1,Holding
73,1,1,Holding
74,1,1,Holding
75,1,1,Holding
76,1,1,Holding
77,1,1,Holding
78,0,1,Holding
79,1,0,Holding
80,0,0,sell
81,1,0,No action
82,0,0,No action
83,1,1,Buy
84,0,1,Holding
85,0,0,Holding
86,0,0,sell
87,0,0,No action
88,0,1,Buy
89,1,0,Holding
90,1,0,sell
91,0,0,No action
92,0,1,Buy
93,1,1,Holding
94,1,0,Holding
95,1,1,Holding
96,1,0,Holding
97,1,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,0,Holding
101,1,1,Holding
102,1,1,Holding
103,1,0,Holding
104,1,1,Holding
105,1,0,Holding
106,1,1,Holding
107,1,1,Holding
108,1,1,Holding
109,0,1,Holding
110,0,1,Holding
111,0,1,Holding
112,0,1,Holding
113,0,1,Holding
114,1,0,Holding
115,1,0,sell
116,1,0,No action
117,1,0,No action
118,1,0,No action
119,1,0,No action
120,1,0,No action
121,1,1,Buy
122,1,0,Holding
123,1,1,Holding
124,1,1,Holding
125,1,0,Holding
126,1,1,Holding
127,1,1,Holding
128,1,1,Holding
129,0,1,Holding
130,0,1,Holding
131,0,1,Holding
132,0,1,Holding
133,0,1,Holding
134,1,1,Holding
135,1,0,Holding
136,1,0,sell
137,1,0,No action
138,1,0,No action
139,0,0,No action
140,0,1,Buy
141,1,0,Holding
142,1,0,sell
143,0,1,Buy
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,0,Holding
149,1,1,Holding
150,1,0,Holding
151,1,0,sell
152,1,0,No action
153,0,0,No action
154,0,0,No action
155,0,1,Buy
156,0,0,Holding
157,1,1,Holding
158,1,1,Holding
159,1,0,Holding
160,1,1,Holding
161,1,0,Holding
162,1,0,sell
163,1,1,Buy
164,1,1,Holding
165,0,1,Holding
166,1,1,Holding
167,0,1,Holding
168,0,1,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,0,1,Holding
173,1,0,Holding
174,0,1,Holding
175,0,1,Holding
176,0,0,Holding
177,0,0,sell
178,0,1,Buy
179,1,1,Holding
180,1,1,Holding
181,1,0,Holding
182,0,0,sell
183,0,0,No action
184,0,0,No action
185,0,0,No action
186,0,0,No action
187,1,1,Buy
188,1,0,Holding
189,1,0,sell
190,1,1,Buy
191,1,1,Holding
192,0,1,Holding
193,1,1,Holding
194,1,1,Holding
195,1,1,Holding
196,1,0,Holding
197,1,1,Holding
198,1,1,Holding
199,1,1,Holding
200,1,1,Holding
201,1,1,Holding
202,1,1,Holding
203,1,1,Holding
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,1,1,Holding
210,1,1,Holding
211,1,1,Holding
212,0,1,Holding
213,0,1,Holding
214,0,1,Holding
215,0,1,Holding
216,1,1,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,0,1,Holding
221,1,1,Holding
222,0,1,Holding
223,0,1,Holding
224,0,1,Holding
225,0,1,Holding
226,0,1,Holding
227,0,1,Holding
228,0,1,Holding
229,1,1,Holding
230,1,0,Holding
231,1,1,Holding
232,1,1,Holding
233,1,1,Holding
234,0,1,Holding
235,0,1,Holding
236,1,1,Holding
237,0,0,Holding
238,0,0,sell
239,1,0,No action
240,0,1,Buy
241,0,1,Holding
242,1,0,Holding
243,1,1,Holding
244,1,1,Holding
245,1,1,Holding
246,1,0,Holding
247,0,1,Holding
248,0,1,Holding
249,0,1,Holding
250,0,1,Holding
251,0,0,sell
