,True_Label,Predicted_results,action
0,1,1,Buy
1,1,0,Holding
2,1,1,Holding
3,1,1,Holding
4,0,1,Holding
5,1,1,Holding
6,1,0,Holding
7,0,1,Holding
8,0,1,Holding
9,1,1,Holding
10,1,1,Holding
11,1,1,Holding
12,0,1,Holding
13,1,1,Holding
14,0,0,Holding
15,0,0,sell
16,1,1,Buy
17,0,0,Holding
18,1,1,Holding
19,1,1,Holding
20,1,0,Holding
21,1,0,sell
22,1,1,Buy
23,1,1,Holding
24,0,1,Holding
25,0,1,Holding
26,1,1,Holding
27,1,0,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,1,1,Holding
34,1,1,Holding
35,0,1,Holding
36,0,0,Holding
37,1,1,Holding
38,0,1,Holding
39,0,0,Holding
40,0,0,sell
41,1,1,Buy
42,0,1,Holding
43,1,0,Holding
44,1,0,sell
45,1,1,Buy
46,1,0,Holding
47,1,0,sell
48,0,0,No action
49,1,0,No action
50,0,0,No action
51,0,1,Buy
52,1,1,Holding
53,0,0,Holding
54,0,1,Holding
55,1,0,Holding
56,1,0,sell
57,0,0,No action
58,0,1,Buy
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,0,0,Holding
63,1,0,sell
64,1,0,No action
65,1,1,Buy
66,0,1,Holding
67,1,0,Holding
68,0,0,sell
69,1,0,No action
70,1,1,Buy
71,0,1,Holding
72,0,1,Holding
73,1,1,Holding
74,0,1,Holding
75,1,0,Holding
76,1,0,sell
77,0,0,No action
78,0,1,Buy
79,1,1,Holding
80,0,0,Holding
81,1,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,1,Holding
85,1,1,Holding
86,0,0,Holding
87,0,0,sell
88,0,0,No action
89,1,0,No action
90,1,0,No action
91,0,1,Buy
92,0,0,Holding
93,0,0,sell
94,1,0,No action
95,0,0,No action
96,1,0,No action
97,0,0,No action
98,1,0,No action
99,1,0,No action
100,1,0,No action
101,0,0,No action
102,1,0,No action
103,0,0,No action
104,1,0,No action
105,0,0,No action
106,1,1,Buy
107,0,0,Holding
108,1,1,Holding
109,1,0,Holding
110,1,1,Holding
111,0,0,Holding
112,0,0,sell
113,0,0,No action
114,0,0,No action
115,1,1,Buy
116,1,1,Holding
117,0,1,Holding
118,1,1,Holding
119,1,0,Holding
120,1,1,Holding
121,1,1,Holding
122,1,1,Holding
123,1,1,Holding
124,1,1,Holding
125,0,1,Holding
126,1,0,Holding
127,0,1,Holding
128,1,1,Holding
129,1,1,Holding
130,0,0,Holding
131,1,0,sell
132,0,0,No action
133,0,0,No action
134,0,1,Buy
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,0,Holding
139,1,0,sell
140,0,0,No action
141,0,1,Buy
142,1,1,Holding
143,0,1,Holding
144,0,1,Holding
145,1,0,Holding
146,0,0,sell
147,1,0,No action
148,1,0,No action
149,0,1,Buy
150,1,1,Holding
151,1,1,Holding
152,1,1,Holding
153,1,0,Holding
154,1,1,Holding
155,0,1,Holding
156,0,0,Holding
157,1,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,0,Holding
161,1,0,sell
162,0,0,No action
163,1,1,Buy
164,1,1,Holding
165,0,1,Holding
166,1,0,Holding
167,1,1,Holding
168,0,1,Holding
169,0,1,Holding
170,0,0,Holding
171,0,1,Holding
172,0,1,Holding
173,1,1,Holding
174,0,1,Holding
175,1,1,Holding
176,0,1,Holding
177,0,0,Holding
178,0,0,sell
179,0,0,No action
180,1,1,Buy
181,1,0,Holding
182,1,0,sell
183,0,1,Buy
184,0,0,Holding
185,1,1,Holding
186,0,1,Holding
187,1,1,Holding
188,0,1,Holding
189,1,0,Holding
190,1,0,sell
191,1,1,Buy
192,0,1,Holding
193,0,1,Holding
194,0,1,Holding
195,1,1,Holding
196,1,1,Holding
197,1,1,Holding
198,1,1,Holding
199,1,1,Holding
200,1,1,Holding
201,1,1,Holding
202,0,1,Holding
203,1,1,Holding
204,1,1,Holding
205,0,1,Holding
206,1,0,Holding
207,1,0,sell
208,1,1,Buy
209,1,1,Holding
210,1,1,Holding
211,1,0,Holding
212,1,0,sell
213,1,0,No action
214,0,1,Buy
215,0,1,Holding
216,1,1,Holding
217,1,0,Holding
218,0,1,Holding
219,1,1,Holding
220,0,1,Holding
221,1,1,Holding
222,0,1,Holding
223,0,1,Holding
224,1,1,Holding
225,1,1,Holding
226,0,1,Holding
227,1,0,Holding
228,0,1,Holding
229,0,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,1,Holding
233,1,0,Holding
234,1,1,Holding
235,0,1,Holding
236,1,1,Holding
237,0,1,Holding
238,0,1,Holding
239,1,1,Holding
240,0,1,Holding
241,0,1,Holding
242,0,1,Holding
243,1,1,Holding
244,1,1,Holding
245,1,1,Holding
246,1,1,Holding
247,0,1,Holding
248,1,1,Holding
249,0,0,Holding
250,0,0,sell
251,1,1,sell
