,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
0,2021-01-04,12958.519531,12958.719727,12543.240234,12698.450195,0,0,0,0,No action,No action,No action,No action
1,2021-01-05,12665.650391,12828.269531,12665.650391,12818.959961,0,0,0,0,No action,No action,No action,No action
2,2021-01-06,12666.150391,12909.629883,12649.990234,12740.790039,0,0,0,0,No action,No action,No action,No action
3,2021-01-07,12867.339844,13090.910156,12867.339844,13067.480469,0,0,0,0,No action,No action,No action,No action
4,2021-01-08,13160.219727,13208.089844,13036.549805,13201.980469,0,0,1,0,No action,No action,Buy,No action
5,2021-01-11,13048.780273,13138.269531,12999.509766,13036.429688,0,0,1,0,No action,No action,Holding,No action
6,2021-01-12,13062.05957,13105.040039,12963.919922,13072.429688,0,0,1,0,No action,No action,Holding,No action
7,2021-01-13,13088.009766,13171.150391,13051.05957,13128.950195,0,0,1,0,No action,No action,Holding,No action
8,2021-01-14,13174.75,13220.160156,13098.410156,13112.639648,0,0,1,0,No action,No action,Holding,No action
9,2021-01-15,13099.900391,13139.830078,12949.759766,12998.5,0,0,1,0,No action,No action,Holding,No action
10,2021-01-19,13132.730469,13206.860352,13078.700195,13197.179688,0,0,1,0,No action,No action,Holding,No action
11,2021-01-20,13342.549805,13486.129883,13329.769531,13457.25,0,0,1,0,No action,No action,Holding,No action
12,2021-01-21,13521.480469,13560.349609,13454.070313,13530.910156,0,0,1,0,No action,No action,Holding,No action
13,2021-01-22,13474.80957,13567.139648,13463.660156,13543.05957,0,0,1,0,No action,No action,Holding,No action
14,2021-01-25,13681.209961,13728.980469,13368.679688,13635.990234,0,0,0,0,No action,No action,Holding,No action
15,2021-01-26,13681.719727,13702.69043,13603.19043,13626.05957,0,0,0,0,No action,No action,sell,No action
16,2021-01-27,13486.580078,13538.419922,13192.910156,13270.599609,0,0,0,0,No action,No action,No action,No action
17,2021-01-28,13323.290039,13507.639648,13316.519531,13337.160156,0,0,0,0,No action,No action,No action,No action
18,2021-01-29,13284.719727,13322.0,12985.049805,13070.69043,0,0,0,0,No action,No action,No action,No action
19,2021-02-01,13226.179688,13431.459961,13132.469727,13403.389648,0,0,0,0,No action,No action,No action,No action
20,2021-02-02,13543.099609,13652.700195,13535.860352,13612.780273,0,0,0,0,No action,No action,No action,No action
21,2021-02-03,13718.30957,13723.830078,13585.339844,13610.540039,0,0,0,0,No action,No action,No action,No action
