,True_Label,Predicted_results,action
0,0,1,Buy
1,0,1,Holding
2,1,1,Holding
3,0,1,Holding
4,0,1,Holding
5,1,1,Holding
6,0,1,Holding
7,0,1,Holding
8,0,1,Holding
9,0,1,Holding
10,0,1,Holding
11,1,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,0,1,Holding
17,1,1,Holding
18,1,1,Holding
19,1,1,Holding
20,0,1,Holding
21,0,1,Holding
22,1,1,Holding
23,0,1,Holding
24,0,1,Holding
25,0,1,Holding
26,0,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,1,1,Holding
31,0,1,Holding
32,1,1,Holding
33,0,1,Holding
34,1,1,Holding
35,1,1,Holding
36,1,1,Holding
37,1,1,Holding
38,0,0,Holding
39,0,1,Holding
40,0,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,1,1,Holding
47,1,1,Holding
48,0,1,Holding
49,1,1,Holding
50,1,1,Holding
51,1,1,Holding
52,1,0,Holding
53,0,1,Holding
54,1,0,Holding
55,1,0,sell
56,1,0,No action
57,0,0,No action
58,1,0,No action
59,1,0,No action
60,0,1,Buy
61,0,0,Holding
62,1,0,sell
63,0,1,Buy
64,0,0,Holding
65,1,0,sell
66,1,1,Buy
67,0,1,Holding
68,0,1,Holding
69,1,0,Holding
70,0,1,Holding
71,1,1,Holding
72,0,1,Holding
73,0,1,Holding
74,1,1,Holding
75,0,1,Holding
76,0,1,Holding
77,1,1,Holding
78,0,1,Holding
79,1,1,Holding
80,0,1,Holding
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,0,1,Holding
85,1,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,0,1,Holding
90,1,1,Holding
91,1,1,Holding
92,0,1,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,1,1,Holding
97,1,1,Holding
98,0,1,Holding
99,1,1,Holding
100,0,1,Holding
101,1,1,Holding
102,1,1,Holding
103,0,1,Holding
104,0,1,Holding
105,0,1,Holding
106,0,1,Holding
107,1,0,Holding
108,0,0,sell
109,0,0,No action
110,1,0,No action
111,0,0,No action
112,0,0,No action
113,1,0,No action
114,1,0,No action
115,0,0,No action
116,0,0,No action
117,0,0,No action
118,0,0,No action
119,0,1,Buy
120,1,0,Holding
121,0,0,sell
122,1,0,No action
123,1,0,No action
124,1,0,No action
125,0,0,No action
126,1,0,No action
127,1,0,No action
128,0,0,No action
129,1,0,No action
130,1,0,No action
131,1,0,No action
132,1,0,No action
133,0,0,No action
134,0,0,No action
135,1,0,No action
136,1,0,No action
137,1,0,No action
138,1,0,No action
139,1,0,No action
140,0,0,No action
141,1,0,No action
142,1,0,No action
143,1,0,No action
144,0,0,No action
145,1,0,No action
146,0,0,No action
147,1,0,No action
148,0,0,No action
149,1,0,No action
150,0,1,Buy
151,0,0,Holding
152,0,0,sell
153,0,0,No action
154,0,1,Buy
155,1,0,Holding
156,1,0,sell
157,0,0,No action
158,0,0,No action
159,1,0,No action
160,1,0,No action
161,0,0,No action
162,0,0,No action
163,0,0,No action
164,1,0,No action
165,0,0,No action
166,1,0,No action
167,1,0,No action
168,0,0,No action
169,0,0,No action
170,0,0,No action
171,0,0,No action
172,1,0,No action
173,0,0,No action
174,0,0,No action
175,0,0,No action
176,0,0,No action
177,1,0,No action
178,0,0,No action
179,1,0,No action
180,0,0,No action
181,1,0,No action
182,0,0,No action
183,1,0,No action
184,0,0,No action
185,0,0,No action
186,1,1,Buy
187,0,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,0,Holding
191,0,0,sell
192,0,0,No action
193,0,0,No action
194,1,0,No action
195,1,0,No action
196,0,0,No action
197,1,0,No action
198,0,0,No action
199,1,0,No action
200,1,0,No action
201,0,0,No action
202,0,0,No action
203,0,1,Buy
204,1,1,Holding
205,1,0,Holding
206,1,0,sell
207,0,0,No action
208,1,0,No action
209,0,0,No action
210,1,1,Buy
211,0,0,Holding
212,0,0,sell
213,0,0,No action
214,0,0,No action
215,0,0,No action
216,1,1,Buy
217,1,1,Holding
218,0,1,Holding
219,0,1,Holding
220,1,0,Holding
221,1,1,Holding
222,1,0,Holding
223,0,1,Holding
224,1,1,Holding
225,0,1,Holding
226,0,1,Holding
227,0,1,Holding
228,1,1,Holding
229,0,1,Holding
230,0,1,Holding
231,1,1,Holding
232,0,1,Holding
233,0,1,Holding
234,0,0,Holding
235,0,1,Holding
236,1,1,Holding
237,1,1,Holding
238,0,1,Holding
239,1,1,Holding
240,1,1,Holding
241,0,1,Holding
242,0,1,Holding
243,0,1,sell
