,True_Label,Predicted_results,action
0,0,0,No action
1,0,1,Buy
2,1,0,Holding
3,0,0,sell
4,0,0,No action
5,0,0,No action
6,0,0,No action
7,0,0,No action
8,0,0,No action
9,0,0,No action
10,0,1,Buy
11,0,0,Holding
12,0,0,sell
13,0,0,No action
14,0,0,No action
15,0,0,No action
16,1,0,No action
17,1,0,No action
18,1,0,No action
19,1,1,Buy
20,0,0,Holding
21,0,0,sell
22,0,0,No action
23,0,0,No action
24,0,1,Buy
25,0,0,Holding
26,1,0,sell
27,1,0,No action
28,0,1,Buy
29,0,0,Holding
30,0,0,sell
31,0,0,No action
32,1,1,Buy
33,1,1,Holding
34,1,1,Holding
35,1,1,Holding
36,1,1,Holding
37,0,1,Holding
38,0,1,Holding
39,0,1,Holding
40,0,1,Holding
41,1,1,Holding
42,0,1,Holding
43,1,1,Holding
44,1,1,Holding
45,1,1,Holding
46,1,1,Holding
47,1,1,Holding
48,1,1,Holding
49,1,1,Holding
50,1,1,Holding
51,1,1,Holding
52,1,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,0,Holding
56,1,0,sell
57,0,1,Buy
58,1,1,Holding
59,0,1,Holding
60,0,1,Holding
61,0,1,Holding
62,0,1,Holding
63,0,1,Holding
64,1,1,Holding
65,1,1,Holding
66,0,0,Holding
67,0,0,sell
68,1,1,Buy
69,1,1,Holding
70,0,0,Holding
71,0,0,sell
72,0,0,No action
73,0,1,Buy
74,1,0,Holding
75,0,0,sell
76,1,0,No action
77,1,0,No action
78,0,0,No action
79,0,0,No action
80,0,1,Buy
81,0,1,Holding
82,0,1,Holding
83,0,0,Holding
84,0,0,sell
85,1,0,No action
86,1,1,Buy
87,1,0,Holding
88,1,0,sell
89,1,1,Buy
90,1,0,Holding
91,0,0,sell
92,0,1,Buy
93,1,0,Holding
94,1,0,sell
95,1,0,No action
96,1,1,Buy
97,0,1,Holding
98,0,0,Holding
99,0,1,Holding
100,0,1,Holding
101,0,0,Holding
102,0,0,sell
103,0,0,No action
104,0,1,Buy
105,0,0,Holding
106,0,0,sell
107,0,1,Buy
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,0,1,Holding
112,1,1,Holding
113,1,1,Holding
114,1,1,Holding
115,0,1,Holding
116,0,1,Holding
117,0,1,Holding
118,0,1,Holding
119,1,1,Holding
120,1,1,Holding
121,1,1,Holding
122,1,1,Holding
123,1,1,Holding
124,0,1,Holding
125,0,1,Holding
126,1,1,Holding
127,1,1,Holding
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,1,1,Holding
132,1,1,Holding
133,0,1,Holding
134,1,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,1,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,0,1,Holding
145,0,0,Holding
146,0,0,sell
147,1,1,Buy
148,0,0,Holding
149,0,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,0,Holding
153,0,1,Holding
154,0,1,Holding
155,1,0,Holding
156,1,1,Holding
157,0,0,Holding
158,0,1,Holding
159,1,1,Holding
160,0,1,Holding
161,0,1,Holding
162,0,1,Holding
163,0,1,Holding
164,1,0,Holding
165,1,1,Holding
166,1,1,Holding
167,0,1,Holding
168,0,0,Holding
169,0,1,Holding
170,0,0,Holding
171,0,1,Holding
172,0,1,Holding
173,0,1,Holding
174,0,0,Holding
175,0,1,Holding
176,0,1,Holding
177,0,1,Holding
178,0,0,Holding
179,1,0,sell
180,1,1,Buy
181,1,1,Holding
182,0,1,Holding
183,0,1,Holding
184,0,1,Holding
185,0,1,Holding
186,1,0,Holding
187,1,0,sell
188,1,1,Buy
189,1,1,Holding
190,1,0,Holding
191,0,0,sell
192,0,0,No action
193,1,1,Buy
194,1,1,Holding
195,1,0,Holding
196,1,1,Holding
197,1,1,Holding
198,0,1,Holding
199,1,1,Holding
200,1,1,Holding
201,0,1,Holding
202,1,1,Holding
203,1,1,Holding
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,1,1,Holding
210,1,1,Holding
211,0,0,Holding
212,0,0,sell
213,0,1,Buy
214,0,0,Holding
215,1,1,Holding
216,1,1,Holding
217,1,1,Holding
218,0,0,Holding
219,0,1,Holding
220,1,1,Holding
221,1,1,Holding
222,0,1,Holding
223,0,0,Holding
224,0,1,Holding
225,0,0,Holding
226,0,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,1,Holding
231,1,1,Holding
232,0,0,Holding
233,0,1,Holding
234,0,1,Holding
235,0,1,Holding
236,0,0,Holding
237,0,1,Holding
238,0,0,Holding
239,0,0,sell
240,0,1,Buy
241,0,1,Holding
242,0,1,Holding
243,1,1,sell
