,True_Label,Predicted_results,action
0,0,1,Buy
1,1,0,Holding
2,0,1,Holding
3,1,1,Holding
4,1,1,Holding
5,0,1,Holding
6,1,1,Holding
7,0,0,Holding
8,1,0,sell
9,1,1,Buy
10,1,1,Holding
11,0,1,Holding
12,1,1,Holding
13,1,0,Holding
14,0,0,sell
15,0,0,No action
16,1,1,Buy
17,1,1,Holding
18,1,1,Holding
19,0,1,Holding
20,1,0,Holding
21,1,1,Holding
22,1,0,Holding
23,1,1,Holding
24,0,0,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,1,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,1,1,Holding
37,0,1,Holding
38,1,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,1,Holding
42,0,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,1,Holding
49,0,1,Holding
50,1,1,Holding
51,0,1,Holding
52,1,1,Holding
53,0,0,Holding
54,0,1,Holding
55,1,1,Holding
56,0,1,Holding
57,1,0,Holding
58,0,1,Holding
59,1,1,Holding
60,0,1,Holding
61,0,1,Holding
62,1,0,Holding
63,0,0,sell
64,1,0,No action
65,0,1,Buy
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,1,1,Holding
70,0,1,Holding
71,1,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,0,1,Holding
77,1,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,1,Holding
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,1,Holding
85,1,1,Holding
86,1,0,Holding
87,1,1,Holding
88,1,0,Holding
89,0,0,sell
90,0,1,Buy
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,0,1,Holding
97,1,1,Holding
98,1,0,Holding
99,1,1,Holding
100,0,1,Holding
101,1,0,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,0,1,Holding
106,1,1,Holding
107,1,0,Holding
108,1,1,Holding
109,1,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,0,Holding
113,1,1,Holding
114,1,1,Holding
115,1,1,Holding
116,1,1,Holding
117,1,0,Holding
118,1,1,Holding
119,0,1,Holding
120,1,1,Holding
121,0,0,Holding
122,1,0,sell
123,1,1,Buy
124,1,0,Holding
125,1,0,sell
126,1,1,Buy
127,0,1,Holding
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,1,1,Holding
134,0,0,Holding
135,1,1,Holding
136,1,1,Holding
137,0,0,Holding
138,1,1,Holding
139,0,1,Holding
140,0,1,Holding
141,1,0,Holding
142,0,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,0,Holding
150,0,1,Holding
151,0,1,Holding
152,0,1,Holding
153,1,1,Holding
154,1,1,Holding
155,0,1,Holding
156,1,1,Holding
157,1,0,Holding
158,0,0,sell
159,1,0,No action
160,1,1,Buy
161,1,1,Holding
162,1,1,Holding
163,1,0,Holding
164,0,1,Holding
165,1,0,Holding
166,1,1,Holding
