,True_Label,Predicted_results,action
0,0,0,No action
1,0,1,Buy
2,1,0,Holding
3,0,1,Holding
4,1,0,Holding
5,1,1,Holding
6,1,1,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,0,1,Holding
13,1,1,Holding
14,0,1,Holding
15,0,0,Holding
16,1,1,Holding
17,0,1,Holding
18,0,1,Holding
19,1,1,Holding
20,1,0,Holding
21,1,1,Holding
22,1,1,Holding
23,0,1,Holding
24,1,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,1,1,Holding
29,1,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,1,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,0,1,Holding
49,0,1,Holding
50,1,0,Holding
51,0,0,sell
52,0,0,No action
53,1,1,Buy
54,0,1,Holding
55,1,0,Holding
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,0,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,0,Holding
66,1,0,sell
67,1,1,Buy
68,0,1,Holding
69,0,1,Holding
70,1,0,Holding
71,1,1,Holding
72,1,1,Holding
73,1,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,1,Holding
77,0,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,1,Holding
81,0,1,Holding
82,1,1,Holding
83,1,1,Holding
84,1,0,Holding
85,1,1,Holding
86,0,1,Holding
87,1,1,Holding
88,0,1,Holding
89,1,0,Holding
90,0,0,sell
91,1,1,Buy
92,1,0,Holding
93,1,0,sell
94,0,0,No action
95,1,0,No action
96,1,0,No action
97,0,0,No action
98,0,1,Buy
99,1,1,Holding
100,1,1,Holding
101,1,0,Holding
102,0,1,Holding
103,1,1,Holding
104,1,1,Holding
105,1,1,Holding
106,1,0,Holding
107,1,1,Holding
108,0,0,Holding
109,0,0,sell
110,0,0,No action
111,1,0,No action
112,1,0,No action
113,1,0,No action
114,1,0,No action
115,1,0,No action
116,1,0,No action
117,1,1,Buy
118,0,0,Holding
119,1,1,Holding
120,0,1,Holding
121,1,0,Holding
122,0,0,sell
123,1,0,No action
124,1,1,Buy
125,1,1,Holding
126,0,1,Holding
127,1,1,Holding
128,1,1,Holding
129,0,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,0,1,Holding
134,1,1,Holding
135,0,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,0,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,1,1,Holding
151,0,1,Holding
152,0,1,Holding
153,1,0,Holding
154,0,0,sell
155,0,0,No action
156,1,0,No action
157,0,1,Buy
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,0,1,Holding
163,1,1,Holding
164,1,1,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,0,1,Holding
169,1,0,Holding
170,0,0,sell
171,0,0,No action
172,1,1,Buy
173,1,1,Holding
174,1,0,Holding
175,1,1,Holding
176,0,1,Holding
177,0,1,Holding
178,1,1,Holding
179,0,1,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,1,1,Holding
187,1,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,0,Holding
191,0,1,Holding
192,0,1,Holding
193,0,1,Holding
194,0,1,Holding
195,0,1,Holding
196,1,1,Holding
197,1,1,Holding
198,0,1,Holding
199,0,1,Holding
200,0,1,Holding
201,1,1,Holding
202,1,1,Holding
203,1,1,Holding
204,0,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,0,1,Holding
210,1,1,Holding
211,0,1,Holding
212,0,1,Holding
213,1,1,Holding
214,0,1,Holding
215,1,1,Holding
216,0,1,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,1,1,Holding
221,0,1,Holding
222,0,1,Holding
223,1,1,Holding
224,1,1,Holding
225,1,1,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,1,Holding
233,1,1,Holding
234,1,1,Holding
235,1,1,Holding
236,1,1,Holding
237,1,1,Holding
238,1,1,Holding
239,1,1,Holding
240,1,1,Holding
241,0,1,Holding
242,0,1,Holding
243,1,1,Holding
244,0,1,Holding
245,1,1,Holding
246,1,1,Holding
247,1,1,Holding
248,1,1,Holding
249,0,1,Holding
250,1,0,Holding
251,0,0,sell
252,0,0,No action
253,0,0,No action
254,1,0,No action
255,1,0,No action
256,0,0,No action
257,0,0,No action
258,1,0,No action
259,1,1,Buy
260,1,1,Holding
261,0,0,Holding
262,1,1,Holding
263,0,1,Holding
264,0,1,Holding
265,0,1,Holding
266,0,0,Holding
267,1,0,sell
268,1,1,Buy
269,1,0,Holding
270,0,0,sell
271,1,0,No action
272,0,0,No action
273,0,0,No action
274,1,0,No action
275,1,0,No action
276,0,0,No action
277,1,0,No action
278,0,1,Buy
279,0,0,Holding
280,0,0,sell
281,0,0,No action
282,0,0,No action
283,1,0,No action
284,0,0,No action
285,1,0,No action
286,1,0,No action
287,0,0,No action
288,0,0,No action
289,0,0,No action
290,0,0,No action
291,0,0,No action
292,1,0,No action
293,1,0,No action
294,1,0,No action
295,1,0,No action
296,1,0,No action
297,1,0,No action
298,1,0,No action
299,1,0,No action
300,0,0,No action
301,1,1,Buy
302,1,1,Holding
303,1,0,Holding
304,0,1,Holding
305,1,1,Holding
306,0,1,Holding
307,1,1,Holding
308,1,1,Holding
309,0,1,Holding
310,0,1,Holding
311,1,1,Holding
312,1,1,Holding
313,1,0,Holding
314,1,1,Holding
315,1,1,Holding
316,1,1,Holding
317,0,1,Holding
318,1,1,Holding
319,1,1,Holding
320,1,1,Holding
321,0,1,Holding
322,1,1,Holding
323,1,1,Holding
324,1,1,Holding
325,0,1,Holding
326,0,1,Holding
327,0,0,Holding
328,0,0,sell
329,0,1,Buy
330,1,0,Holding
331,1,1,Holding
332,1,0,Holding
333,1,0,sell
334,0,1,Buy
335,0,0,Holding
336,0,0,sell
337,1,0,No action
338,0,0,No action
339,1,1,Buy
340,1,0,Holding
341,0,0,sell
342,0,0,No action
343,1,1,Buy
344,1,0,Holding
345,1,0,sell
346,1,0,No action
347,1,0,No action
348,1,0,No action
349,0,0,No action
350,1,0,No action
351,0,0,No action
352,0,0,No action
353,1,0,No action
354,0,0,No action
355,1,0,No action
356,1,0,No action
357,1,1,Buy
358,0,0,Holding
359,1,0,sell
360,1,0,No action
361,1,1,Buy
362,0,0,Holding
363,1,0,sell
364,1,0,No action
365,0,0,No action
366,0,0,No action
367,1,0,No action
368,1,0,No action
369,1,0,No action
370,1,0,No action
371,1,0,No action
372,1,0,No action
373,0,0,No action
374,1,1,Buy
375,0,0,Holding
376,0,0,sell
377,1,0,No action
378,1,0,No action
379,1,0,No action
380,1,0,No action
381,0,1,Buy
382,0,1,Holding
383,0,0,Holding
384,0,0,sell
385,1,1,Buy
386,1,1,Holding
387,0,0,Holding
388,0,0,sell
389,0,1,Buy
390,1,1,Holding
391,0,1,Holding
392,1,0,Holding
393,0,1,Holding
394,1,1,Holding
395,1,1,Holding
396,1,1,Holding
397,1,1,Holding
398,0,0,Holding
399,0,1,Holding
400,1,0,Holding
401,0,0,sell
402,0,1,Buy
403,1,1,Holding
404,0,0,Holding
405,0,0,sell
406,1,0,No action
