,True_Label,Predicted_results,action
0,0,1,Buy
1,0,0,Holding
2,1,0,sell
3,1,0,No action
4,1,0,No action
5,1,0,No action
6,1,1,Buy
7,1,0,Holding
8,1,0,sell
9,1,0,No action
10,0,0,No action
11,0,0,No action
12,0,0,No action
13,0,1,Buy
14,0,1,Holding
15,0,0,Holding
16,0,0,sell
17,0,0,No action
18,1,0,No action
19,1,0,No action
20,1,0,No action
21,1,0,No action
22,1,1,Buy
23,1,0,Holding
24,1,0,sell
25,1,0,No action
26,1,0,No action
27,1,1,Buy
28,0,1,Holding
29,0,0,Holding
30,0,1,Holding
31,0,1,Holding
32,0,0,Holding
33,0,0,sell
34,0,0,No action
35,0,0,No action
36,0,0,No action
37,0,0,No action
38,0,0,No action
39,1,0,No action
40,1,0,No action
41,1,1,Buy
42,0,0,Holding
43,0,1,Holding
44,0,1,Holding
45,0,1,Holding
46,0,1,Holding
47,0,1,Holding
48,0,1,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,0,Holding
57,1,1,Holding
58,1,1,Holding
59,1,0,Holding
60,1,0,sell
61,1,1,Buy
62,1,0,Holding
63,1,0,sell
64,1,1,Buy
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,1,Holding
69,1,0,Holding
70,1,0,sell
71,1,1,Buy
72,1,0,Holding
73,1,0,sell
74,0,0,No action
75,1,1,Buy
76,1,1,Holding
77,0,1,Holding
78,1,0,Holding
79,1,0,sell
80,1,1,Buy
81,1,1,Holding
82,1,0,Holding
83,1,1,Holding
84,1,0,Holding
85,1,0,sell
86,1,0,No action
87,1,1,Buy
88,1,0,Holding
89,1,0,sell
90,1,0,No action
91,1,0,No action
92,1,0,No action
93,1,0,No action
94,1,1,Buy
95,1,1,Holding
96,1,1,Holding
97,0,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,1,Holding
101,1,0,Holding
102,1,1,Holding
103,1,0,Holding
104,1,1,Holding
105,1,0,Holding
106,0,0,sell
107,0,0,No action
108,0,1,Buy
109,0,1,Holding
110,0,1,Holding
111,1,0,Holding
112,1,1,Holding
113,1,0,Holding
114,1,0,sell
115,1,1,Buy
116,0,0,Holding
117,0,0,sell
118,0,0,No action
119,0,0,No action
120,0,0,No action
121,1,0,No action
122,1,1,Buy
123,1,0,Holding
124,1,0,sell
125,1,1,Buy
126,1,0,Holding
127,1,1,Holding
128,1,0,Holding
129,1,0,sell
130,1,0,No action
131,0,0,No action
132,1,0,No action
133,1,0,No action
134,1,0,No action
135,1,0,No action
136,1,0,No action
137,1,0,No action
138,1,1,Buy
139,1,0,Holding
140,1,0,sell
141,1,0,No action
142,1,1,Buy
143,1,0,Holding
144,1,0,sell
145,1,0,No action
146,1,0,No action
147,1,0,No action
148,1,0,No action
149,1,1,Buy
150,0,1,Holding
151,0,0,Holding
152,0,0,sell
153,0,1,Buy
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,0,1,Holding
158,1,0,Holding
159,1,0,sell
160,1,1,Buy
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,1,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,1,1,Holding
169,1,1,Holding
170,1,0,Holding
171,1,1,Holding
172,1,1,Holding
173,1,0,Holding
174,1,0,sell
175,0,0,No action
176,0,0,No action
177,0,0,No action
178,0,0,No action
179,0,0,No action
180,0,0,No action
181,0,0,No action
182,0,0,No action
183,1,0,No action
184,1,0,No action
185,1,0,No action
186,1,0,No action
187,1,0,No action
188,1,0,No action
