,True_Label,Predicted_results,action
0,0,0,No action
1,0,1,Buy
2,1,1,Holding
3,1,1,Holding
4,1,0,Holding
5,1,0,sell
6,1,1,Buy
7,1,1,Holding
8,1,1,Holding
9,1,1,Holding
10,0,1,Holding
11,0,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,0,1,Holding
17,0,0,Holding
18,1,0,sell
19,1,1,Buy
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,0,Holding
24,1,0,sell
25,1,1,Buy
26,1,0,Holding
27,1,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,1,1,Holding
41,1,1,Holding
42,0,1,Holding
43,0,1,Holding
44,0,1,Holding
45,0,1,Holding
46,0,1,Holding
47,0,0,Holding
48,0,1,Holding
49,0,0,Holding
50,0,0,sell
51,0,0,No action
52,0,0,No action
53,1,0,No action
54,1,1,Buy
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,1,1,Holding
63,1,0,Holding
64,1,0,sell
65,1,0,No action
66,1,0,No action
67,1,0,No action
68,0,0,No action
69,1,1,Buy
70,1,0,Holding
71,1,0,sell
72,1,1,Buy
73,1,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,0,Holding
77,0,1,Holding
78,1,1,Holding
79,1,1,Holding
80,1,1,Holding
81,1,1,Holding
82,1,1,Holding
83,1,0,Holding
84,1,1,Holding
85,1,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,1,1,Holding
90,1,1,Holding
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,1,1,Holding
95,1,0,Holding
96,1,1,Holding
97,0,1,Holding
98,1,1,Holding
99,1,0,Holding
100,1,1,Holding
101,1,1,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,1,1,Holding
106,0,1,Holding
107,0,1,Holding
108,0,0,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,0,Holding
114,1,1,Holding
115,1,1,Holding
116,0,1,Holding
117,0,1,Holding
118,0,1,Holding
119,0,1,Holding
120,0,1,Holding
121,1,1,Holding
122,1,1,Holding
123,1,0,Holding
124,1,0,sell
125,1,1,Buy
126,1,1,Holding
127,1,1,Holding
128,1,0,Holding
129,1,1,Holding
130,1,0,Holding
131,0,0,sell
132,1,0,No action
133,1,1,Buy
134,1,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,1,0,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,0,Holding
147,1,0,sell
148,1,1,Buy
149,1,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,1,Holding
153,0,1,Holding
154,0,0,Holding
155,0,1,Holding
156,1,0,Holding
157,0,0,sell
158,1,1,Buy
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,0,Holding
165,1,1,Holding
166,1,0,Holding
167,1,0,sell
168,1,1,Buy
169,1,0,Holding
170,1,1,Holding
171,1,1,Holding
172,1,1,Holding
173,1,1,Holding
174,1,1,Holding
175,0,1,Holding
176,0,1,Holding
177,0,1,Holding
178,0,1,Holding
179,0,1,Holding
180,0,1,Holding
181,0,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,1,1,Holding
187,1,1,Holding
188,1,1,Holding
189,0,1,Holding
190,0,1,Holding
191,0,1,Holding
192,0,0,Holding
193,0,1,Holding
194,0,1,Holding
195,0,1,Holding
196,0,1,Holding
197,0,1,Holding
198,0,1,Holding
199,0,0,Holding
200,0,1,Holding
201,1,1,Holding
202,1,1,Holding
203,1,1,Holding
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,0,Holding
208,1,0,sell
209,0,0,No action
210,1,0,No action
211,0,1,Buy
212,1,1,Holding
213,1,1,Holding
214,1,0,Holding
215,1,1,Holding
216,1,1,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,1,1,Holding
221,1,1,Holding
222,1,1,Holding
223,1,1,Holding
224,1,1,Holding
225,1,1,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,1,Holding
233,1,1,Holding
234,1,1,Holding
235,1,0,Holding
236,1,1,Holding
237,1,0,Holding
238,0,0,sell
239,0,1,Buy
240,0,1,Holding
241,0,0,Holding
242,1,0,sell
243,1,0,No action
244,1,0,No action
245,1,0,No action
246,1,1,Buy
247,1,1,Holding
248,1,1,Holding
249,0,0,Holding
250,0,1,Holding
251,0,1,Holding
252,0,0,Holding
253,0,1,Holding
254,0,1,Holding
255,0,1,Holding
256,0,0,Holding
257,1,1,Holding
258,1,0,Holding
259,1,0,sell
260,1,1,Buy
261,1,1,Holding
262,0,1,Holding
263,0,1,Holding
264,0,1,Holding
265,0,1,Holding
266,0,1,Holding
267,1,1,Holding
268,1,1,Holding
269,1,0,Holding
270,0,1,Holding
271,1,1,Holding
272,1,1,Holding
273,1,1,Holding
274,1,1,Holding
275,1,1,Holding
276,0,0,Holding
277,0,0,sell
278,0,0,No action
279,0,0,No action
280,0,1,Buy
281,0,1,Holding
282,0,1,Holding
283,1,1,Holding
284,0,1,Holding
285,1,1,Holding
286,0,1,Holding
287,0,0,Holding
288,0,1,Holding
289,0,1,Holding
290,1,0,Holding
291,1,1,Holding
292,1,1,Holding
293,1,0,Holding
294,1,1,Holding
295,1,0,Holding
296,1,1,Holding
297,1,0,Holding
298,1,0,sell
299,1,0,No action
300,0,0,No action
301,1,1,Buy
302,1,0,Holding
303,1,0,sell
304,1,1,Buy
305,1,1,Holding
306,1,1,Holding
307,1,1,Holding
308,1,1,Holding
309,1,1,Holding
310,1,1,Holding
311,1,0,Holding
312,1,1,Holding
313,1,1,Holding
314,1,1,Holding
315,1,1,Holding
316,1,1,Holding
317,1,1,Holding
318,1,0,Holding
319,1,0,sell
320,0,0,No action
321,0,1,Buy
322,0,0,Holding
323,0,0,sell
324,0,1,Buy
325,0,0,Holding
326,0,0,sell
327,0,0,No action
328,0,1,Buy
329,0,1,Holding
330,1,1,Holding
331,1,0,Holding
332,1,0,sell
333,0,0,No action
334,0,0,No action
335,0,1,Buy
336,0,1,Holding
337,1,1,Holding
338,0,0,Holding
339,1,0,sell
340,0,0,No action
341,0,0,No action
342,0,0,No action
343,1,1,Buy
344,1,1,Holding
345,1,1,Holding
346,1,1,Holding
347,1,0,Holding
348,1,0,sell
349,1,1,Buy
350,1,0,Holding
351,0,0,sell
352,0,0,No action
353,1,0,No action
354,1,0,No action
355,1,1,Buy
356,1,1,Holding
357,1,1,Holding
358,1,1,Holding
359,1,1,Holding
360,1,1,Holding
361,1,1,Holding
362,0,1,Holding
363,1,1,Holding
364,1,1,Holding
365,1,1,Holding
366,1,0,Holding
367,1,1,Holding
368,1,1,Holding
369,1,1,Holding
370,1,1,Holding
371,1,0,Holding
372,1,1,Holding
373,0,1,Holding
374,0,1,Holding
375,0,1,Holding
376,1,1,Holding
377,1,1,Holding
378,1,1,Holding
379,1,1,Holding
380,1,1,Holding
381,0,1,Holding
382,0,1,Holding
383,0,1,Holding
384,1,0,Holding
385,1,0,sell
386,0,1,Buy
387,0,1,Holding
388,0,1,Holding
389,0,1,Holding
390,1,1,Holding
391,0,1,Holding
392,1,1,Holding
393,1,1,Holding
394,1,1,Holding
395,1,1,Holding
396,0,1,Holding
397,0,1,Holding
398,0,1,Holding
399,0,1,Holding
400,0,0,Holding
401,0,1,Holding
