,True_Label,Predicted_results,action
0,0,1,Buy
1,0,1,Holding
2,1,1,Holding
3,1,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,1,1,Holding
9,1,1,Holding
10,0,1,Holding
11,0,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,0,1,Holding
17,0,1,Holding
18,1,1,Holding
19,1,1,Holding
20,1,0,Holding
21,1,0,sell
22,1,0,No action
23,1,0,No action
24,1,1,Buy
25,1,0,Holding
26,1,0,sell
27,1,0,No action
28,0,0,No action
29,0,0,No action
30,0,1,Buy
31,0,0,Holding
32,0,0,sell
33,0,0,No action
34,0,0,No action
35,0,0,No action
36,0,0,No action
37,0,0,No action
38,0,0,No action
39,1,0,No action
40,1,0,No action
41,1,1,Buy
42,0,1,Holding
43,0,1,Holding
44,0,0,Holding
45,0,0,sell
46,0,0,No action
47,0,1,Buy
48,0,1,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,1,1,Holding
63,1,0,Holding
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,1,Holding
69,1,1,Holding
70,1,1,Holding
71,1,1,Holding
72,1,1,Holding
73,1,0,Holding
74,0,1,Holding
75,1,1,Holding
76,1,0,Holding
77,0,0,sell
78,1,0,No action
79,1,0,No action
80,1,0,No action
81,1,1,Buy
82,1,1,Holding
83,1,0,Holding
84,1,1,Holding
85,1,0,Holding
86,1,0,sell
87,1,0,No action
88,1,0,No action
89,1,1,Buy
90,1,1,Holding
91,1,1,Holding
92,1,0,Holding
93,1,1,Holding
94,1,1,Holding
95,1,1,Holding
96,1,1,Holding
97,0,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,1,Holding
101,1,1,Holding
102,1,0,Holding
103,1,1,Holding
104,1,1,Holding
105,1,1,Holding
106,0,1,Holding
107,0,0,Holding
108,0,0,sell
109,0,0,No action
110,0,1,Buy
111,1,1,Holding
112,1,0,Holding
113,1,0,sell
114,1,0,No action
115,1,0,No action
116,0,0,No action
117,0,0,No action
118,0,0,No action
119,0,0,No action
120,0,0,No action
121,1,1,Buy
122,1,0,Holding
123,1,0,sell
124,1,0,No action
125,1,0,No action
126,1,0,No action
127,1,1,Buy
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,1,1,Holding
134,1,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,1,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,1,Holding
153,0,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,0,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,1,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,1,1,Holding
169,1,1,Holding
170,1,1,Holding
171,1,0,Holding
172,1,0,sell
173,1,0,No action
174,1,0,No action
175,0,0,No action
176,0,0,No action
177,0,0,No action
178,0,0,No action
179,0,0,No action
180,0,0,No action
181,0,0,No action
182,0,0,No action
183,1,0,No action
184,1,0,No action
185,1,0,No action
186,1,0,No action
187,1,0,No action
188,1,0,No action
189,0,0,No action
190,0,0,No action
191,0,0,No action
192,0,0,No action
193,0,0,No action
194,0,0,No action
195,0,0,No action
196,0,0,No action
197,0,0,No action
198,0,0,No action
199,0,0,No action
200,0,0,No action
201,1,0,No action
202,1,0,No action
203,1,1,Buy
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,0,Holding
208,1,1,Holding
209,0,1,Holding
210,1,1,Holding
211,0,1,Holding
212,1,1,Holding
213,1,1,Holding
214,1,0,Holding
215,1,0,sell
216,1,0,No action
217,1,0,No action
218,1,0,No action
219,1,0,No action
220,1,0,No action
221,1,0,No action
222,1,0,No action
223,1,0,No action
224,1,0,No action
225,1,0,No action
226,1,0,No action
227,1,0,No action
228,1,0,No action
229,1,0,No action
230,1,0,No action
231,0,0,No action
232,1,0,No action
233,1,0,No action
234,1,0,No action
235,1,0,No action
236,1,0,No action
237,1,0,No action
238,0,0,No action
239,0,0,No action
240,0,0,No action
241,0,0,No action
242,1,0,No action
243,1,0,No action
244,1,0,No action
245,1,1,Buy
246,1,0,Holding
247,1,0,sell
248,1,0,No action
249,0,1,Buy
250,0,1,Holding
251,0,1,Holding
252,0,1,Holding
253,0,1,Holding
254,0,1,Holding
255,0,1,Holding
256,0,1,Holding
257,1,1,Holding
258,1,0,Holding
259,1,1,Holding
260,1,1,Holding
261,1,1,Holding
262,0,0,Holding
263,0,0,sell
264,0,1,Buy
265,0,0,Holding
266,0,1,Holding
267,1,1,Holding
268,1,0,Holding
269,1,0,sell
270,0,0,No action
271,1,0,No action
272,1,0,No action
273,1,0,No action
274,1,0,No action
275,1,0,No action
276,0,1,Buy
277,0,1,Holding
278,0,1,Holding
279,0,0,Holding
280,0,1,Holding
281,0,1,Holding
282,0,1,Holding
283,1,1,Holding
284,0,1,Holding
285,1,1,Holding
286,0,1,Holding
287,0,1,Holding
288,0,1,Holding
289,0,1,Holding
290,1,1,Holding
291,1,1,Holding
292,1,0,Holding
293,1,1,Holding
294,1,0,Holding
295,1,1,Holding
296,1,1,Holding
297,1,1,Holding
298,1,1,Holding
299,1,1,Holding
300,0,1,Holding
301,1,1,Holding
302,1,1,Holding
303,1,1,Holding
304,1,1,Holding
305,1,1,Holding
306,1,1,Holding
307,1,1,Holding
308,1,1,Holding
309,1,1,Holding
310,1,0,Holding
311,1,1,Holding
312,1,1,Holding
313,1,1,Holding
314,1,0,Holding
315,1,0,sell
316,1,0,No action
317,1,1,Buy
318,1,1,Holding
319,1,1,Holding
320,0,1,Holding
321,0,1,Holding
322,0,1,Holding
323,0,1,Holding
324,0,1,Holding
325,0,1,Holding
326,0,1,Holding
327,0,1,Holding
328,0,0,Holding
329,0,1,Holding
330,1,1,Holding
331,1,0,Holding
332,1,1,Holding
333,0,1,Holding
334,0,1,Holding
335,0,1,Holding
336,0,1,Holding
337,1,1,Holding
338,0,1,Holding
339,1,1,Holding
340,0,1,Holding
341,0,1,Holding
342,0,1,Holding
343,1,1,Holding
344,1,1,Holding
345,1,1,Holding
346,1,1,Holding
347,1,1,Holding
348,1,1,Holding
349,1,1,Holding
350,1,1,Holding
351,0,1,Holding
352,0,0,Holding
353,1,1,Holding
354,1,0,Holding
355,1,0,sell
356,1,0,No action
357,1,0,No action
358,1,0,No action
359,1,0,No action
360,1,0,No action
361,1,1,Buy
362,0,1,Holding
363,1,1,Holding
364,1,0,Holding
365,1,1,Holding
366,1,1,Holding
367,1,1,Holding
368,1,1,Holding
369,1,1,Holding
370,1,1,Holding
371,1,1,Holding
372,1,1,Holding
373,0,1,Holding
374,0,1,Holding
375,0,1,Holding
376,1,1,Holding
377,1,1,Holding
378,1,1,Holding
379,1,1,Holding
380,1,1,Holding
381,0,1,Holding
382,0,1,Holding
383,0,1,Holding
384,1,1,Holding
385,1,1,Holding
386,0,1,Holding
387,0,1,Holding
388,0,1,Holding
389,0,1,Holding
390,1,1,Holding
391,0,1,Holding
392,1,1,Holding
393,1,1,Holding
394,1,1,Holding
395,1,1,Holding
396,0,0,Holding
