,True_Label,Predicted_results,action
0,0,1,Buy
1,0,1,Holding
2,1,1,Holding
3,1,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,1,0,Holding
9,1,1,Holding
10,0,1,Holding
11,0,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,0,1,Holding
17,0,1,Holding
18,1,0,Holding
19,1,0,sell
20,1,0,No action
21,1,0,No action
22,1,0,No action
23,1,0,No action
24,1,1,Buy
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,0,Holding
29,0,0,sell
30,0,0,No action
31,0,0,No action
32,0,0,No action
33,0,0,No action
34,0,0,No action
35,0,0,No action
36,0,0,No action
37,0,0,No action
38,0,0,No action
39,1,0,No action
40,1,0,No action
41,1,0,No action
42,0,1,Buy
43,0,0,Holding
44,0,0,sell
45,0,0,No action
46,0,0,No action
47,0,1,Buy
48,0,1,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,0,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,1,1,Holding
62,1,0,Holding
63,1,0,sell
64,1,1,Buy
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,1,Holding
69,1,1,Holding
70,1,1,Holding
71,1,1,Holding
72,1,1,Holding
73,1,0,Holding
74,0,1,Holding
75,1,1,Holding
76,1,0,Holding
77,0,0,sell
78,1,0,No action
79,1,0,No action
80,1,0,No action
81,1,1,Buy
82,1,0,Holding
83,1,0,sell
84,1,0,No action
85,1,0,No action
86,1,0,No action
87,1,0,No action
88,1,0,No action
89,1,0,No action
90,1,0,No action
91,1,0,No action
92,1,1,Buy
93,1,1,Holding
94,1,0,Holding
95,1,1,Holding
96,1,1,Holding
97,0,0,Holding
98,1,1,Holding
99,1,1,Holding
100,1,0,Holding
101,1,0,sell
102,1,0,No action
103,1,1,Buy
104,1,1,Holding
105,1,1,Holding
106,0,1,Holding
107,0,0,Holding
108,0,1,Holding
109,0,1,Holding
110,0,0,Holding
111,1,1,Holding
112,1,1,Holding
113,1,1,Holding
114,1,0,Holding
115,1,0,sell
116,0,0,No action
117,0,0,No action
118,0,0,No action
119,0,0,No action
120,0,0,No action
121,1,0,No action
122,1,0,No action
123,1,1,Buy
124,1,1,Holding
125,1,1,Holding
126,1,1,Holding
127,1,1,Holding
128,1,1,Holding
129,1,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,1,1,Holding
134,1,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,1,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,0,1,Holding
151,0,1,Holding
152,0,0,Holding
153,0,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,0,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,1,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,1,0,Holding
169,1,1,Holding
170,1,1,Holding
171,1,0,Holding
172,1,0,sell
173,1,0,No action
174,1,0,No action
175,0,1,Buy
176,0,0,Holding
177,0,0,sell
178,0,0,No action
179,0,0,No action
180,0,0,No action
181,0,0,No action
182,0,0,No action
183,1,0,No action
184,1,0,No action
185,1,0,No action
186,1,0,No action
187,1,0,No action
188,1,0,No action
189,0,0,No action
190,0,0,No action
191,0,0,No action
192,0,0,No action
193,0,0,No action
194,0,0,No action
195,0,0,No action
196,0,0,No action
197,0,0,No action
198,0,0,No action
199,0,0,No action
200,0,1,Buy
201,1,0,Holding
202,1,0,sell
203,1,1,Buy
204,1,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,0,0,Holding
210,1,1,Holding
211,0,1,Holding
212,1,1,Holding
213,1,0,Holding
214,1,0,sell
215,1,0,No action
216,1,0,No action
217,1,0,No action
218,1,0,No action
219,1,0,No action
220,1,1,Buy
221,1,0,Holding
222,1,0,sell
223,1,0,No action
224,1,1,Buy
225,1,0,Holding
226,1,1,Holding
227,1,1,Holding
228,1,0,Holding
229,1,0,sell
230,1,0,No action
231,0,1,Buy
232,1,1,Holding
233,1,1,Holding
234,1,0,Holding
235,1,0,sell
236,1,0,No action
237,1,0,No action
238,0,0,No action
239,0,0,No action
240,0,0,No action
241,0,0,No action
242,1,0,No action
243,1,0,No action
244,1,0,No action
245,1,1,Buy
246,1,0,Holding
247,1,0,sell
248,1,0,No action
249,0,1,Buy
250,0,1,Holding
251,0,1,Holding
252,0,0,Holding
253,0,1,Holding
254,0,1,Holding
255,0,1,Holding
256,0,1,Holding
257,1,1,Holding
258,1,1,Holding
259,1,1,Holding
260,1,1,Holding
261,1,1,Holding
262,0,0,Holding
263,0,0,sell
264,0,0,No action
265,0,1,Buy
266,0,1,Holding
267,1,1,Holding
268,1,0,Holding
269,1,0,sell
270,0,0,No action
271,1,0,No action
272,1,1,Buy
273,1,0,Holding
274,1,0,sell
275,1,1,Buy
276,0,1,Holding
277,0,1,Holding
278,0,1,Holding
279,0,1,Holding
280,0,1,Holding
281,0,1,Holding
282,0,1,Holding
283,1,1,Holding
284,0,1,Holding
285,1,1,Holding
286,0,1,Holding
287,0,1,Holding
288,0,1,Holding
289,0,1,Holding
290,1,1,Holding
291,1,1,Holding
292,1,1,Holding
293,1,1,Holding
294,1,1,Holding
295,1,1,Holding
296,1,1,Holding
297,1,1,Holding
298,1,1,Holding
299,1,1,Holding
300,0,1,Holding
301,1,1,Holding
302,1,1,Holding
303,1,1,Holding
304,1,1,Holding
305,1,1,Holding
306,1,0,Holding
307,1,1,Holding
308,1,1,Holding
309,1,1,Holding
310,1,1,Holding
311,1,0,Holding
312,1,1,Holding
313,1,0,Holding
314,1,0,sell
315,1,0,No action
316,1,0,No action
317,1,1,Buy
318,1,1,Holding
319,1,1,Holding
320,0,1,Holding
321,0,1,Holding
322,0,1,Holding
323,0,1,Holding
324,0,1,Holding
325,0,1,Holding
326,0,1,Holding
327,0,1,Holding
328,0,0,Holding
329,0,1,Holding
330,1,1,Holding
331,1,0,Holding
332,1,1,Holding
333,0,1,Holding
334,0,1,Holding
335,0,1,Holding
336,0,1,Holding
337,1,1,Holding
338,0,1,Holding
339,1,1,Holding
340,0,1,Holding
341,0,1,Holding
342,0,1,Holding
343,1,1,Holding
344,1,1,Holding
345,1,1,Holding
346,1,1,Holding
347,1,1,Holding
348,1,1,Holding
349,1,1,Holding
350,1,1,Holding
351,0,1,Holding
352,0,0,Holding
353,1,1,Holding
354,1,0,Holding
355,1,0,sell
356,1,0,No action
357,1,0,No action
358,1,0,No action
359,1,0,No action
360,1,0,No action
361,1,1,Buy
362,0,1,Holding
363,1,1,Holding
364,1,0,Holding
365,1,1,Holding
366,1,0,Holding
367,1,1,Holding
368,1,1,Holding
369,1,1,Holding
370,1,1,Holding
371,1,1,Holding
372,1,1,Holding
373,0,1,Holding
374,0,1,Holding
375,0,1,Holding
376,1,1,Holding
377,1,1,Holding
378,1,1,Holding
379,1,1,Holding
380,1,1,Holding
381,0,1,Holding
382,0,1,Holding
383,0,1,Holding
384,1,1,Holding
385,1,1,Holding
386,0,1,Holding
387,0,1,Holding
388,0,1,Holding
389,0,1,Holding
390,1,0,Holding
391,0,1,Holding
392,1,0,Holding
393,1,0,sell
394,1,0,No action
395,1,1,Buy
396,0,0,Holding
