,True_Label,Predicted_results,action
0,1,0,No action
1,0,0,No action
2,1,0,No action
3,0,0,No action
4,1,1,Buy
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,0,1,Holding
9,1,0,Holding
10,1,0,sell
11,1,1,Buy
12,0,0,Holding
13,1,1,Holding
14,0,0,Holding
15,0,1,Holding
16,1,0,Holding
17,0,1,Holding
18,0,1,Holding
19,0,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,0,0,Holding
24,0,1,Holding
25,1,0,Holding
26,1,0,sell
27,0,0,No action
28,1,0,No action
29,0,1,Buy
30,0,0,Holding
31,1,0,sell
32,0,1,Buy
33,0,1,Holding
34,0,0,Holding
35,1,0,sell
36,0,1,Buy
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,1,1,Holding
41,1,0,Holding
42,1,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,0,Holding
46,0,1,Holding
47,0,0,Holding
48,0,1,Holding
49,0,0,Holding
50,0,0,sell
51,0,1,Buy
52,0,0,Holding
53,1,0,sell
54,0,0,No action
55,1,0,No action
56,1,1,Buy
57,0,1,Holding
58,1,1,Holding
59,0,1,Holding
60,1,1,Holding
61,0,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,0,0,Holding
67,1,1,Holding
68,1,1,Holding
69,0,1,Holding
70,1,1,Holding
71,0,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,1,Holding
77,0,1,Holding
78,1,1,Holding
79,1,1,Holding
80,1,1,Holding
81,0,1,Holding
82,1,1,Holding
83,0,1,Holding
84,1,1,Holding
85,0,1,Holding
86,0,0,Holding
87,1,0,sell
88,0,0,No action
89,1,0,No action
90,1,0,No action
91,1,1,Buy
92,1,1,Holding
93,1,1,Holding
94,0,0,Holding
95,1,1,Holding
96,1,0,Holding
97,1,0,sell
98,0,0,No action
99,1,0,No action
100,1,0,No action
101,1,0,No action
102,1,0,No action
103,1,0,No action
104,1,1,Buy
105,1,0,Holding
106,1,0,sell
107,1,1,Buy
