,True_Label,Predicted_results,action
0,1,0,No action
1,0,0,No action
2,1,1,Buy
3,0,1,Holding
4,1,1,Holding
5,1,0,Holding
6,1,1,Holding
7,1,1,Holding
8,0,0,Holding
9,1,1,Holding
10,1,1,Holding
11,1,1,Holding
12,0,1,Holding
13,1,1,Holding
14,0,0,Holding
15,0,1,Holding
16,1,1,Holding
17,0,0,Holding
18,0,0,sell
19,0,1,Buy
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,0,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,0,1,Holding
28,1,1,Holding
29,0,1,Holding
30,0,0,Holding
31,1,1,Holding
32,0,0,Holding
33,0,1,Holding
34,0,0,Holding
35,1,1,Holding
36,0,0,Holding
37,0,0,sell
38,0,1,Buy
39,1,0,Holding
40,1,0,sell
41,1,0,No action
42,1,1,Buy
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,0,0,Holding
47,0,1,Holding
48,0,0,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,0,1,Holding
55,1,1,Holding
56,1,1,Holding
57,0,1,Holding
58,1,1,Holding
59,0,1,Holding
60,1,1,Holding
61,0,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,0,1,Holding
67,1,1,Holding
68,1,1,Holding
69,0,0,Holding
70,1,1,Holding
71,0,1,Holding
72,1,0,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,1,Holding
77,0,1,Holding
78,1,1,Holding
79,1,1,Holding
80,1,1,Holding
81,0,1,Holding
82,1,0,Holding
83,0,0,sell
84,1,0,No action
85,0,0,No action
86,0,0,No action
87,1,0,No action
88,0,0,No action
89,1,0,No action
90,1,1,Buy
91,1,0,Holding
92,1,0,sell
93,1,0,No action
94,0,1,Buy
95,1,1,Holding
96,1,1,Holding
97,1,0,Holding
98,0,0,sell
99,1,0,No action
100,1,0,No action
101,1,0,No action
102,1,0,No action
103,1,1,Buy
104,1,0,Holding
105,1,0,sell
106,1,0,No action
