,True_Label,Predicted_results,action
0,0,0,No action
1,0,0,No action
2,1,0,No action
3,1,0,No action
4,1,0,No action
5,1,0,No action
6,1,0,No action
7,1,0,No action
8,1,0,No action
9,1,0,No action
10,1,0,No action
11,0,0,No action
12,0,0,No action
13,0,0,No action
14,0,1,Buy
15,0,0,Holding
16,0,0,sell
17,0,1,Buy
18,1,0,Holding
19,1,0,sell
20,1,0,No action
21,1,0,No action
22,1,1,Buy
23,0,1,Holding
24,1,1,Holding
25,1,0,Holding
26,1,0,sell
27,0,0,No action
28,0,0,No action
29,0,0,No action
30,0,0,No action
31,0,0,No action
32,0,1,Buy
33,0,0,Holding
34,0,0,sell
35,0,1,Buy
36,0,0,Holding
37,0,1,Holding
38,0,0,Holding
39,1,0,sell
40,1,0,No action
41,1,0,No action
42,0,0,No action
43,0,0,No action
44,0,0,No action
45,0,0,No action
46,0,0,No action
47,0,0,No action
48,0,0,No action
49,0,1,Buy
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,0,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,0,0,Holding
62,1,0,sell
63,1,1,Buy
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,1,0,Holding
70,1,1,Holding
71,1,0,Holding
72,1,0,sell
73,0,1,Buy
74,1,1,Holding
75,1,1,Holding
76,1,1,Holding
77,1,1,Holding
78,1,1,Holding
79,1,0,Holding
80,0,0,sell
81,0,0,No action
82,1,0,No action
83,1,0,No action
84,1,0,No action
85,0,0,No action
86,0,1,Buy
87,1,1,Holding
88,1,1,Holding
89,1,0,Holding
90,1,0,sell
91,1,0,No action
92,1,0,No action
93,1,0,No action
94,1,0,No action
95,1,0,No action
96,1,0,No action
97,1,0,No action
98,1,0,No action
99,1,0,No action
100,1,0,No action
101,1,0,No action
102,1,0,No action
103,1,0,No action
104,1,0,No action
105,0,0,No action
106,0,0,No action
107,0,0,No action
108,0,0,No action
109,0,0,No action
110,0,0,No action
111,1,0,No action
112,0,1,Buy
113,0,0,Holding
114,1,0,sell
115,0,0,No action
116,0,0,No action
117,0,0,No action
118,0,0,No action
119,1,0,No action
120,0,0,No action
121,1,0,No action
122,1,0,No action
123,1,0,No action
124,1,0,No action
125,1,0,No action
126,0,0,No action
