,True_Label,Predicted_results,action
0,0,1,Buy
1,1,1,Holding
2,0,1,Holding
3,1,1,Holding
4,1,1,Holding
5,0,1,Holding
6,1,1,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,1,1,Holding
13,1,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,1,Holding
18,1,1,Holding
19,0,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,0,Holding
42,0,1,Holding
43,0,1,Holding
44,0,0,Holding
45,1,0,sell
46,0,0,No action
47,0,0,No action
48,1,0,No action
49,0,0,No action
50,1,0,No action
51,0,0,No action
52,1,0,No action
53,0,0,No action
54,0,0,No action
55,1,0,No action
56,1,0,No action
57,1,0,No action
58,0,0,No action
59,1,1,Buy
60,0,1,Holding
61,0,0,Holding
62,1,0,sell
63,0,0,No action
64,1,0,No action
65,0,0,No action
66,1,0,No action
67,1,0,No action
68,0,1,Buy
69,1,1,Holding
70,0,1,Holding
71,1,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,0,1,Holding
77,1,1,Holding
78,1,0,Holding
79,0,0,sell
80,1,1,Buy
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,1,Holding
85,0,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,0,1,Holding
90,0,1,Holding
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,0,0,Holding
95,1,0,sell
96,0,0,No action
97,1,0,No action
98,1,0,No action
99,1,0,No action
100,0,0,No action
101,1,0,No action
102,1,0,No action
103,1,0,No action
104,1,0,No action
105,0,0,No action
106,1,0,No action
107,1,0,No action
108,0,0,No action
