,True_Label,Predicted_results,action
0,0,1,Buy
1,1,0,Holding
2,0,0,sell
3,1,1,Buy
4,1,1,Holding
5,0,1,Holding
6,1,1,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,0,Holding
12,1,1,Holding
13,1,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,1,Holding
18,1,1,Holding
19,0,0,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,0,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,0,Holding
42,0,0,sell
43,0,1,Buy
44,0,1,Holding
45,1,1,Holding
46,0,0,Holding
47,0,1,Holding
48,1,0,Holding
49,0,0,sell
50,1,1,Buy
51,0,1,Holding
52,1,1,Holding
53,0,0,Holding
54,0,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,0,1,Holding
59,1,1,Holding
60,0,1,Holding
61,0,1,Holding
62,1,1,Holding
63,0,1,Holding
64,1,1,Holding
65,0,1,Holding
66,1,1,Holding
67,1,1,Holding
68,0,0,Holding
69,1,0,sell
70,0,1,Buy
71,1,1,Holding
72,1,0,Holding
73,0,0,sell
74,0,0,No action
75,1,1,Buy
76,0,0,Holding
77,1,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,0,Holding
81,0,0,sell
82,0,1,Buy
83,1,0,Holding
84,1,1,Holding
85,0,0,Holding
86,1,0,sell
87,1,1,Buy
88,1,0,Holding
89,0,0,sell
90,0,1,Buy
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,0,1,Holding
97,1,0,Holding
98,1,1,Holding
99,1,0,Holding
100,0,1,Holding
101,1,0,Holding
102,1,1,Holding
103,1,0,Holding
104,1,1,Holding
105,0,1,Holding
106,1,1,Holding
107,1,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,1,Holding
114,0,1,Holding
115,1,1,Holding
116,0,1,Holding
117,1,1,Holding
118,1,1,Holding
119,0,1,Holding
120,1,0,Holding
121,0,1,Holding
122,1,1,Holding
123,1,0,Holding
124,1,1,Holding
125,1,1,Holding
126,1,0,Holding
127,0,0,sell
128,1,0,No action
129,0,0,No action
130,1,1,Buy
131,0,1,Holding
132,1,0,Holding
133,1,0,sell
134,0,1,Buy
135,1,1,Holding
136,1,0,Holding
137,1,0,sell
138,1,1,Buy
139,0,0,Holding
140,0,0,sell
141,1,1,Buy
142,0,0,Holding
143,1,1,Holding
144,0,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,0,Holding
148,1,1,Holding
149,1,0,Holding
150,1,0,sell
151,1,1,Buy
152,0,1,Holding
153,1,0,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,1,0,Holding
158,0,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,0,Holding
162,1,1,Holding
163,1,0,Holding
164,1,0,sell
165,1,0,No action
166,0,1,Buy
167,1,0,Holding
