,True_Label,Predicted_results,action
0,0,0,No action
1,1,0,No action
2,1,1,Buy
3,1,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,1,1,Holding
9,1,0,Holding
10,1,1,Holding
11,0,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,0,Holding
18,1,0,sell
19,1,1,Buy
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,1,0,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,0,Holding
34,0,1,Holding
35,0,1,Holding
36,0,0,Holding
37,0,1,Holding
38,1,1,Holding
39,1,1,Holding
40,0,1,Holding
41,0,1,Holding
42,0,0,Holding
43,0,1,Holding
44,0,1,Holding
45,0,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,1,Holding
49,0,0,Holding
50,0,0,sell
51,0,1,Buy
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,0,1,Holding
59,0,0,Holding
60,0,1,Holding
61,0,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,1,1,Holding
70,0,1,Holding
71,1,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,1,Holding
77,1,0,Holding
78,1,1,Holding
79,0,1,Holding
80,1,1,Holding
81,0,1,Holding
82,0,0,Holding
83,1,1,Holding
84,1,0,Holding
85,1,1,Holding
86,1,1,Holding
87,0,1,Holding
88,0,1,Holding
89,0,1,Holding
90,1,1,Holding
91,1,1,Holding
92,1,1,Holding
93,1,0,Holding
94,1,1,Holding
95,1,1,Holding
96,1,0,Holding
97,1,1,Holding
98,1,0,Holding
99,1,0,sell
100,1,0,No action
101,1,1,Buy
102,1,1,Holding
103,1,1,Holding
104,1,0,Holding
105,1,1,Holding
106,1,1,Holding
107,0,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,1,Holding
114,0,1,Holding
115,0,0,Holding
116,0,1,Holding
117,0,1,Holding
118,0,1,Holding
119,0,1,Holding
120,1,1,Holding
121,0,1,Holding
122,1,0,Holding
123,1,1,Holding
124,1,1,Holding
125,1,1,Holding
126,1,1,Holding
127,0,1,Holding
128,1,0,Holding
129,1,1,Holding
130,1,1,Holding
131,1,1,Holding
132,1,1,Holding
133,1,1,Holding
134,1,0,Holding
135,1,0,sell
136,1,0,No action
137,0,1,Buy
138,0,0,Holding
139,0,1,Holding
140,0,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,1,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,1,1,Holding
151,1,1,Holding
152,1,0,Holding
153,1,1,Holding
154,0,0,Holding
155,1,1,Holding
156,1,1,Holding
157,1,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,0,Holding
163,1,0,sell
164,1,1,Buy
165,1,1,Holding
166,0,1,Holding
167,0,1,Holding
168,0,1,Holding
169,0,0,Holding
170,0,0,sell
171,0,1,Buy
172,1,0,Holding
173,0,1,Holding
174,1,1,Holding
175,1,1,Holding
176,0,1,Holding
177,0,1,Holding
178,0,0,Holding
179,0,1,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,0,Holding
184,1,0,sell
185,1,0,No action
186,1,1,Buy
187,1,0,Holding
188,1,0,sell
189,1,0,No action
190,1,1,Buy
191,1,0,Holding
192,1,0,sell
193,1,0,No action
194,1,0,No action
195,1,0,No action
196,0,1,Buy
197,0,0,Holding
198,0,1,Holding
199,0,0,Holding
200,0,0,sell
201,1,1,Buy
202,0,1,Holding
203,0,1,Holding
204,0,1,Holding
205,0,0,Holding
206,0,1,Holding
207,0,0,Holding
208,1,0,sell
209,1,0,No action
210,1,0,No action
211,1,0,No action
212,1,0,No action
213,1,1,Buy
214,1,0,Holding
215,1,1,Holding
216,1,0,Holding
217,1,0,sell
218,1,1,Buy
219,1,0,Holding
220,1,0,sell
221,0,0,No action
222,0,1,Buy
223,1,1,Holding
224,1,0,Holding
225,1,0,sell
226,1,0,No action
227,1,0,No action
228,1,1,Buy
229,1,1,Holding
230,1,1,Holding
231,1,0,Holding
232,1,0,sell
233,1,1,Buy
234,0,1,Holding
235,0,0,Holding
236,0,0,sell
237,1,0,No action
238,1,1,Buy
239,1,0,Holding
240,1,0,sell
