,Data_Frame_Name,No_Trade,Winning_Ratio,Profit_Average,Loss_Average,Payoff_Ratio,Profit_Factor,MDD,MDD(portfolio),Max_Holding_Period,Mean_Holding_Period,Max_Profit,Max_Profit_Return,Max_Loss,Max_Loss_Return,Max_Cum_Profit,Max_Cum_Profit_Return,Max_Cum_Loss,Max_Cum_Loss_Return,Last_Cumulative,Last_Cumulative_Return,Max_Portfolio_Profit,Max_Portfolio_Profit_Return,Max_Portfolio_Loss,Max_Portfolio_Loss_Return
0,IXIC_LSTM_1day_5,20,0.55,415.2209695454545,-588.1108942222221,0.7060249582599301,0.8629193934288035,-19.750868148411882,-29.074531129105452,45,11.748148148148148,703.6201170000004,6.498161837741626,-1484.5292969999991,-11.745372573620124,1680.8896470000009,18.125925508741478,-482.6777349999984,-5.204970287581304,-482.6777349999984,-5.204970287581304,2213.830076000001,23.87290511200792,-1290.6113289999985,-13.917347192865304
1,IXIC_LSTM_1day_20,17,0.6470588235294118,507.22807181818183,-927.6966145000002,0.546760723161162,1.0023946591287969,-34.31756970002685,-36.84393729231839,47,14.62,1328.5,10.152520941582337,-2675.189453000001,-19.607665457463607,4324.127930999999,50.47205702505777,-99.9208970000018,-1.166296023580579,-99.9208970000018,-1.166296023580579,4511.958009,52.66444600131193,-1706.7001950000003,-19.920934565596056
2,IXIC_LSTM_1day_60,15,0.7333333333333333,580.4865945454548,-578.9125974999997,1.0027188854625935,2.757476935022132,-15.065115926005346,-23.893148031075583,77,26.245714285714286,2833.6005860000005,40.5388485178574,-1347.3798829999996,-11.432881066025326,5733.261720000002,82.02279090731055,2833.6005860000005,40.5388485178574,3816.511720000002,54.60084644537388,6492.5615240000025,92.88569794017734,-129.16992200000004,-1.8479668330437935
3,IXIC_LSTM_1day_120,6,0.6666666666666666,1128.1375735000001,-1107.2944335000002,1.0188234848558912,2.0376469697117825,-1.267500228898144,-29.600804529851242,191,76.34666666666666,4025.909668,54.27319661404071,-2069.539062,-16.50874152582716,4367.500489,58.87817469813531,3880.859863,52.31778349382926,4367.500489,58.87817469813531,6023.530762,81.20308112108103,-57.27978499999972,-0.7721874780313536
4,IXIC_VIT_1day_5,94,0.5425531914893617,314.5524375294119,-386.637899767442,0.8135582096804566,0.9649178765977509,-39.481647114827936,-42.7170842098354,36,5.705508474576271,1350.9101570000005,10.983233378797298,-2297.489258,-16.156155567956514,5054.537598,56.03222187009669,-1302.4794930000016,-14.438673868387978,-502.6254929999968,-5.57186935408024,5266.777833000001,58.38501709749535,-1637.9594730000017,-18.15764683235872
5,IXIC_VIT_1day_20,88,0.5568181818181818,409.5575674081633,-493.82842546153853,0.8293519495670697,1.042006295609908,-40.47276514261884,-41.47041592984977,25,6.172277227722772,1121.650391000001,11.56489974605979,-1455.0,-14.988318996297966,7113.611819000004,78.8581483492509,-2874.160156,-31.861585046851143,840.3920930000086,9.316190709805737,7246.151858000004,80.32742476236093,-3164.070312,-35.07539241665169
6,IXIC_VIT_1day_60,69,0.5362318840579711,474.4095360810811,-492.9559173749999,0.9623772012055791,1.112748638893951,-33.72104927476237,-38.1580954515081,43,9.544041450777202,1361.3203130000002,14.104477255602198,-1996.9599610000005,-14.36940980636778,7790.790039000004,85.6866131322329,-1506.3618170000027,-16.567644822194982,2336.592776000004,25.698898345665246,7955.720704000005,87.50059477141863,-1635.5317390000027,-17.988313724748973
7,IXIC_VIT_1day_120,54,0.5555555555555556,438.72776689999995,-458.85160316666673,0.956143040303692,1.195178800379615,-32.61895653915226,-36.33896109790413,61,13.394480519480519,1230.8701170000004,10.645298438670782,-2385.2099610000005,-17.173596513214537,7677.962889999997,84.44568939808266,-385.520509,-4.240127964411761,2207.7138669999986,24.28143013498232,8168.593748999998,89.84186827024033,-2208.940431,-24.29492043756061
8,IXIC_Fusion_soft_1day_lgb,47,0.574468085106383,541.0985424074073,-504.1229737000002,1.0733463274566237,1.449017542066442,-16.87083390399261,-21.65436221221966,60,14.630363036303631,1646.4501959999998,12.819017496535492,-1700.0595709999998,-13.225095659122942,7823.339840999995,86.04461049547105,-869.8110370000013,-9.566573024361977,5522.220701999993,60.73586716550978,7823.339840999995,86.04461049547105,-1060.7412120000017,-11.666508969060404
9,IXIC_Fusion_soft_1day_SVM,37,0.5405405405405406,615.04140635,-697.7075767647059,0.8815174534895668,1.037079357046549,-36.58782358726304,-38.737664604072165,80,17.559822747415065,1311.9101569999991,16.57867217733705,-1690.9599610000005,-18.18561388330344,6755.380375,74.29871192216109,-1312.9604479999998,-14.440529574345923,957.099126,10.526606689208993,7134.940922000001,78.47328954371669,-1929.5605459999997,-21.222174797762122
10,IXIC_Fusion_soft_1day_xgb,49,0.5102040816326531,487.63753896000003,-484.4791259583335,1.0065191931549557,1.0484574928697457,-40.47243379559835,-43.91893752370258,66,15.718901453957997,1681.5498040000002,12.351159409348652,-1641.9902349999993,-11.822388064615458,7517.179685999996,83.33191154221493,-1135.7890620000026,-12.590822302873914,1382.2792949999966,15.323296867853397,7617.678707999996,84.44599634013193,-2405.1093740000024,-26.66190911689752
11,IXIC_Fusion_hard_1day_lgb,21,0.5238095238095238,821.8015802727269,-810.0678711999997,1.014484846875047,1.1159333315625515,-26.825215575899442,-38.71844941135348,139,42.95492957746479,2406.080077999999,28.08423174371421,-2385.2099610000005,-17.173596513214537,6125.618162999997,67.37230384867772,-911.6005859999988,-10.026193281127732,2185.808592999998,24.040506078577568,6863.898436999998,75.49224237926568,-2618.300780999999,-28.79724969640785
12,IXIC_Fusion_hard_1day_SVM,39,0.5641025641025641,388.41770249999985,-443.25178082352926,0.8762913524641645,1.1340241031889187,-24.30043097596326,-24.30043097596326,72,15.074675324675324,1357.640625,14.118838513978602,-940.8896489999988,-6.655602086325385,4573.659180999997,50.303160896290166,-784.4404300000006,-8.627628689030885,1252.7988289999994,13.778845027996178,4573.659180999997,50.303160896290166,-784.4404300000006,-8.627628689030885
13,IXIC_Fusion_hard_1day_xgb,52,0.5769230769230769,451.84615893333336,-630.2808060454546,0.7168965873613278,0.9775862554927197,-41.780015314757115,-43.45208538419839,52,12.644951140065146,912.980469,8.665120670212666,-3306.740233999999,-23.28006671391888,7088.525393000002,78.14087029251684,-1088.299804999997,-11.996951296225133,336.8769569999986,3.713587402461698,7292.1162140000015,80.38516837349968,-2583.5898439999974,-28.48038875453988
14,IXIC_LSTM_5day_5,34,0.5,347.41285611764727,-418.4934798823529,0.8301511799307175,0.8301511799307175,-18.610480174524525,-22.115977525144224,28,8.185185185185185,1157.229492999999,8.87616766900505,-1488.3403319999998,-16.60054668411938,1756.8891600000024,18.722637573269303,-1420.510253999997,-15.137949086528957,-316.44091699999626,-3.3722153549765848,1756.8891600000024,18.722637573269303,-1751.1596679999966,-18.661580106106683
15,IXIC_LSTM_5day_20,18,0.5555555555555556,688.1088866999995,-803.9187012500001,0.8559433754060829,1.0699292192576038,-32.40721309592819,-42.511861299602394,71,19.582089552238806,1180.0302730000003,14.984739964699733,-1832.339844,-13.020132958938085,5913.039061999996,75.08735561497068,1180.0302730000003,14.984739964699731,1444.7587879999935,18.346423176801537,5913.039061999996,75.08735561497068,-1014.2099609999996,-12.879053091202556
16,IXIC_LSTM_5day_60,14,0.5,609.3589567142855,-519.9527064285713,1.1719507354809708,1.1719507354809708,-29.77834470397369,-31.00806985231557,43,11.842931937172775,1877.0605469999991,17.631438892542107,-1614.509766000001,-11.109611098284493,2207.4423849999985,23.903443445686737,-1199.876951000002,-12.99295104366296,512.5332049999979,5.550001469122839,2411.391602999998,26.111921742281112,-1199.876951000002,-12.99295104366296
17,IXIC_LSTM_5day_120,4,0.75,507.82031299999954,-4614.379883,0.11005169185807141,0.33015507557421425,0.0,-43.34001145641159,246,105.40202702702703,965.0302739999988,9.525170464167722,-4614.379883,-30.59759042452805,1523.4609389999987,15.037067261452597,965.0302739999988,9.525170464167722,1523.4609389999987,15.037067261452597,1847.560548999998,18.23603843965656,-3344.1093740000015,-33.00747416569779
18,IXIC_VIT_5day_5,48,0.5416666666666666,484.8388294230768,-557.6158557272728,0.8694853714134864,1.0275736207613928,-35.15886138235756,-39.97924561854295,50,13.025236593059937,1418.4003899999998,19.208326144065595,-1910.400391000001,-14.200478749850426,6067.022455999999,66.88025908241009,-1953.899414999999,-21.538950950632422,1354.230464999995,14.928457083082266,6184.153316,68.17145955515572,-2289.379394999999,-25.23713867650323
