,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
0,1,0.56965584,0.5750421,0.58029693,0.5921754,0.098058544,0.15842223,0.10067022,0.084391154
1,1,0.56911266,0.57320106,0.5802545,0.59213704,0.79681027,0.14659408,0.1020565,0.08949491
2,1,0.56843674,0.57214266,0.58019423,0.59211004,0.13138203,0.1386155,0.10044068,0.08644352
3,1,0.5702784,0.5710025,0.58016616,0.5920822,0.108173564,0.12108912,0.098855585,0.085292555
4,1,0.57754296,0.5701796,0.5801747,0.59206754,0.26178983,0.20166653,0.09892168,0.08617073
5,1,0.57409847,0.5697975,0.58015615,0.592103,0.12907812,0.1202942,0.10670561,0.08961768
6,1,0.5758768,0.5695558,0.5801899,0.59211093,0.10382607,0.10385291,0.10060186,0.08113081
7,0,0.5751761,0.5691926,0.58022046,0.5920854,0.11168442,0.12420034,0.10249302,0.08656494
8,0,0.57390565,0.5683969,0.5801534,0.5920236,0.099391654,0.118741065,0.10130196,0.09007799
9,0,0.577189,0.56764644,0.5800784,0.5919257,0.115890786,0.11963543,0.10870474,0.07822208
10,0,0.57961196,0.56741947,0.58000046,0.5918482,0.11312434,0.12441846,0.10403133,0.08693639
11,0,0.5791633,0.5678133,0.58001417,0.59186625,0.121128626,0.104295395,0.10212373,0.08832983
12,1,0.57815003,0.5687899,0.58005106,0.5918957,0.13691087,0.13733691,0.10379799,0.08333454
13,1,0.5841034,0.57055026,0.5801093,0.59188306,0.13676636,0.18735974,0.10832906,0.08560104
14,1,0.592703,0.5722092,0.5802071,0.59188807,0.11511173,0.108385675,0.1100851,0.09012087
15,1,0.6069356,0.5730112,0.58033824,0.5918664,0.097582646,0.1538899,0.09985681,0.089952976
16,0,0.60523856,0.57363856,0.58046126,0.5918442,0.12029987,0.11127994,0.09781626,0.087373614
17,0,0.58725214,0.57408,0.58054614,0.5918625,0.13559566,0.11976099,0.10332602,0.0835887
18,1,0.5736834,0.5745908,0.5807144,0.591776,0.15686706,0.47998074,0.102712736,0.08910769
19,1,0.57628953,0.5745435,0.58095574,0.59172094,0.42543274,0.112244405,0.10274175,0.08646288
20,1,0.58085996,0.5758737,0.58116925,0.5917751,0.0891363,0.122234195,0.13987142,0.08551481
21,1,0.5820133,0.57719386,0.58139783,0.5917502,0.114391275,0.19583136,0.101939976,0.08325093
22,1,0.58146703,0.5784584,0.58166397,0.591699,0.14175102,0.12760317,0.104305364,0.07938979
23,1,0.5906016,0.5804797,0.58182085,0.5915891,0.16112678,0.14153887,0.102864176,0.078645974
24,1,0.5986373,0.5810703,0.58219916,0.591489,0.1530889,0.14232,0.1038386,0.08090905
25,1,0.5968838,0.5817229,0.5827681,0.5913782,0.08656474,0.11110767,0.10190488,0.080642335
26,1,0.5940108,0.58272123,0.5832905,0.5912486,0.62346965,0.1420786,0.10097786,0.08447758
27,1,0.59237427,0.58488786,0.583788,0.5910921,0.09004401,0.13197264,0.1103874,0.07860041
28,1,0.59253633,0.5877919,0.5837006,0.590992,0.10319545,0.1105599,0.1024138,0.09017513
29,0,0.59327745,0.5914797,0.5833088,0.5909149,0.10726621,0.13842312,0.10210611,0.084262654
30,0,0.5921566,0.59541005,0.5830249,0.59079987,0.13281734,0.13104008,0.102308415,0.08916539
31,0,0.5920105,0.5973641,0.5826698,0.59070504,0.12804668,0.11585131,0.10014264,0.08504921
32,0,0.5930441,0.5988072,0.5823184,0.5905876,0.10902282,0.11794379,0.10060134,0.08942418
33,0,0.59176564,0.60121846,0.5819017,0.590493,0.11697005,0.11915657,0.10323476,0.087035775
34,0,0.5901667,0.60345757,0.5816921,0.59043986,0.11332444,0.14831732,0.100084595,0.08084199
35,1,0.59306186,0.60542864,0.58155113,0.5904175,0.2611178,0.120155014,0.09981688,0.08942326
36,1,0.5988565,0.6074461,0.58140975,0.5904242,0.8616219,0.124675356,0.10820926,0.087999724
37,0,0.6023885,0.60875314,0.5812877,0.590417,0.19096977,0.14230512,0.10607369,0.087430626
38,0,0.602456,0.61023664,0.5812549,0.59045476,0.111267105,0.12438694,0.10170442,0.086677484
39,1,0.5875891,0.61023057,0.5813373,0.5905059,0.59895486,0.13008948,0.10626243,0.08335144
40,1,0.58251446,0.60858774,0.58145803,0.5905648,0.10457022,0.11270815,0.0998889,0.093791895
41,0,0.58257735,0.6068808,0.5815973,0.590638,0.83283085,0.122223936,0.11143792,0.09015622
42,0,0.58149767,0.6044899,0.5817619,0.5906915,0.15660253,0.12840861,0.7474604,0.09437391
43,0,0.58027685,0.602436,0.58194774,0.5907494,0.16588391,0.49546063,0.10135481,0.09124003
44,0,0.58396035,0.60117567,0.58216023,0.5908111,0.13302891,0.24614419,0.104516394,0.08800972
45,0,0.586203,0.59972876,0.58241546,0.59088403,0.108598456,0.1206827,0.10369244,0.08965743
46,0,0.5840043,0.59850466,0.5827102,0.59097236,0.12890083,0.109700285,0.09977569,0.090035796
47,0,0.5832405,0.5964393,0.58299255,0.5910482,0.09793383,0.13146746,0.1111437,0.09042292
48,0,0.5846264,0.5955957,0.5832241,0.5911162,0.080999084,0.12561485,0.09743629,0.08838796
49,0,0.58624494,0.5955451,0.5834439,0.5912208,0.10926253,0.11988538,0.101529226,0.07941264
50,1,0.60993594,0.5957526,0.58367,0.5913687,0.1174316,0.1272221,0.103158414,0.08471894
51,1,0.6482485,0.5970365,0.5838751,0.59148824,0.12029269,0.12898898,0.10808238,0.093748756
52,1,0.6758157,0.59884584,0.58407384,0.5916004,0.23225383,0.13243991,0.101153396,0.09098945
53,1,0.69021857,0.60042524,0.5842477,0.59172744,0.089553885,0.118928805,0.11441031,0.09210339
54,1,0.68023735,0.60253066,0.58439773,0.59185845,0.34756872,0.11845409,0.10955773,0.085971765
55,1,0.65816754,0.6040402,0.584533,0.5919618,0.13622606,0.15833095,0.10752775,0.091198646
56,1,0.6390268,0.6050694,0.5846531,0.59204036,0.10541618,0.109393306,0.2713066,0.09189187
57,1,0.6185318,0.6045849,0.58480805,0.5921764,0.5044541,0.11066632,0.0951892,0.089880005
58,1,0.614595,0.6038098,0.584934,0.59223586,0.104456715,0.11124328,0.10804636,0.0900435
59,1,0.6079623,0.6041523,0.58500636,0.5922839,0.10774642,0.11024952,0.09702707,0.0806732
60,1,0.59503424,0.6043613,0.5851113,0.59232914,0.104916155,0.11491788,0.09725771,0.0876054
61,1,0.59057176,0.6027861,0.58517224,0.5923523,0.07555717,0.26745993,0.102482975,0.089511715
62,1,0.5899123,0.60116255,0.585268,0.59236115,0.68347216,0.1081864,0.10790534,0.084900424
63,0,0.5887758,0.6011206,0.5853751,0.5923897,0.10384945,0.768566,0.098979086,0.08300329
64,0,0.5884301,0.6008158,0.58543843,0.5923857,0.11460784,0.112505935,0.10540564,0.08811777
65,0,0.58846587,0.60032135,0.585503,0.59241325,0.1285613,0.112522125,0.103598036,0.08719439
66,0,0.5882446,0.60081995,0.5855968,0.5924146,0.14758345,0.2238055,0.10136414,0.08287643
67,0,0.5891061,0.60119724,0.5857554,0.5923892,0.09513982,0.2639959,0.10706155,0.0860263
68,0,0.59294826,0.60248417,0.58595127,0.592431,0.10296382,0.18043903,0.10451123,0.08763759
69,1,0.59944147,0.60482246,0.5862101,0.5924769,0.14748701,0.21234673,0.10496734,0.07834507
70,1,0.60436517,0.6079081,0.58652604,0.59252226,0.10718449,0.1992618,0.10626379,0.08857519
71,1,0.60531026,0.61086,0.5867748,0.5925686,0.07739596,0.104439884,0.10356516,0.08892918
72,1,0.60018057,0.6134466,0.5870128,0.5925884,0.108637206,0.11905163,0.108272254,0.08852617
73,1,0.5902108,0.6140138,0.5872374,0.59264857,0.23120046,0.12539923,0.10709572,0.08820346
74,1,0.5813421,0.61453176,0.58750695,0.59271795,0.11399042,0.11920582,0.09940137,0.09267088
75,1,0.58377945,0.61485684,0.58772093,0.5927703,0.1007696,0.13257399,0.10589988,0.089892626
76,1,0.5888176,0.61360204,0.5878457,0.5928239,0.10821249,0.11670552,0.10673091,0.088379286
77,1,0.59872353,0.61161983,0.5878819,0.5928707,0.20132153,0.123396896,0.105166666,0.08758548
78,1,0.59982574,0.6096427,0.5876686,0.59289557,0.18453725,0.10777653,0.10941308,0.08780755
79,0,0.6015857,0.60824525,0.58739346,0.59292156,0.10647798,0.1347788,0.10217859,0.08954632
