,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
0,1,0.56712735,0.581463,0.5599258,0.5604023,0.11494819,0.08850711,0.14493132,0.08824431
1,1,0.56230336,0.57988423,0.5597493,0.56040424,0.11478652,0.084423415,0.098816425,0.08405101
2,1,0.5600119,0.57814914,0.55981123,0.5603999,0.10497447,0.07865541,0.09764807,0.08901583
3,1,0.56360096,0.5767008,0.55981994,0.560378,0.1816178,0.08369112,0.103275694,0.083319105
4,1,0.5692187,0.5755155,0.55972177,0.56033933,0.27092046,0.08502482,0.09733015,0.08868719
5,0,0.573793,0.57457405,0.5596093,0.560294,0.09919659,0.08288281,0.0964051,0.08600038
6,1,0.5779413,0.5744635,0.5594602,0.5602463,0.100095935,0.08975018,0.09723816,0.08708877
7,0,0.5820138,0.57585496,0.5593336,0.5601796,0.098739825,0.08512295,0.09488613,0.078476526
8,1,0.584082,0.5777924,0.5592943,0.5601476,0.088792235,0.09799499,0.09830723,0.09316787
9,0,0.5845984,0.5793995,0.55920964,0.5601075,0.12509885,0.086157314,0.10318403,0.11301422
10,0,0.5849554,0.5800272,0.5591456,0.56006366,0.116144255,0.089307375,0.11051694,0.12341668
11,1,0.5795331,0.578421,0.55901563,0.5600107,0.11995569,0.08566733,0.09827012,0.077185094
12,1,0.57417333,0.5771307,0.5588451,0.55993813,0.18099365,0.08422458,0.10903775,0.08496026
13,0,0.5711523,0.5754695,0.5586502,0.5598849,0.10561848,0.075277574,0.101340584,0.15613794
14,1,0.5653861,0.57307595,0.558339,0.5598306,0.09580254,0.08416601,0.10376933,0.108915545
15,0,0.5569147,0.5702554,0.5580774,0.5597637,0.12624346,0.087004155,0.0974943,0.08517499
16,1,0.54348814,0.5673854,0.557771,0.5597136,0.09849025,0.085354686,0.1001443,0.16697194
17,1,0.5311519,0.56491506,0.5576066,0.5596437,0.088815875,0.07958271,0.15053776,0.6166978
18,0,0.52331966,0.56228733,0.5574242,0.55955446,0.10564991,0.08788028,0.10117141,0.09035754
19,0,0.51980674,0.5595119,0.5571062,0.5594829,0.12084864,0.07886585,0.10237123,0.08211859
20,1,0.5198735,0.5570795,0.55678284,0.55939776,0.10844889,0.081837,0.102146834,0.085232824
21,1,0.5203945,0.55528355,0.55650055,0.5593082,0.097054765,0.09370192,0.102411084,0.083312765
22,1,0.5206849,0.5545714,0.55628353,0.5592375,0.099563114,0.07320007,0.10480629,0.08750719
23,0,0.5243858,0.5545961,0.556075,0.55917645,0.10065768,0.08381692,0.10532441,0.085826695
24,0,0.5283226,0.55507714,0.55587095,0.5591236,0.11544766,0.081165574,0.10560978,0.07844441
25,0,0.53047466,0.55578893,0.55568224,0.55907506,0.09284292,0.08400134,0.09942732,0.08673293
