,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
0,1,0.51113176,0.5315347,0.51248264,0.5178083,0.103044525,0.08646193,0.573924,0.08885669
1,0,0.5108253,0.5323015,0.51243085,0.5177937,0.09989831,0.08905562,0.104665145,0.08419131
2,0,0.5105122,0.53396565,0.5123179,0.5177804,0.117505416,0.10018684,0.10188738,0.08155321
3,1,0.5103508,0.5354365,0.5121509,0.51777196,0.1133404,0.08184107,0.12978627,0.089664
4,0,0.5102847,0.5370356,0.5119205,0.517771,0.106481105,0.08081077,0.112881,0.08480334
5,1,0.51037097,0.53893006,0.5116998,0.5177753,0.1132982,0.08644552,0.11704409,0.09238662
6,1,0.51057184,0.54102385,0.51144195,0.5177777,0.08669763,0.08820605,0.13545142,0.089581326
7,0,0.51080686,0.5427426,0.51126057,0.51778793,0.12547667,0.08510508,0.10839353,0.085072406
8,1,0.5109886,0.54410297,0.5111363,0.51780206,0.10290111,0.085267745,0.100140914,0.07871869
9,0,0.5110189,0.54496586,0.5109997,0.517809,0.10256623,0.08829648,0.11839599,0.09006536
10,0,0.5107643,0.545477,0.51083654,0.5178152,0.108558446,0.086711936,0.12271022,0.084926754
11,1,0.51070106,0.54646987,0.5107012,0.51782167,0.106976055,0.08904689,0.106199965,0.100926116
12,0,0.5108393,0.546842,0.51065016,0.517824,0.10270388,0.08585051,0.1103105,0.09245892
13,0,0.51094323,0.54711753,0.5106609,0.5178343,0.11668412,0.086814746,0.097534955,0.08329895
14,1,0.51085144,0.54787135,0.5107704,0.5178433,0.11484156,0.09259541,0.10247124,0.088017575
15,1,0.510481,0.5486237,0.5108707,0.5178516,0.09978228,0.0759237,0.10109378,0.08039796
16,1,0.5101776,0.54950404,0.5109364,0.51785827,0.116904676,0.08187406,0.11272578,0.08029584
17,1,0.51029074,0.55040854,0.5109622,0.5178539,0.10589732,0.085728996,0.09669469,0.08715666
18,0,0.5137006,0.55149645,0.5109966,0.51784426,0.11058112,0.08370697,0.10569154,0.081985444
19,0,0.5122076,0.5525937,0.51101977,0.51782626,0.104806475,0.07817932,0.11565384,0.08245066
20,1,0.5105838,0.5536191,0.5111275,0.5178119,0.45769188,0.09093109,0.10126218,0.08006019
21,1,0.5101714,0.5544457,0.5112676,0.5178139,0.10401911,0.09163001,0.10345421,0.11802702
22,0,0.510197,0.5548734,0.5114328,0.51781595,0.10509587,0.08053433,0.111421436,0.08700144
23,0,0.5100649,0.5554299,0.5117531,0.5178191,0.10710962,0.08586684,0.10333885,0.090104215
24,0,0.5116817,0.55590934,0.5119142,0.51783055,0.12386164,0.0848234,0.10202755,0.09300786
25,0,0.5119206,0.5559232,0.5120553,0.5178572,0.09703006,0.08942765,0.10724631,0.083380245
26,1,0.5155505,0.5558619,0.5122631,0.5179013,0.12787107,0.08360945,0.09854054,0.088243164
27,0,0.52662385,0.5552641,0.512501,0.5179503,0.10362445,0.08513446,0.09864125,0.13707498
28,0,0.5348592,0.55380595,0.51268536,0.51800853,0.42896056,0.09328344,0.10271961,0.09319147
29,0,0.5377761,0.5523447,0.5128211,0.51808494,0.109511204,0.10101172,0.09886221,0.08377961
30,1,0.534088,0.5499141,0.5131303,0.5181867,0.14759201,0.08252964,0.111920476,0.092640474
