,True_Label,LSTM_5,LSTM_20,LSTM_60,LSTM_120,VIT_5,VIT_20,VIT_60,VIT_120
0,0,0.5392988,0.54211664,0.5447889,0.5457901,0.096060775,0.08543771,0.10526702,0.08854342
1,1,0.5392097,0.54214346,0.54478484,0.5457528,0.11056486,0.08836212,0.10258442,0.0867832
2,0,0.5388643,0.54254,0.5447664,0.54576,0.12752496,0.08714582,0.0991381,0.08839572
3,0,0.5373474,0.5422753,0.5447614,0.5457936,0.11226425,0.08046414,0.09893919,0.08014298
4,0,0.53565377,0.5419898,0.5447704,0.54582274,0.10280303,0.10391613,0.1753068,0.12637065
5,1,0.5367303,0.54183364,0.54481316,0.5458655,0.123218805,0.08909784,0.09996485,0.14320396
6,1,0.5372559,0.54186356,0.5447845,0.54587907,0.09507366,0.087283164,0.09872928,0.13197662
7,0,0.5389534,0.5419607,0.54475826,0.5458737,0.09373312,0.08569374,0.104622975,0.083361074
8,1,0.5397938,0.54197454,0.54474795,0.545863,0.11614305,0.09104534,0.10643687,0.078889236
9,1,0.53872824,0.5418318,0.54471934,0.5458524,0.11384347,0.083347514,0.10717887,0.09483601
10,0,0.5367477,0.54164135,0.54469186,0.54585904,0.095441,0.09506218,0.12043957,0.09765936
11,0,0.53597397,0.54146636,0.54468614,0.54587185,0.11781857,0.085622445,0.10995708,0.082348935
12,1,0.5366806,0.5413263,0.544674,0.5459054,0.37456238,0.082215294,0.1262066,0.082316406
13,1,0.53719383,0.5413242,0.5446467,0.545901,0.09669861,0.091317356,0.13253379,0.08202518
14,1,0.5395602,0.5413716,0.5446382,0.5458981,0.12542619,0.09539088,0.09860139,0.09596114
15,1,0.5424425,0.5411548,0.54463387,0.54588264,0.09743799,0.1425019,0.3652202,0.08827702
16,1,0.54156744,0.541011,0.5446773,0.5458599,0.5963509,0.08715998,0.10627901,0.08379603
17,0,0.53935695,0.5411054,0.54472506,0.54584694,0.10843958,0.087535575,0.102242544,0.094404176
18,1,0.53801787,0.54107344,0.5446729,0.54580307,0.115737505,0.096203335,0.1923163,0.09320736
19,1,0.5386207,0.5407711,0.54470927,0.54577863,0.109346904,0.11264904,0.11002722,0.08004597
20,0,0.5396973,0.5407587,0.5446891,0.54579026,0.096072726,0.095620535,0.14703797,0.09430761
21,1,0.54263484,0.5405955,0.54465973,0.5458069,0.11357963,0.08424645,0.5867027,0.08007527
22,1,0.5455252,0.5405463,0.54462546,0.5458257,0.10248168,0.08737658,0.12261127,0.0915148
23,1,0.54089236,0.5408757,0.5445389,0.54584,0.112002626,0.09164135,0.27819392,0.08889538
24,1,0.53743905,0.5410257,0.54440933,0.54584867,0.11769808,0.1153397,0.52782744,0.0958098
25,0,0.5376024,0.5410132,0.54419076,0.545843,0.11787896,0.092052124,0.10427889,0.0927308
26,1,0.5383192,0.5408536,0.544027,0.5458355,0.10493868,0.076180585,0.11450907,0.08921662
27,1,0.53872365,0.54080075,0.5442034,0.54582185,0.10742998,0.09716445,0.10232862,0.086699456
28,1,0.5388944,0.5406345,0.5448848,0.54582065,0.09433477,0.0858922,0.09904875,0.08112176
29,0,0.53969854,0.5407311,0.5450819,0.5458019,0.12086206,0.08502296,0.101269566,0.07952897
30,1,0.5401829,0.5412798,0.54526216,0.54577714,0.09788626,0.10091599,0.10775376,0.1399468
31,1,0.53959,0.54156977,0.545338,0.54576933,0.10092595,0.08265652,0.16413099,0.10490027
32,1,0.53935087,0.5415919,0.54529095,0.54575956,0.09682972,0.100088395,0.10462104,0.42544696
33,0,0.5393084,0.5417741,0.5451429,0.54576594,0.11313556,0.0824725,0.102153115,0.119791284
34,0,0.53985375,0.54176503,0.54507065,0.5457817,0.11796153,0.08282461,0.10546648,0.08595264
35,0,0.5409352,0.541202,0.5449622,0.54578274,0.12762952,0.08907847,0.10627237,0.08571299
36,1,0.54365337,0.540998,0.54485166,0.545779,0.105959505,0.08578894,0.10162891,0.07740207
37,1,0.54672056,0.54138815,0.54470253,0.5457582,0.10944868,0.0745884,0.11174115,0.08662084
38,0,0.55033445,0.54112446,0.544549,0.5457607,0.11126705,0.078763045,0.12318351,0.08949473
