,True_Label,Predicted_results
0,0,1
1,1,1
2,0,1
3,1,1
4,1,1
5,0,1
6,1,1
7,0,1
8,1,1
9,1,1
10,1,1
11,0,1
12,1,1
13,1,1
14,0,1
15,0,1
16,1,1
17,1,1
18,1,1
19,0,1
20,1,1
21,1,1
22,1,1
23,1,1
24,0,1
25,1,1
26,1,1
27,1,1
28,0,1
29,1,1
30,1,1
31,1,1
32,0,1
33,0,1
34,0,1
35,0,1
36,1,0
37,0,1
38,1,0
39,1,0
40,0,0
41,1,0
42,0,0
43,0,0
44,0,0
45,1,0
46,0,0
47,0,0
48,1,0
49,0,0
50,1,0
51,0,0
52,1,0
53,0,0
54,0,0
55,1,0
56,0,0
57,1,0
58,0,0
59,1,0
60,0,0
61,0,0
62,1,0
63,0,0
64,1,0
65,0,0
66,1,0
67,1,0
68,1,0
69,1,0
70,0,0
71,1,0
72,1,0
73,0,0
74,0,0
75,1,0
76,0,0
77,1,0
78,1,0
79,0,0
80,1,0
81,0,1
82,0,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,0,0
90,0,0
91,1,1
92,1,0
93,1,1
94,0,0
95,1,0
96,0,0
97,1,0
98,1,0
99,1,0
100,0,1
101,1,0
102,1,1
103,1,0
104,1,0
105,0,0
106,1,1
107,1,1
108,1,1
109,1,1
110,0,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,0,1
120,1,1
121,0,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,0,1
128,1,1
129,1,1
130,1,1
131,0,1
132,1,0
133,1,1
134,0,1
135,1,1
136,1,1
137,0,1
138,1,1
139,0,1
140,0,1
141,1,1
142,0,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,0
149,1,1
150,0,1
151,0,1
152,0,1
153,1,1
154,1,1
155,0,1
156,1,1
157,1,1
158,0,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,0,1
165,1,1
166,1,1
167,1,0
168,1,1
169,0,1
170,0,0
171,0,1
172,1,1
173,0,1
174,0,1
175,1,1
176,1,1
177,0,1
178,0,0
179,0,0
180,0,0
181,1,0
182,0,0
183,1,0
184,1,0
185,1,0
186,0,0
187,1,0
188,1,0
189,0,0
190,1,0
191,0,1
192,1,0
193,1,0
194,1,0
195,1,0
196,0,1
197,0,0
198,0,1
199,0,0
200,0,0
201,1,1
202,0,1
203,1,1
204,1,1
205,0,1
206,1,1
207,0,1
208,1,1
209,0,0
210,1,0
211,1,1
212,1,0
213,1,0
214,1,0
215,0,0
216,0,0
217,1,1
218,0,1
219,1,0
220,1,0
221,0,0
222,0,0
223,1,1
224,0,1
225,1,1
226,1,1
227,1,0
228,1,0
229,0,0
230,1,0
231,0,0
232,1,0
233,1,0
234,1,0
235,1,0
236,0,1
237,1,0
238,0,1
239,1,1
240,1,1
241,1,1
242,1,1
243,0,1
244,0,1
245,1,1
246,0,1
247,1,1
248,1,1
249,0,1
250,1,1
251,1,1
252,0,1
253,1,1
254,0,1
255,1,1
256,1,1
257,0,0
258,1,0
259,1,0
260,0,0
261,0,0
262,1,0
263,1,0
264,1,0
265,1,0
266,1,0
267,0,1
268,0,1
269,1,1
270,0,1
271,1,1
272,1,1
273,0,1
274,1,1
275,1,1
276,1,1
277,1,1
278,0,1
279,1,1
280,1,1
281,0,1
282,0,1
283,0,1
284,1,1
285,0,1
286,0,1
287,1,1
288,0,1
289,1,1
290,1,0
291,0,0
292,0,0
293,0,0
294,1,0
295,0,0
296,1,0
297,0,0
298,1,0
299,0,0
300,1,0
301,1,0
302,1,0
303,0,0
304,1,0
305,1,1
306,0,0
307,0,0
308,1,0
309,1,0
310,0,1
311,0,1
312,1,1
313,1,1
314,1,0
315,0,0
316,0,0
317,1,0
318,1,1
319,0,1
320,1,1
321,0,1
322,1,1
323,1,1
324,0,1
325,0,1
326,1,1
327,0,1
328,1,0
329,1,0
330,0,0
331,0,0
332,1,1
333,0,1
334,0,1
335,0,1
336,0,1
337,1,0
338,1,1
339,0,0
340,0,0
341,0,0
342,1,0
343,1,0
344,0,0
345,0,0
346,0,1
347,1,0
348,0,0
349,1,0
350,0,0
351,1,0
352,0,0
353,1,0
354,0,0
355,1,1
356,0,1
357,1,1
358,1,0
359,1,1
360,0,1
361,1,1
362,1,1
363,1,1
364,0,1
365,0,0
366,1,0
367,0,0
368,1,0
369,1,0
370,1,0
371,1,0
372,0,0
373,1,1
374,1,1
375,0,1
376,1,1
377,1,1
378,1,1
379,1,1
380,0,1
381,1,1
382,1,1
383,0,1
384,0,1
385,0,0
386,0,0
387,0,1
388,1,1
389,1,1
390,1,1
391,1,0
392,1,0
393,0,0
394,1,0
395,1,0
396,0,0
397,1,0
398,1,1
399,1,1
400,1,1
401,0,1
402,1,1
403,0,1
404,0,1
405,1,1
406,1,1
407,0,1
408,0,1
409,0,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,0
415,0,0
416,1,1
417,1,1
418,0,1
419,1,0
420,1,0
421,1,0
422,1,0
423,0,0
424,0,0
425,0,1
426,0,0
427,0,1
428,1,1
429,1,1
430,0,1
431,0,1
432,1,1
433,1,1
434,1,1
435,0,0
436,0,1
437,0,0
438,0,0
439,0,0
440,1,0
441,0,0
442,1,0
443,1,0
444,1,0
445,0,0
446,0,0
447,0,0
448,1,0
449,1,0
450,1,0
451,1,0
452,1,0
453,0,0
454,1,0
455,0,0
456,1,0
457,1,0
458,1,0
459,1,0
460,1,0
461,1,0
462,1,0
463,1,1
464,1,0
465,1,0
466,1,0
467,0,0
468,0,0
469,1,0
470,1,0
471,0,0
472,1,0
473,0,1
474,1,1
475,1,1
476,0,1
477,0,1
478,1,1
479,0,1
480,1,1
481,0,1
482,0,1
483,1,0
484,0,0
485,1,0
486,1,0
487,1,0
488,0,0
489,1,1
490,0,0
491,0,0
492,1,0
493,0,0
494,0,0
495,0,0
496,1,0
497,1,0
498,1,0
499,1,0
500,0,0
501,0,0
502,0,1
503,0,1
504,1,0
505,0,0
506,0,1
507,0,0
508,0,1
509,1,0
510,1,1
511,1,1
512,0,1
513,1,0
514,0,0
515,0,0
516,0,0
517,0,0
518,1,0
519,0,0
520,1,0
521,0,0
522,1,0
523,1,0
524,1,0
525,1,0
526,0,0
527,1,0
528,0,0
529,1,0
530,1,0
531,0,0
532,0,0
533,0,0
534,1,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,1,0
541,1,0
542,1,0
543,0,0
544,1,0
545,0,0
546,0,0
547,0,0
548,0,0
549,1,0
550,0,0
551,0,0
552,0,0
553,1,1
554,1,0
555,1,0
556,1,0
557,0,0
558,1,0
559,0,0
560,1,0
561,0,0
562,1,0
563,1,0
564,0,0
565,0,0
566,1,0
567,1,0
568,0,1
569,0,0
570,1,0
571,0,0
572,0,0
573,0,0
574,1,0
575,0,0
576,0,0
577,1,0
578,0,0
579,0,0
580,0,0
581,1,0
582,0,0
583,0,0
584,1,0
585,0,0
586,1,0
587,1,0
588,1,0
589,0,0
590,0,0
591,0,0
592,1,0
593,0,0
594,1,0
595,1,0
596,0,0
597,1,0
598,0,0
599,0,0
600,0,0
601,1,0
602,0,0
603,1,0
604,1,0
605,1,0
606,0,0
607,0,0
608,1,0
609,0,0
610,1,0
611,1,0
612,0,0
613,0,0
614,0,0
615,0,0
616,1,0
617,1,0
618,0,0
619,1,0
620,1,0
621,0,0
622,1,0
623,1,0
624,0,0
625,0,0
626,0,0
627,0,0
628,1,0
629,1,0
630,1,0
631,1,1
632,1,1
633,0,0
634,0,0
635,0,0
636,1,0
637,1,0
638,0,0
639,1,0
640,1,0
641,1,1
642,0,0
643,0,0
644,0,0
645,1,0
646,1,0
647,1,0
648,0,0
649,0,0
650,1,0
651,1,1
652,0,1
653,0,1
654,0,1
655,1,1
656,0,1
657,1,1
658,1,1
659,0,1
660,0,1
661,1,1
662,0,1
663,0,1
664,0,1
665,1,1
666,1,1
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,1,0
675,1,0
676,1,0
677,1,0
678,0,0
679,1,0
680,0,0
681,0,0
682,1,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,1,0
689,1,0
690,0,0
691,0,0
692,1,0
693,1,0
694,0,1
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,1,0
701,0,0
702,1,0
703,1,0
704,0,0
705,0,0
706,1,0
707,1,0
708,1,0
709,0,0
710,0,0
711,1,0
712,0,0
713,0,0
714,0,0
715,0,0
716,1,0
717,1,0
718,1,0
719,0,0
720,1,0
721,1,0
722,0,0
723,1,0
724,0,0
725,0,0
726,1,0
727,0,0
728,1,0
729,1,0
730,0,0
731,0,0
732,0,0
733,1,1
734,1,0
735,0,0
736,0,0
737,0,0
738,0,0
739,1,0
740,0,0
741,1,0
742,1,0
743,0,0
744,0,1
745,0,0
746,0,1
747,1,0
748,1,0
749,0,1
750,1,0
751,0,0
752,0,0
753,1,0
754,0,0
755,0,0
