,True_Label,Predicted_results
0,0,0
1,0,1
2,1,0
3,0,1
4,1,0
5,1,1
6,1,1
7,0,1
8,1,1
9,1,1
10,1,1
11,0,1
12,0,1
13,1,1
14,0,1
15,0,0
16,1,1
17,0,1
18,0,1
19,1,1
20,1,0
21,1,1
22,1,1
23,0,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,1
31,1,1
32,0,1
33,0,1
34,0,1
35,1,1
36,0,1
37,0,1
38,0,1
39,1,1
40,0,1
41,1,1
42,1,1
43,0,1
44,0,1
45,1,1
46,0,1
47,0,1
48,0,1
49,0,1
50,1,0
51,0,0
52,0,0
53,1,1
54,0,1
55,1,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,0,1
62,1,1
63,1,1
64,1,1
65,1,0
66,1,0
67,1,1
68,0,1
69,0,1
70,1,0
71,1,1
72,1,1
73,1,1
74,0,1
75,1,1
76,1,1
77,0,1
78,1,1
79,0,1
80,1,1
81,0,1
82,1,1
83,1,1
84,1,0
85,1,1
86,0,1
87,1,1
88,0,1
89,1,0
90,0,0
91,1,1
92,1,0
93,1,0
94,0,0
95,1,0
96,1,0
97,0,0
98,0,1
99,1,1
100,1,1
101,1,0
102,0,1
103,1,1
104,1,1
105,1,1
106,1,0
107,1,1
108,0,0
109,0,0
110,0,0
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,1
118,0,0
119,1,1
120,0,1
121,1,0
122,0,0
123,1,0
124,1,1
125,1,1
126,0,1
127,1,1
128,1,1
129,0,1
130,1,1
131,0,1
132,1,1
133,0,1
134,1,1
135,0,1
136,1,1
137,1,1
138,1,1
139,0,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,0,1
152,0,1
153,1,0
154,0,0
155,0,0
156,1,0
157,0,1
158,1,1
159,1,1
160,1,1
161,1,1
162,0,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,0,1
169,1,0
170,0,0
171,0,0
172,1,1
173,1,1
174,1,0
175,1,1
176,0,1
177,0,1
178,1,1
179,0,1
180,0,1
181,1,1
182,0,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,0
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,1,1
197,1,1
198,0,1
199,0,1
200,0,1
201,1,1
202,1,1
203,1,1
204,0,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,1
210,1,1
211,0,1
212,0,1
213,1,1
214,0,1
215,1,1
216,0,1
217,1,1
218,1,1
219,1,1
220,1,1
221,0,1
222,0,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,0,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,0,1
242,0,1
243,1,1
244,0,1
245,1,1
246,1,1
247,1,1
248,1,1
249,0,1
250,1,0
251,0,0
252,0,0
253,0,0
254,1,0
255,1,0
256,0,0
257,0,0
258,1,0
259,1,1
260,1,1
261,0,0
262,1,1
263,0,1
264,0,1
265,0,1
266,0,0
267,1,0
268,1,1
269,1,0
270,0,0
271,1,0
272,0,0
273,0,0
274,1,0
275,1,0
276,0,0
277,1,0
278,0,1
279,0,0
280,0,0
281,0,0
282,0,0
283,1,0
284,0,0
285,1,0
286,1,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,1,0
293,1,0
294,1,0
295,1,0
296,1,0
297,1,0
298,1,0
299,1,0
300,0,0
301,1,1
302,1,1
303,1,0
304,0,1
305,1,1
306,0,1
307,1,1
