,True_Label,Predicted_results
0,0,0
1,0,0
2,1,1
3,0,1
4,1,1
5,1,1
6,1,0
7,0,1
8,1,1
9,1,1
10,1,1
11,0,0
12,0,0
13,1,0
14,0,1
15,0,0
16,1,0
17,0,0
18,0,0
19,1,0
20,1,0
21,1,0
22,1,0
23,0,0
24,1,0
25,1,0
26,1,1
27,1,0
28,1,0
29,1,0
30,0,0
31,1,0
32,0,0
33,0,0
34,0,0
35,1,0
36,0,1
37,0,0
38,0,1
39,1,1
40,0,1
41,1,1
42,1,1
43,0,0
44,0,0
45,1,1
46,0,0
47,0,0
48,0,1
49,0,0
50,1,1
51,0,0
52,0,0
53,1,0
54,0,0
55,1,1
56,1,0
57,1,0
58,1,0
59,1,1
60,1,0
61,0,0
62,1,1
63,1,1
64,1,1
65,1,0
66,1,1
67,1,0
68,0,1
69,0,1
70,1,1
71,1,0
72,1,1
73,1,1
74,0,1
75,1,0
76,1,0
77,0,0
78,1,0
79,0,0
80,1,0
81,0,1
82,1,1
83,1,1
84,1,1
85,1,0
86,0,0
87,1,0
88,0,0
89,1,1
90,0,1
91,1,0
92,1,0
93,1,0
94,0,0
95,1,0
96,1,0
97,0,1
98,0,1
99,1,1
100,1,0
101,1,0
102,0,0
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,0,0
109,0,0
110,0,0
111,1,0
112,1,0
113,1,1
114,1,1
115,1,0
116,1,0
117,1,1
118,0,0
119,1,1
120,0,0
121,1,0
122,0,0
123,1,1
124,1,1
125,1,0
126,0,0
127,1,1
128,1,0
129,0,0
130,1,0
131,0,1
132,1,0
133,0,1
134,1,1
135,0,1
136,1,1
137,1,0
138,1,0
139,0,1
140,1,1
141,1,0
142,1,1
143,1,0
144,1,0
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,0,0
152,0,0
153,1,0
154,0,1
155,0,0
156,1,1
157,0,0
158,1,1
159,1,1
160,1,1
161,1,1
162,0,1
163,1,1
164,1,0
165,1,0
166,1,0
167,1,1
168,0,0
169,1,1
170,0,1
171,0,0
172,1,0
173,1,0
174,1,0
175,1,0
176,0,0
177,0,0
178,1,1
179,0,1
180,0,0
181,1,0
182,0,0
183,1,0
184,1,1
185,1,1
186,1,1
187,1,0
188,1,1
189,1,0
190,1,0
191,0,0
192,0,1
193,0,0
194,0,0
195,0,0
196,1,1
197,1,1
198,0,0
199,0,1
200,0,1
201,1,1
202,1,1
203,1,1
204,0,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,0
210,1,1
211,0,1
212,0,0
213,1,1
214,0,1
215,1,1
216,0,1
217,1,0
218,1,0
219,1,1
220,1,0
221,0,0
222,0,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,1
230,1,0
231,0,1
232,1,0
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,0,0
242,0,1
243,1,1
244,0,0
245,1,0
246,1,1
247,1,1
248,1,0
249,0,0
250,1,1
251,0,0
252,0,0
253,0,0
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,1,0
260,1,0
261,0,0
262,1,0
263,0,0
264,0,0
265,0,1
266,0,0
267,1,0
268,1,1
269,1,0
270,0,1
271,1,0
272,0,0
273,0,0
274,1,1
275,1,0
276,0,1
277,1,1
278,0,0
279,0,1
280,0,1
281,0,0
282,0,1
283,1,0
284,0,1
285,1,1
286,1,1
287,0,0
288,0,1
289,0,1
290,0,1
291,0,1
292,1,0
293,1,1
294,1,1
295,1,0
296,1,1
297,1,1
298,1,1
299,1,1
300,0,1
301,1,1
302,1,0
303,1,0
304,0,0
305,1,0
306,0,0
307,1,0
308,1,1
309,0,1
310,0,1
311,1,1
312,1,0
313,1,0
314,1,0
315,1,1
316,1,1
317,0,1
318,1,0
319,1,1
320,1,1
321,0,1
322,1,1
323,1,1
324,1,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,1
330,1,0
331,1,0
332,1,1
333,1,1
334,0,1
335,0,0
336,0,1
337,1,1
338,0,1
339,1,0
340,1,1
341,0,0
342,0,0
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,0
349,0,0
350,1,0
351,0,1
352,0,1
353,1,1
354,0,1
355,1,0
356,1,1
357,1,1
358,0,1
359,1,1
360,1,1
361,1,1
362,0,1
363,1,0
364,1,1
365,0,0
366,0,0
367,1,0
368,1,1
369,1,0
370,1,0
371,1,1
372,1,0
373,0,0
374,1,1
375,0,1
376,0,0
377,1,0
378,1,1
379,1,0
380,1,1
381,0,1
382,0,0
383,0,0
384,0,1
385,1,0
386,1,1
387,0,1
388,0,1
389,0,0
390,1,0
391,0,1
392,1,1
393,0,0
394,1,0
395,1,1
396,1,0
397,1,1
398,0,1
399,0,0
400,1,0
401,0,1
402,0,1
403,1,1
404,0,1
405,0,0
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,0
413,1,1
414,1,1
415,1,0
416,0,1
417,1,1
418,0,1
419,0,0
420,1,0
421,0,0
422,1,1
423,1,1
424,0,1
425,1,0
426,0,0
427,1,0
428,0,0
429,0,0
430,0,1
431,1,0
432,0,1
433,0,1
434,0,0
435,1,0
436,0,1
437,0,0
438,1,0
439,1,1
440,1,1
441,1,1
442,1,1
443,0,1
444,0,0
445,1,0
446,0,0
447,1,0
448,0,0
449,0,0
450,0,1
451,1,0
452,1,0
453,0,0
454,0,0
455,0,1
456,1,0
457,1,1
458,0,0
459,1,1
460,1,0
461,1,0
462,1,0
463,0,0
464,1,0
465,1,0
466,0,1
467,0,0
468,1,0
469,0,0
470,0,0
471,0,0
472,0,0
473,1,0
474,1,1
475,1,1
476,0,1
477,1,1
478,1,1
479,1,0
480,0,0
481,0,0
482,0,0
483,1,0
484,1,0
485,0,0
486,0,0
487,1,0
488,1,0
489,1,0
490,1,1
491,1,1
492,1,0
493,1,0
494,1,0
495,0,0
496,0,0
497,0,0
498,1,0
499,0,0
500,0,0
501,1,1
502,0,1
503,0,0
504,0,0
505,0,1
506,0,0
507,1,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,1,1
514,1,1
515,1,1
516,0,1
517,0,1
518,1,0
519,0,0
520,0,0
521,0,0
522,0,1
523,1,1
524,0,1
525,1,1
526,1,1
527,0,1
528,1,0
529,0,0
530,1,0
531,1,1
532,1,0
533,1,0
534,0,0
535,0,1
536,0,0
537,1,1
538,1,0
539,0,0
540,0,1
541,1,1
542,1,0
543,1,1
544,0,1
545,1,0
546,1,0
547,1,1
548,1,1
549,0,1
550,1,1
551,1,0
552,1,0
553,0,0
554,1,1
555,1,1
556,0,0
557,0,1
558,1,0
559,0,0
560,0,0
561,1,0
562,1,0
563,0,0
564,0,0
565,1,0
566,0,0
567,1,1
568,0,0
569,0,1
570,1,0
