,True_Label,Predicted_results
0,0,1
1,0,1
2,1,0
3,0,1
4,1,1
5,1,1
6,1,1
7,0,1
8,1,1
9,1,1
10,1,1
11,0,1
12,0,1
13,1,1
14,0,1
15,0,1
16,1,1
17,0,1
18,0,1
19,1,0
20,1,1
21,1,1
22,1,1
23,0,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,1
31,1,0
32,0,1
33,0,1
34,0,1
35,1,1
36,0,1
37,0,1
38,0,0
39,1,1
40,0,1
41,1,1
42,1,0
43,0,1
44,0,0
45,1,1
46,0,1
47,0,1
48,0,0
49,0,1
50,1,0
51,0,0
52,0,0
53,1,0
54,0,0
55,1,0
56,1,0
57,1,0
58,1,1
59,1,1
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,1,0
66,1,0
67,1,1
68,0,1
69,0,1
70,1,0
71,1,1
72,1,1
73,1,1
74,0,1
75,1,1
76,1,1
77,0,1
78,1,1
79,0,1
80,1,1
81,0,1
82,1,1
83,1,1
84,1,1
85,1,1
86,0,1
87,1,1
88,0,1
89,1,0
90,0,1
91,1,1
92,1,1
93,1,1
94,0,1
95,1,0
96,1,1
97,0,0
98,0,1
99,1,1
100,1,1
101,1,1
102,0,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,0,1
109,0,1
110,0,1
111,1,1
112,1,0
113,1,1
114,1,1
115,1,1
116,1,0
117,1,1
118,0,1
119,1,1
120,0,1
121,1,0
122,0,1
123,1,1
124,1,0
125,1,1
126,0,1
127,1,1
128,1,1
129,0,0
130,1,1
131,0,1
132,1,1
133,0,1
134,1,1
135,0,1
136,1,1
137,1,1
138,1,1
139,0,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,0
148,1,1
149,1,0
150,1,1
151,0,1
152,0,1
153,1,1
154,0,1
155,0,1
156,1,1
157,0,1
158,1,1
159,1,0
160,1,0
161,1,0
162,0,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,0,1
169,1,0
170,0,1
171,0,1
172,1,1
173,1,1
174,1,1
175,1,1
176,0,1
177,0,1
178,1,1
179,0,1
180,0,1
181,1,1
182,0,1
183,1,1
184,1,1
185,1,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,1,1
197,1,0
198,0,1
199,0,1
200,0,1
201,1,1
202,1,1
203,1,1
204,0,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,0
210,1,0
211,0,0
212,0,1
213,1,0
214,0,0
215,1,0
216,0,1
217,1,1
218,1,1
219,1,1
220,1,1
221,0,1
222,0,1
223,1,1
224,1,1
225,1,0
226,1,0
227,1,1
228,1,1
229,1,1
230,1,1
231,0,1
232,1,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,0
239,1,1
240,1,1
241,0,1
242,0,1
243,1,1
244,0,1
245,1,1
246,1,1
247,1,1
248,1,1
249,0,1
250,1,0
251,0,1
252,0,1
253,0,1
254,1,0
255,1,1
256,0,1
257,0,1
258,1,0
259,1,1
260,1,1
261,0,0
262,1,1
263,0,1
264,0,1
265,0,1
266,0,0
267,1,1
268,1,1
269,1,1
270,0,1
271,1,1
272,0,0
273,0,0
274,1,0
275,1,1
276,0,0
277,1,1
278,0,1
279,0,1
280,0,0
281,0,1
282,0,0
283,1,1
284,0,0
285,1,1
286,1,1
287,0,1
288,0,0
289,0,0
290,0,1
291,0,1
292,1,1
293,1,1
294,1,0
295,1,0
296,1,1
297,1,1
298,1,1
299,1,1
300,0,1
301,1,1
302,1,0
303,1,0
304,0,0
305,1,1
306,0,0
307,1,0
308,1,0
309,0,1
310,0,1
311,1,0
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,0,0
318,1,1
319,1,1
320,1,0
321,0,0
322,1,1
323,1,0
324,1,1
325,0,1
326,0,1
327,0,1
328,0,1
329,0,1
330,1,0
331,1,1
332,1,0
333,1,1
334,0,1
335,0,1
336,0,1
337,1,1
338,0,0
339,1,1
340,1,1
341,0,1
342,0,1
343,1,1
344,1,0
345,1,0
346,1,0
347,1,0
348,1,1
349,0,1
350,1,0
351,0,0
352,0,0
353,1,1
354,0,1
355,1,1
356,1,0
357,1,1
358,0,0
359,1,0
360,1,0
361,1,1
362,0,0
363,1,0
364,1,1
365,0,1
366,0,1
367,1,1
368,1,0
369,1,1
370,1,1
371,1,1
372,1,0
373,0,1
374,1,1
375,0,1
376,0,1
377,1,1
378,1,0
379,1,1
380,1,0
381,0,1
382,0,1
383,0,1
384,0,1
385,1,1
386,1,1
387,0,0
388,0,1
389,0,1
390,1,1
391,0,1
392,1,1
393,0,1
394,1,1
395,1,1
396,1,1
397,1,1
398,0,1
399,0,1
400,1,1
401,0,1
402,0,1
403,1,1
404,0,0
405,0,1
406,1,0
407,1,0
408,1,1
409,1,0
410,1,0
411,1,0
412,1,1
413,1,1
414,1,0
415,1,1
416,0,1
