,True_Label,Predicted_results
0,0,0
1,0,1
2,1,1
3,0,1
4,1,1
5,1,1
6,1,1
7,0,1
8,1,1
9,1,1
10,1,1
11,0,1
12,0,1
13,1,1
14,0,1
15,0,1
16,1,0
17,0,0
18,0,0
19,1,0
20,1,1
21,1,0
22,1,0
23,0,0
24,1,0
25,1,0
26,1,1
27,1,0
28,1,1
29,1,0
30,0,0
31,1,0
32,0,1
33,0,0
34,0,1
35,1,1
36,0,0
37,0,1
38,0,0
39,1,0
40,0,0
41,1,0
42,1,1
43,0,1
44,0,1
45,1,0
46,0,0
47,0,0
48,0,0
49,0,1
50,1,1
51,0,1
52,0,1
53,1,1
54,0,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,0,0
62,1,1
63,1,0
64,1,1
65,1,0
66,1,0
67,1,0
68,0,0
69,0,1
70,1,1
71,1,1
72,1,1
73,1,0
74,0,0
75,1,0
76,1,0
77,0,1
78,1,1
79,0,0
80,1,1
81,0,1
82,1,0
83,1,0
84,1,0
85,1,1
86,0,0
87,1,0
88,0,0
89,1,0
90,0,0
91,1,1
92,1,0
93,1,1
94,0,1
95,1,1
96,1,0
97,0,0
98,0,1
99,1,1
100,1,0
101,1,0
102,0,0
103,1,0
104,1,1
105,1,0
106,1,0
107,1,0
108,0,0
109,0,1
110,0,0
111,1,1
112,1,1
113,1,0
114,1,1
115,1,0
116,1,1
117,1,1
118,0,0
119,1,0
120,0,0
121,1,1
122,0,1
123,1,1
124,1,0
125,1,0
126,0,0
127,1,0
128,1,1
129,0,0
130,1,0
131,0,0
132,1,0
133,0,0
134,1,0
135,0,0
136,1,1
137,1,1
138,1,1
139,0,1
140,1,1
141,1,1
142,1,1
143,1,0
144,1,1
145,1,0
146,1,1
147,1,0
148,1,0
149,1,1
150,1,1
151,0,1
152,0,0
153,1,0
154,0,1
155,0,1
156,1,1
157,0,0
158,1,1
159,1,0
160,1,1
161,1,0
162,0,0
163,1,0
164,1,1
165,1,0
166,1,0
167,1,1
168,0,1
169,1,1
170,0,1
171,0,0
172,1,1
173,1,1
174,1,0
175,1,1
176,0,1
177,0,0
178,1,0
179,0,0
180,0,1
181,1,0
182,0,0
183,1,1
184,1,1
185,1,0
186,1,0
187,1,1
188,1,1
189,1,0
190,1,1
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,1,0
197,1,0
198,0,0
199,0,1
200,0,0
201,1,0
202,1,0
203,1,0
204,0,0
205,1,0
206,1,1
207,1,1
208,1,1
209,0,0
210,1,0
211,0,0
212,0,1
213,1,0
214,0,0
215,1,0
216,0,0
217,1,0
218,1,1
219,1,0
220,1,0
221,0,0
222,0,0
223,1,1
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,0,1
232,1,1
233,1,1
234,1,0
235,1,1
236,1,1
237,1,0
238,1,1
239,1,1
240,1,1
241,0,1
242,0,0
243,1,0
244,0,0
245,1,1
246,1,1
247,1,1
248,1,1
249,0,1
250,1,1
251,0,1
252,0,1
253,0,0
254,1,0
255,1,0
256,0,0
257,0,0
258,1,0
259,1,0
260,1,0
261,0,0
262,1,0
263,0,0
264,0,0
265,0,0
266,0,0
267,1,0
268,1,0
269,1,0
270,0,0
271,1,0
272,0,0
273,0,0
274,1,1
275,1,1
276,0,1
277,1,1
278,0,1
279,0,1
280,0,1
281,0,1
282,0,0
283,1,1
284,0,1
285,1,1
286,1,1
287,0,1
288,0,1
289,0,1
290,0,1
291,0,1
292,1,1
293,1,1
294,1,0
295,1,1
296,1,1
297,1,0
298,1,1
299,1,1
300,0,1
301,1,1
302,1,1
303,1,1
304,0,1
305,1,0
306,0,1
307,1,0
