,True_Label,Predicted_results
0,1,0
1,0,1
2,1,1
3,0,1
4,1,1
5,1,1
6,1,1
7,1,1
8,0,0
9,1,1
10,1,1
11,1,1
12,0,1
13,1,1
14,0,0
15,0,1
16,1,1
17,0,0
18,0,1
19,0,1
20,1,1
21,1,0
22,1,1
23,0,1
24,0,1
25,1,0
26,1,1
27,0,1
28,1,0
29,0,1
30,0,1
31,1,1
32,0,1
33,0,1
34,0,0
35,1,1
36,0,0
37,0,1
38,0,1
39,1,0
40,1,1
41,1,1
42,1,1
43,0,1
44,0,1
45,1,1
46,0,0
47,0,1
48,0,0
49,0,0
50,0,0
51,0,1
52,0,1
53,1,1
54,0,1
55,1,1
56,1,1
57,0,1
58,1,1
59,0,1
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,1,1
66,0,1
67,1,1
68,1,0
69,0,0
70,1,1
71,0,0
72,1,0
73,0,0
74,0,1
75,1,0
76,1,1
77,0,0
78,1,1
79,1,1
80,1,1
81,0,1
82,1,1
83,0,0
84,1,0
85,0,0
86,0,0
87,1,0
88,0,0
89,1,0
90,1,1
91,1,0
92,1,0
93,1,0
94,0,0
95,1,1
96,1,0
97,1,1
98,0,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,1
107,1,0
108,0,0
109,0,0
110,0,0
111,1,0
112,1,1
113,0,0
114,1,0
115,0,0
116,1,0
117,1,1
118,0,1
119,1,0
120,0,1
121,1,1
122,0,0
123,1,1
124,1,1
125,1,0
126,0,1
127,0,1
128,1,1
129,0,1
130,1,1
131,0,1
132,1,1
133,0,1
134,1,1
135,0,1
136,1,1
137,0,0
138,0,1
139,0,1
140,1,1
141,1,1
142,1,0
143,1,1
144,0,1
145,1,1
146,1,1
147,1,0
148,1,0
149,1,0
150,1,1
151,1,1
152,1,1
153,1,1
154,0,0
155,0,0
156,1,1
157,0,1
158,1,1
159,1,0
160,1,1
161,1,1
162,0,1
163,1,0
164,0,0
165,1,0
166,1,1
167,1,0
168,0,1
169,1,0
170,1,0
171,0,1
172,1,0
173,1,1
174,1,1
175,1,0
176,0,0
177,0,0
178,1,0
179,0,1
180,0,0
181,1,0
182,0,0
183,1,0
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,0
190,1,1
191,0,0
192,0,0
193,0,0
194,0,0
195,1,1
196,1,1
197,1,1
198,0,1
199,1,0
200,0,1
201,0,1
202,1,1
203,0,1
204,0,1
205,1,1
206,1,1
207,1,1
208,1,0
209,1,0
210,1,0
211,1,1
212,1,1
213,0,1
214,1,0
215,1,0
216,0,0
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,0,0
223,1,1
224,1,1
225,0,1
226,1,0
227,1,0
228,1,1
229,1,1
230,1,0
231,0,0
232,1,0
233,0,0
234,1,0
235,0,0
236,0,0
237,1,0
238,0,0
239,1,0
240,1,0
241,0,1
242,1,0
243,1,1
244,1,0
245,1,1
246,1,1
247,1,0
248,1,1
249,0,1
250,1,1
251,1,1
252,0,1
253,0,1
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,1,1
260,1,1
261,0,1
262,1,1
263,0,1
264,0,1
265,0,1
266,0,1
267,1,1
268,1,1
269,1,0
270,0,1
271,1,1
272,0,1
273,0,0
274,1,1
275,1,0
276,1,0
