,True_Label,Predicted_results
0,1,1
1,1,1
2,1,1
3,1,1
4,1,0
5,1,1
6,1,1
7,1,1
8,1,1
9,1,0
10,1,1
11,0,0
12,0,1
13,0,0
14,0,1
15,0,0
16,1,0
17,1,0
18,1,1
19,1,0
20,1,0
21,1,1
22,1,0
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,1
31,0,1
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,1
38,1,1
39,1,1
40,0,0
41,0,1
42,0,0
43,0,1
44,0,1
45,0,1
46,0,1
47,0,0
48,1,0
49,0,0
50,1,1
51,0,0
52,1,1
53,1,0
54,1,0
55,1,1
56,1,0
57,1,0
58,0,0
59,1,1
60,0,1
61,0,1
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,1
68,1,1
69,1,0
70,0,1
71,1,0
72,0,0
73,0,1
74,0,0
75,1,1
76,1,0
77,1,1
78,1,0
79,1,1
80,1,1
81,0,1
82,0,0
83,1,1
84,1,1
85,1,0
86,1,1
87,1,1
88,0,0
89,0,0
90,1,0
91,1,0
92,1,1
93,1,1
94,1,1
95,1,1
96,0,1
97,1,0
98,1,1
99,1,0
100,1,0
101,1,1
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,0,0
108,0,0
109,0,1
110,0,0
111,1,1
112,1,1
113,1,0
114,1,1
115,1,1
116,1,1
117,1,0
118,0,1
119,0,1
120,1,0
121,0,0
122,1,0
123,1,1
124,1,0
125,1,0
126,1,0
127,1,0
128,1,1
129,1,1
130,0,1
131,0,0
132,1,1
133,1,1
134,1,1
135,1,0
136,1,1
137,0,0
138,0,1
139,0,1
140,1,1
141,1,0
142,1,0
143,1,1
144,1,0
145,1,1
146,1,1
147,1,1
148,1,1
149,0,1
150,0,0
151,0,1
152,1,0
153,1,1
154,1,1
155,1,1
156,1,0
157,1,1
158,1,1
159,1,0
160,1,0
161,1,1
162,1,0
163,1,1
164,1,1
165,1,1
166,1,1
167,0,0
168,0,0
169,0,0
170,0,1
171,0,1
172,1,1
173,0,0
174,1,1
175,1,1
176,0,0
177,0,0
178,0,1
179,0,1
180,0,1
181,1,0
182,0,1
183,1,0
184,1,0
185,1,1
186,1,0
187,1,1
188,1,1
189,0,1
190,1,1
191,1,1
192,1,0
193,1,1
194,1,0
195,1,1
196,0,0
197,0,0
198,0,0
199,0,0
200,0,1
201,1,1
202,0,1
203,0,1
204,0,1
205,0,1
206,0,0
207,0,1
208,1,1
209,1,0
210,1,1
211,1,0
212,1,0
213,1,0
214,0,0
215,0,0
216,1,0
217,1,0
218,1,0
219,1,1
220,1,1
221,0,1
222,0,1
223,1,0
224,1,1
225,1,1
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,0,1
235,0,0
236,0,1
237,1,0
238,1,0
239,1,0
240,1,0
241,1,0
242,1,0
243,1,0
244,1,1
245,1,1
246,1,0
247,1,0
248,1,1
249,0,1
250,0,0
251,0,0
252,1,0
253,1,1
254,1,1
255,1,1
256,1,0
257,0,0
258,1,1
259,1,0
260,1,0
261,1,1
262,1,0
263,1,0
264,1,0
265,0,0
266,0,0
267,0,0
268,0,1
269,1,0
270,1,0
271,1,1
272,1,1
273,1,0
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,0,1
281,0,1
282,0,0
283,0,0
284,0,1
285,0,1
286,0,0
287,0,1
288,0,1
289,1,0
290,0,1
291,0,1
292,0,1
293,0,1
294,1,1
295,1,1
296,1,0
297,1,0
298,1,0
299,0,1
300,1,0
301,0,1
302,0,0
303,0,1
304,1,0
305,0,1
306,0,1
307,0,0
308,1,0
309,1,0
310,1,1
311,1,1
312,1,1
313,1,1
314,1,0
315,1,0
316,1,0
317,1,0
318,1,0
319,1,1
320,1,1
321,0,1
322,1,1
323,0,1
324,0,0
325,1,0
326,1,1
327,1,1
328,1,0
329,1,0
330,0,0
331,0,1
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,1
339,0,1
340,0,0
341,0,0
342,1,1
343,1,1
344,0,0
345,1,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,1,1
352,0,0
353,0,0
354,1,1
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,1
361,1,1
362,1,0
363,1,0
364,0,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,1
370,1,0
371,1,1
372,1,0
373,1,1
374,1,0
375,1,0
376,1,0
377,1,0
378,1,1
379,1,1
380,0,1
381,1,1
382,0,1
383,0,1
384,0,1
385,0,1
386,0,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,0,1
393,0,0
394,1,1
395,0,1
396,0,1
397,1,1
398,1,1
399,1,1
400,1,1
401,0,1
402,0,0
403,0,1
404,0,1
405,0,1
406,0,1
407,0,0
408,0,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,0
415,1,0
416,1,0
417,1,0
418,1,0
419,1,1
420,1,1
421,0,1
422,0,1
423,0,1
424,0,0
425,0,1
426,0,1
427,0,1
428,0,1
429,0,1
430,0,0
431,0,0
432,1,1
433,1,0
434,0,1
435,0,1
436,0,1
437,0,1
438,0,1
439,0,1
440,1,1
441,0,1
442,1,1
443,1,0
444,1,0
445,0,0
446,1,0
447,1,0
448,1,1
449,1,1
450,1,1
451,1,0
452,1,0
453,1,0
454,1,1
455,1,0
456,1,1
457,1,0
458,1,1
459,1,0
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,0,1
466,0,0
467,0,0
468,0,0
469,1,1
470,1,0
471,1,0
472,1,1
473,0,0
474,0,1
475,0,1
476,0,0
477,0,0
478,0,1
479,0,0
480,0,1
481,0,0
482,0,1
483,1,0
484,1,1
485,1,0
486,1,0
487,0,0
488,0,1
489,0,1
490,0,0
491,0,0
492,1,0
493,0,1
494,1,0
495,1,1
496,1,0
497,1,0
498,1,1
499,1,1
500,0,1
501,0,1
502,0,1
503,0,0
504,0,0
505,0,1
506,0,0
507,0,1
508,0,1
509,1,0
510,0,1
511,0,1
512,0,1
513,0,1
514,0,1
515,0,1
516,0,0
517,0,0
518,0,0
519,0,0
520,1,0
521,1,0
522,1,0
523,1,1
524,0,1
525,0,1
526,0,1
527,1,0
528,1,1
529,1,0
530,0,1
531,0,1
532,0,0
533,1,1
534,0,1
535,0,0
536,0,1
537,0,0
538,0,0
539,1,1
540,1,0
541,1,1
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,0,0
548,1,1
549,1,1
550,0,1
551,0,0
552,1,0
553,1,0
554,1,0
555,1,0
556,1,1
557,1,0
558,1,1
559,1,0
560,1,1
561,1,1
562,1,0
563,1,0
564,0,1
565,0,1
566,0,1
567,0,1
568,0,1
569,0,1
570,0,0
571,0,1
572,0,0
573,1,1
574,1,1
575,0,1
576,0,1
577,0,1
578,0,1
579,0,0
580,0,1
581,0,0
582,0,1
583,1,1
584,1,0
585,0,0
586,1,1
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,1
594,1,1
595,1,0
596,0,0
597,0,0
598,0,0
599,0,1
600,1,1
601,1,1
602,1,0
603,1,0
604,1,0
605,1,0
606,0,1
607,1,0
608,1,1
609,0,1
610,0,0
611,0,0
612,0,0
613,0,0
614,0,1
615,0,0
616,1,0
617,1,0
618,0,0
619,1,1
620,1,0
621,1,1
622,1,1
623,1,0
624,0,0
625,0,1
626,1,1
627,1,1
628,1,0
629,1,0
630,1,1
631,1,1
632,0,0
633,0,1
634,0,0
635,1,0
636,1,1
637,1,1
638,1,1
639,1,0
640,1,0
641,0,0
642,0,1
643,1,0
644,1,0
645,1,0
646,1,0
647,1,0
648,1,0
649,1,0
650,1,0
651,1,0
652,0,0
653,1,0
654,1,1
655,1,1
656,1,0
657,1,0
658,0,0
659,0,1
660,0,0
661,0,0
662,0,0
663,0,1
664,0,1
665,0,0
666,0,0
667,0,0
668,0,1
669,0,1
670,0,0
671,0,0
672,1,0
673,1,0
674,1,0
675,1,0
676,0,0
677,0,1
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,1
686,0,0
687,0,1
688,0,0
689,1,0
690,0,0
691,1,0
692,1,0
693,1,0
694,0,0
695,0,1
696,0,0
697,0,0
698,0,0
699,1,1
700,1,0
701,0,0
702,1,0
703,1,0
704,1,0
705,1,0
706,1,0
707,1,1
708,1,1
709,0,1
710,0,0
711,0,1
712,0,1
713,0,1
714,0,1
715,0,0
716,1,0
717,1,1
718,1,1
719,1,1
720,1,1
721,1,0
722,0,0
723,0,1
724,0,1
725,0,1
726,1,0
727,1,1
728,1,0
729,1,1
730,0,0
731,1,0
732,1,0
733,1,0
734,0,1
735,0,0
736,0,1
737,0,1
738,1,0
739,1,0
740,0,1
741,1,0
742,0,0
743,0,1
744,0,1
745,0,0
746,0,1
747,0,0
748,0,0
749,0,1
750,0,1
751,0,1
752,1,0
753,1,0
754,0,0
755,1,1
