,True_Label,Predicted_results
0,0,1
1,0,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,1
7,1,0
8,1,0
9,1,0
10,0,0
11,0,0
12,0,0
13,0,1
14,0,1
15,0,0
16,0,0
17,0,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,1
23,1,0
24,1,0
25,1,0
26,1,0
27,1,1
28,0,1
29,0,0
30,0,1
31,0,1
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,0
40,1,0
41,1,1
42,0,0
43,0,1
44,0,1
45,0,1
46,0,1
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,1,1
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,1,1
62,1,0
63,1,0
64,1,1
65,1,1
66,1,1
67,1,1
68,0,1
69,1,0
70,1,0
71,1,1
72,1,0
73,1,0
74,0,0
75,1,1
76,1,1
77,0,1
78,1,0
79,1,0
80,1,1
81,1,1
82,1,0
83,1,1
84,1,0
85,1,0
86,1,0
87,1,1
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,1
95,1,1
96,1,1
97,0,1
98,1,1
99,1,1
100,1,1
101,1,0
102,1,1
103,1,0
104,1,1
105,1,0
106,0,0
107,0,0
108,0,1
109,0,1
110,0,1
111,1,0
112,1,1
113,1,0
114,1,0
115,1,1
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,1,0
122,1,1
123,1,0
124,1,0
125,1,1
126,1,0
127,1,1
128,1,0
129,1,0
130,1,0
131,0,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,1,1
139,1,0
140,1,0
141,1,0
142,1,1
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,1
150,0,1
151,0,0
152,0,0
153,0,1
154,0,1
155,0,1
156,1,1
157,0,1
158,1,0
159,1,0
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,0
171,1,1
172,1,1
173,1,0
174,1,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,0,1
190,0,0
191,0,0
192,0,1
193,0,1
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,1,0
202,1,0
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,1
210,1,1
211,0,1
212,1,1
213,1,1
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,0,0
232,1,1
233,1,0
234,1,0
235,1,0
236,1,0
237,1,0
238,0,0
239,0,1
240,0,1
241,0,0
242,1,1
243,1,0
244,1,0
245,1,1
246,1,1
247,1,1
248,1,1
249,0,1
250,0,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,0
262,0,0
263,0,1
264,0,1
265,0,1
266,0,1
267,1,1
268,1,1
269,1,0
270,0,1
271,1,1
272,1,1
273,1,0
274,1,0
275,1,1
276,0,1
277,0,1
278,0,0
279,0,0
280,0,0
