,True_Label,Predicted_results
0,0,1
1,0,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,0
9,1,1
10,0,1
11,0,1
12,0,1
13,0,1
14,0,1
15,0,1
16,0,1
17,0,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,1
25,1,1
26,1,1
27,1,1
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,0
40,1,0
41,1,0
42,0,1
43,0,0
44,0,0
45,0,0
46,0,0
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,0
58,1,1
59,1,1
60,1,1
61,1,1
62,1,0
63,1,0
64,1,1
65,1,1
66,1,1
67,1,1
68,0,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,0
74,0,1
75,1,1
76,1,0
77,0,0
78,1,0
79,1,0
80,1,0
81,1,1
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,0,0
98,1,1
99,1,1
100,1,0
101,1,0
102,1,0
103,1,1
104,1,1
105,1,1
106,0,1
107,0,0
108,0,1
109,0,1
110,0,0
111,1,1
112,1,1
113,1,1
114,1,0
115,1,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,1,0
122,1,0
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,0,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,0,1
151,0,1
152,0,0
153,0,1
154,0,1
155,0,1
156,1,1
157,0,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,0
169,1,1
170,1,1
171,1,0
172,1,0
173,1,0
174,1,0
175,0,1
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,1
201,1,0
202,1,0
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,0,0
210,1,1
211,0,1
212,1,1
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,1
221,1,0
222,1,0
223,1,0
224,1,1
225,1,0
226,1,1
227,1,1
228,1,0
229,1,0
230,1,0
231,0,1
232,1,1
233,1,1
234,1,0
235,1,0
236,1,0
237,1,0
238,0,0
239,0,0
240,0,0
241,0,0
242,1,0
243,1,0
244,1,0
245,1,1
246,1,0
247,1,0
248,1,0
249,0,1
250,0,1
251,0,1
252,0,0
253,0,1
254,0,1
255,0,1
256,0,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,0,0
263,0,0
264,0,0
265,0,1
266,0,1
267,1,1
268,1,0
269,1,0
270,0,0
271,1,0
272,1,1
273,1,0
274,1,0
275,1,1
276,0,1
277,0,1
278,0,1
279,0,1
280,0,1
281,0,1
282,0,1
283,1,1
284,0,1
285,1,1
286,0,1
287,0,1
288,0,1
289,0,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,0,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,0
307,1,1
308,1,1
309,1,1
310,1,1
311,1,0
312,1,1
313,1,0
314,1,0
315,1,0
316,1,0
317,1,1
318,1,1
319,1,1
320,0,1
321,0,1
322,0,1
323,0,1
324,0,1
325,0,1
326,0,1
327,0,1
328,0,0
329,0,1
330,1,1
331,1,0
332,1,1
333,0,1
334,0,1
335,0,1
336,0,1
337,1,1
338,0,1
339,1,1
340,0,1
341,0,1
342,0,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,0,1
352,0,0
353,1,1
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,1
362,0,1
363,1,1
364,1,0
365,1,1
366,1,0
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,0,1
374,0,1
375,0,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,0,1
382,0,1
383,0,1
384,1,1
385,1,1
386,0,1
387,0,1
388,0,1
389,0,1
390,1,0
391,0,1
392,1,0
393,1,0
394,1,0
395,1,1
396,0,0
397,0,1
398,0,1
399,0,1
400,0,0
401,0,0
402,0,0
403,0,1
404,0,0
405,1,1
406,1,0
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,0,1
416,0,1
