,True_Label,Predicted_results
0,0,0
1,0,0
2,1,1
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,0
16,0,0
17,0,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,1
23,0,1
24,1,1
25,1,0
26,1,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,0
40,1,0
41,1,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,0,1
51,0,1
52,0,1
53,1,1
54,1,1
55,1,0
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,0
68,1,1
69,1,1
70,1,1
71,1,0
72,1,1
73,0,0
74,1,0
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,0,0
81,0,0
82,1,0
83,1,0
84,1,0
85,0,0
86,0,1
87,1,1
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,1,0
112,0,1
113,0,0
114,1,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,0
120,0,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,0,0
127,1,0
128,1,0
129,1,0
130,1,1
131,1,1
132,1,1
133,1,0
134,1,1
135,1,0
136,1,0
137,0,1
138,1,0
139,1,0
140,1,0
141,1,0
142,1,0
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,0
149,1,0
150,1,0
151,1,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,0,0
158,1,1
159,1,0
160,1,0
161,0,0
162,0,0
163,1,0
164,1,0
165,1,0
166,1,0
167,1,0
168,0,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,1,0
184,1,1
185,1,1
186,1,1
187,1,0
188,1,0
189,1,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,1,0
196,1,0
197,0,0
198,0,1
199,0,1
200,0,1
201,0,1
202,0,1
203,0,1
204,1,1
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,1
215,1,0
216,1,0
217,1,1
218,1,1
219,1,1
220,1,0
221,1,1
222,0,0
223,1,1
224,1,0
225,1,1
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,0,0
236,1,0
237,1,0
238,0,0
239,0,0
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,1,0
248,1,0
249,1,0
250,1,0
251,1,0
252,0,1
253,0,0
254,0,1
255,0,0
256,0,0
257,1,1
258,1,0
259,1,1
260,1,1
261,0,1
262,0,1
263,0,0
264,0,1
265,0,1
266,1,0
267,1,1
268,1,1
269,1,1
270,0,1
271,1,1
272,0,1
273,1,1
274,1,1
275,1,1
276,0,1
277,0,1
278,0,1
279,0,1
280,0,1
281,0,1
282,0,1
283,1,1
284,0,1
285,1,1
286,0,1
287,0,1
288,0,1
289,0,0
290,1,1
291,1,0
292,1,0
293,1,1
294,0,1
295,1,1
296,0,1
297,0,0
298,0,0
299,0,0
300,0,1
301,1,1
302,1,1
303,1,1
304,1,0
305,1,0
306,1,0
307,1,0
308,1,0
309,1,0
310,1,1
311,1,0
312,1,0
313,1,0
314,1,0
315,1,1
316,1,1
317,1,0
318,0,0
319,0,0
320,0,0
321,0,0
322,1,0
323,1,0
324,1,0
325,0,0
326,0,0
327,0,0
328,0,0
329,1,0
330,1,0
331,1,0
332,1,0
333,0,0
334,0,1
335,0,0
336,0,0
337,1,1
338,1,1
339,1,1
340,0,1
341,0,1
342,1,1
343,1,1
344,1,1
345,1,0
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,0,0
352,0,0
353,0,1
354,0,0
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,0,1
361,1,1
362,1,0
363,1,1
364,1,0
365,1,1
366,1,1
367,0,1
368,0,1
369,1,1
370,0,1
371,1,1
372,0,1
373,0,1
374,0,1
375,0,1
376,1,1
377,1,0
378,1,1
379,0,1
380,0,1
381,0,0
382,0,0
383,0,0
384,1,0
385,1,0
386,0,0
387,0,0
388,1,0
389,0,0
390,1,0
391,1,0
392,1,0
393,1,0
394,1,1
395,0,1
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,1
402,0,0
403,0,1
404,0,0
405,1,1
406,1,0
407,1,1
408,1,0
409,1,0
410,1,0
411,1,0
412,1,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,1,1
421,1,1
422,1,1
423,0,1
424,0,1
425,0,1
426,0,1
427,0,1
428,0,0
429,0,0
430,0,1
431,0,1
432,0,1
433,0,1
434,0,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,0,1
442,1,1
443,0,0
444,1,0
445,1,0
446,1,1
447,0,0
448,0,0
449,0,1
450,0,0
451,1,0
452,1,1
453,0,1
454,0,1
455,0,1
456,0,1
457,0,1
458,1,1
459,1,1
460,1,1
461,1,1
462,0,1
463,0,1
464,1,1
465,1,1
466,1,0
467,0,1
468,0,1
469,0,0
470,0,0
471,0,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,0,0
481,0,0
482,0,1
483,1,1
484,0,1
485,0,1
486,0,0
487,1,0
488,1,1
489,1,0
490,1,1
491,0,1
492,0,1
493,0,0
494,0,0
495,0,1
496,0,0
497,0,0
498,1,0
499,0,0
500,1,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,1
510,0,1
511,0,1
512,0,1
513,1,1
514,1,1
515,1,0
516,1,0
517,1,0
518,0,0
519,0,0
520,0,1
521,0,1
522,1,0
523,1,1
524,1,1
525,0,1
526,0,1
527,0,1
528,0,1
529,0,1
530,1,1
531,1,1
532,0,1
533,0,1
534,0,1
535,0,1
536,0,1
537,1,1
538,0,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,0
553,0,1
554,0,1
555,0,1
556,0,1
557,0,1
558,1,1
559,0,0
560,1,1
561,1,0
562,0,0
563,0,0
564,1,0
565,1,0
566,0,0
567,0,0
568,0,0
569,0,0
570,1,1
