,True_Label,Predicted_Label
0,0,0
1,1,0
2,0,0
3,0,0
4,0,0
5,1,0
6,1,0
7,0,0
8,1,0
9,1,0
10,0,0
11,0,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,0,0
18,1,0
19,1,0
20,0,0
21,1,0
22,1,0
23,1,0
24,1,0
25,0,0
26,1,0
27,1,0
28,1,0
29,0,0
30,1,0
31,1,0
32,1,0
33,0,0
34,0,0
35,0,0
36,1,0
37,1,0
38,0,0
39,1,0
40,1,0
41,0,0
42,0,0
43,1,0
44,0,0
45,0,0
46,1,0
47,0,0
48,0,0
49,0,0
50,1,0
51,1,0
52,1,0
53,0,0
54,1,0
55,1,0
56,1,0
57,0,0
58,1,0
59,1,0
60,0,0
61,1,0
62,1,0
63,0,0
64,1,0
65,0,0
66,0,0
67,0,0
68,0,0
69,1,0
70,1,0
71,1,0
72,0,0
73,1,0
74,1,0
75,1,0
76,0,0
77,1,0
78,1,0
79,1,0
80,1,0
81,0,0
82,0,0
83,0,0
84,0,0
85,1,0
86,1,0
87,1,0
88,0,0
89,1,0
90,0,0
91,0,0
92,0,0
93,1,0
94,1,0
95,0,0
96,0,0
97,0,0
98,1,0
99,1,0
100,1,0
101,1,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,1,0
109,0,0
110,1,0
111,1,0
112,0,0
113,1,0
114,1,1
115,1,1
116,1,1
117,0,1
118,0,1
119,0,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,0,1
126,1,1
127,1,1
128,0,1
129,0,0
130,0,0
131,1,0
132,0,0
133,1,0
134,0,0
135,1,0
136,0,0
137,1,0
138,1,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,1,0
147,0,0
148,0,0
149,0,0
150,1,1
151,0,1
152,1,1
153,1,1
154,1,1
155,0,1
156,1,1
157,0,1
158,0,1
159,1,1
160,1,1
161,1,1
162,0,1
163,1,1
164,1,1
165,1,1
166,1,1
167,0,1
168,0,1
169,0,1
170,1,1
171,0,1
172,0,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,0,1
179,0,1
180,0,1
181,0,1
182,1,1
183,1,1
184,1,1
185,0,1
186,1,1
187,0,1
188,0,1
189,1,1
190,1,1
191,1,1
192,0,1
193,1,1
194,1,1
195,1,1
196,0,1
197,1,1
198,0,1
199,1,1
200,0,1
201,1,1
202,1,1
203,1,1
204,0,1
205,1,1
206,1,1
207,1,1
208,0,1
209,0,1
210,1,1
211,1,1
212,0,1
213,1,1
214,1,1
215,0,1
216,1,1
217,1,1
218,0,1
219,1,1
220,0,1
221,0,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,1,1
228,1,1
229,1,1
230,0,1
231,0,1
232,1,1
233,1,1
234,1,1
235,0,1
236,1,1
237,0,1
238,0,1
239,0,1
240,1,1
241,1,1
242,0,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,0,1
249,1,1
250,0,1
251,1,1
252,1,1
253,1,1
254,0,1
255,1,1
256,1,1
257,1,1
258,1,1
259,0,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,0,1
266,1,1
267,0,1
268,0,1
269,0,1
270,0,1
271,1,1
272,1,1
273,1,1
274,0,1
275,1,0
276,1,0
277,1,0
278,0,0
279,1,0
280,0,0
281,0,0
282,1,0
283,1,0
284,1,0
285,0,0
286,1,0
287,1,0
288,1,0
289,1,0
290,0,0
291,1,0
292,0,0
293,0,0
294,0,0
295,1,0
296,1,0
297,1,0
298,1,0
299,1,0
300,0,0
301,1,0
302,1,0
303,1,0
304,0,0
305,0,0
306,0,0
307,1,0
308,1,0
309,0,0
310,0,0
311,0,0
312,1,0
313,1,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,1,0
320,1,0
321,0,0
322,0,0
323,1,0
324,0,0
325,0,0
326,1,0
327,0,0
328,1,0
329,1,0
330,1,0
331,1,0
332,0,0
333,1,0
334,0,0
335,0,0
336,0,0
337,1,0
338,0,0
339,0,0
340,1,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,1,0
348,1,0
349,1,0
350,1,1
351,0,1
352,1,1
353,0,1
354,0,1
355,0,1
356,1,1
357,1,1
358,1,1
359,0,1
360,1,1
361,0,1
362,1,1
363,0,1
364,1,1
365,1,1
366,1,1
367,1,1
368,0,1
369,0,1
370,1,1
371,0,1
372,1,1
373,1,1
374,0,1
375,1,1
376,1,1
377,1,1
378,0,1
379,0,1
380,0,1
381,0,1
382,0,1
383,0,1
384,1,1
385,0,1
386,1,1
387,1,1
388,1,1
389,0,1
390,0,1
391,0,1
392,0,1
393,1,1
394,1,1
395,0,1
396,0,1
397,0,1
398,0,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,0,1
406,0,1
407,1,1
408,1,1
409,1,1
410,0,1
411,0,1
412,1,1
413,0,1
414,1,1
415,0,1
416,0,1
417,1,1
418,0,1
419,1,1
420,0,1
421,0,1
422,1,1
423,1,1
424,0,1
425,1,1
426,1,1
427,1,1
428,1,1
429,0,1
430,0,1
431,1,1
432,0,1
433,0,1
434,0,1
435,0,1
436,0,1
437,1,1
438,0,1
439,1,1
440,1,1
441,1,1
442,1,1
443,0,1
444,0,1
445,0,1
446,0,1
447,1,1
448,0,1
449,1,1
450,1,1
451,1,1
452,0,1
453,0,1
454,1,1
455,0,1
456,0,1
457,1,1
458,0,1
459,1,1
460,1,1
461,0,1
462,1,1
463,1,1
464,0,1
465,0,1
466,1,1
467,1,1
468,0,0
469,0,0
470,0,0
471,1,0
472,1,0
473,1,1
474,1,1
475,1,0
476,0,0
477,0,0
478,1,0
479,1,0
480,1,0
481,0,0
482,0,0
483,1,0
484,1,0
485,1,0
486,1,0
487,1,0
488,1,0
489,0,0
490,0,0
491,1,0
492,1,0
493,0,0
494,1,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,1,0
501,1,0
502,0,0
503,1,0
504,0,0
505,0,0
506,1,0
507,1,0
508,0,0
509,0,0
510,1,0
511,1,0
512,1,0
513,1,0
514,1,0
515,1,0
516,1,0
517,1,0
518,0,0
519,1,0
520,0,0
521,0,0
522,1,0
523,0,0
524,1,0
525,1,0
526,0,0
527,1,0
528,0,0
529,1,0
530,1,0
531,1,0
532,0,0
533,1,0
534,0,0
535,0,0
536,1,0
537,0,0
538,1,0
539,1,0
540,0,0
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,0,1
549,1,1
550,1,0
551,0,0
552,0,0
553,0,0
554,1,0
555,0,0
556,1,0
557,0,0
558,1,0
559,0,0
560,1,0
561,0,0
562,1,0
563,0,0
564,1,0
565,0,0
566,1,0
567,1,0
568,1,0
569,1,0
570,0,0
571,0,0
572,1,0
573,0,0
574,0,0
575,1,0
576,1,0
577,1,0
578,1,0
579,1,0
580,0,0
581,1,0
582,1,0
583,0,0
584,1,0
585,1,0
586,1,0
587,1,0
588,1,0
589,0,0
590,1,0
591,1,0
592,1,0
593,1,0
594,0,0
595,1,0
596,0,0
597,1,0
598,0,0
599,0,0
600,0,0
601,1,0
602,0,0
603,1,0
604,0,0
605,1,0
606,0,0
607,0,0
608,1,0
609,1,0
610,0,0
611,0,0
612,0,0
613,1,0
614,0,0
615,1,0
616,1,0
617,0,0
618,0,0
619,1,0
620,0,0
621,1,0
622,1,0
623,1,0
624,0,0
625,1,0
626,0,0
627,1,0
628,1,0
629,1,0
630,1,0
631,1,0
632,1,0
633,1,0
634,1,0
635,0,0
636,1,0
637,1,0
