,True_Label,Predicted_results
0,1,0.581463
1,1,0.57988423
2,1,0.57814914
3,1,0.5767008
4,1,0.5755155
5,0,0.57457405
6,1,0.5744635
7,0,0.57585496
8,1,0.5777924
9,0,0.5793995
10,0,0.5800272
11,1,0.578421
12,1,0.5771307
13,0,0.5754695
14,1,0.57307595
15,0,0.5702554
16,1,0.5673854
17,1,0.56491506
18,0,0.56228733
19,0,0.5595119
20,1,0.5570795
21,1,0.55528355
22,1,0.5545714
23,0,0.5545961
24,0,0.55507714
25,0,0.55578893
26,1,0.55628234
27,1,0.5569043
28,0,0.5580324
29,0,0.5591642
30,1,0.55937624
31,1,0.5588141
32,0,0.5576786
33,0,0.5550396
34,0,0.5473061
35,1,0.53610575
36,0,0.52113324
37,0,0.5118019
38,1,0.5085756
39,1,0.5070387
40,0,0.5042787
41,1,0.50441396
42,0,0.51088583
43,0,0.51858944
44,0,0.5227137
45,0,0.52117956
46,0,0.5199684
47,1,0.52441883
48,0,0.5290756
49,1,0.536532
50,1,0.546287
51,1,0.5589275
52,1,0.5701374
53,1,0.574527
54,1,0.5779613
55,0,0.5800749
56,1,0.58353233
57,1,0.58555275
58,1,0.58668023
59,1,0.5869856
60,1,0.5863861
61,1,0.5857268
62,0,0.58597165
63,1,0.586717
64,0,0.5875628
65,0,0.5876026
66,0,0.5853829
67,1,0.5823009
68,1,0.5789658
69,1,0.57528996
70,0,0.5717596
71,0,0.56812525
72,1,0.5643958
73,0,0.560751
74,0,0.5574843
75,1,0.5549221
76,0,0.5530127
77,0,0.5515361
78,0,0.5502979
79,0,0.5497151
80,1,0.5489665
81,0,0.5483419
82,0,0.5474494
83,0,0.546516
84,0,0.54545397
85,1,0.544017
86,0,0.542178
87,1,0.539403
88,0,0.5355472
89,0,0.53051436
90,0,0.52451175
91,0,0.5146774
92,0,0.50161946
93,0,0.4915238
94,1,0.48437804
95,0,0.47772646
96,1,0.47529793
97,1,0.47126555
98,0,0.46677083
99,1,0.46434045
100,0,0.4630002
101,0,0.46587914
102,0,0.46803397
103,0,0.46912012
104,0,0.46960512
105,1,0.4696539
