,True_Label,Predicted_results
0,0,0.5392988
1,1,0.5392097
2,0,0.5388643
3,0,0.5373474
4,0,0.53565377
5,1,0.5367303
6,1,0.5372559
7,0,0.5389534
8,1,0.5397938
9,1,0.53872824
10,0,0.5367477
11,0,0.53597397
12,1,0.5366806
13,1,0.53719383
14,1,0.5395602
15,1,0.5424425
16,1,0.54156744
17,0,0.53935695
18,1,0.53801787
19,1,0.5386207
20,0,0.5396973
21,1,0.54263484
22,1,0.5455252
23,1,0.54089236
24,1,0.53743905
25,0,0.5376024
26,1,0.5383192
27,1,0.53872365
28,1,0.5388944
29,0,0.53969854
30,1,0.5401829
31,1,0.53959
32,1,0.53935087
33,0,0.5393084
34,0,0.53985375
35,0,0.5409352
36,1,0.54365337
37,1,0.54672056
38,0,0.55033445
39,1,0.54693305
40,1,0.5414409
41,0,0.5382127
42,0,0.5378776
43,1,0.5399121
44,0,0.53827894
45,0,0.53587127
46,1,0.5370987
47,0,0.5379003
48,0,0.53695345
49,0,0.5398592
50,1,0.5524605
51,1,0.55829704
52,1,0.5657691
53,0,0.5667872
54,1,0.5675852
55,1,0.556762
56,1,0.5467729
57,0,0.538262
58,1,0.53668994
59,1,0.5357598
60,0,0.5352934
61,1,0.53628653
62,1,0.5373964
63,0,0.5387965
64,1,0.54088193
65,0,0.5414926
66,0,0.5417155
67,0,0.5428227
68,0,0.54436123
69,1,0.54665667
70,1,0.5497662
71,1,0.55117893
72,0,0.550667
73,1,0.5487858
74,1,0.54379153
75,1,0.53988135
76,0,0.53856057
77,1,0.54008377
78,1,0.5373529
79,1,0.5354695
80,1,0.5358421
81,0,0.53686917
82,0,0.53801143
83,0,0.538503
84,0,0.5391485
85,1,0.5410024
86,1,0.54374915
87,1,0.547279
88,0,0.5488639
89,1,0.5484824
90,0,0.54576224
91,0,0.5434414
92,0,0.5412531
93,1,0.54257506
94,1,0.5404814
95,0,0.5416459
96,0,0.5413215
97,0,0.5385856
98,1,0.535571
99,1,0.53708684
100,1,0.54163563
101,1,0.54667336
102,0,0.54326975
103,0,0.5414456
104,0,0.5405577
105,0,0.5408535
106,0,0.54360914
107,0,0.5589647
108,1,0.57306105
109,0,0.59154326
110,1,0.6139507
111,1,0.6336123
112,0,0.6335901
113,1,0.6266979
114,1,0.62254596
115,1,0.6139454
116,1,0.6000267
117,0,0.5954816
118,0,0.577324
119,0,0.55901587
120,1,0.54489166
121,1,0.53609884
122,1,0.53523797
123,1,0.5375835
124,1,0.5400566
125,0,0.53855413
126,1,0.53755885
127,1,0.5378866
128,0,0.5380486
129,0,0.53884923
130,0,0.54013836
131,1,0.5419785
132,0,0.5435821
133,1,0.5463296
134,0,0.5493553
135,1,0.54948366
136,0,0.5482548
137,1,0.54781806
138,1,0.5444912
139,0,0.5410983
140,0,0.53655976
141,0,0.5347014
142,0,0.53435993
143,0,0.5348201
144,0,0.5365556
145,0,0.5399744
146,1,0.5482
147,0,0.5571707
148,0,0.5751244
149,0,0.60129815
150,1,0.633327
151,0,0.6471926
152,1,0.6676129
153,1,0.67101395
154,1,0.67455405
155,0,0.65929717
156,1,0.65052974
157,0,0.6250998
158,0,0.6122755
159,1,0.6024429
160,1,0.6064278
161,1,0.6084183
162,0,0.6187254
163,1,0.6118661
164,1,0.59466237
165,1,0.5648904
166,1,0.5509491
167,0,0.5436476
168,0,0.53871924
169,0,0.5376574
170,1,0.5393461
171,0,0.5410051
172,0,0.5432537
173,1,0.5449854
174,1,0.5453614
175,1,0.5440723
176,1,0.54617393
177,1,0.54720724
178,0,0.54325515
179,0,0.5396546
180,0,0.5373134
181,0,0.53614235
182,1,0.53601134
183,1,0.53578234
184,1,0.5377449
185,0,0.5414485
186,1,0.54496753
187,0,0.5421616
188,0,0.5382322
189,1,0.54003775
190,1,0.5454601
191,1,0.54827195
192,0,0.5540008
193,1,0.5587999
194,1,0.5507326
195,1,0.543424
196,0,0.5378668
197,1,0.5362745
198,0,0.5359498
199,1,0.53724504
200,0,0.5399939
201,1,0.5412258
202,1,0.54217875
203,1,0.543321
204,0,0.54307705
205,1,0.5429128
206,1,0.542344
207,1,0.5410408
208,0,0.5413252
209,0,0.54237914
210,1,0.5417207
211,1,0.5416137
212,0,0.54437613
213,1,0.54713523
214,1,0.54775965
215,0,0.5440084
216,1,0.54161453
217,1,0.54202926
218,0,0.54164064
219,1,0.5417307
220,0,0.54320556
221,0,0.5399326
222,0,0.5367528
223,0,0.53756875
224,0,0.53884995
225,0,0.5428399
226,0,0.551863
227,1,0.56400514
228,1,0.5767435
229,1,0.58971393
230,0,0.5895923
231,0,0.574032
232,1,0.5530996
233,1,0.54389
234,1,0.53662723
235,0,0.5352243
236,1,0.535722
237,0,0.5380149
238,0,0.54032624
239,0,0.5437257
240,1,0.5476509
241,1,0.54950744
242,0,0.5518399
243,1,0.551736
244,1,0.5511682
245,1,0.54792327
246,1,0.5443529
247,1,0.5406586
248,0,0.53571945
249,1,0.53513193
250,0,0.5354972
251,1,0.5362836
252,1,0.53905886
253,1,0.5407772
254,0,0.5403577
255,1,0.53985035
256,1,0.53913593
257,1,0.53952795
258,1,0.53991556
259,0,0.5402745
260,1,0.540244
261,1,0.5399765
262,1,0.5402893
263,1,0.5406592
264,1,0.5406768
265,0,0.5389217
266,1,0.5382019
267,0,0.53808224
268,0,0.53844863
269,0,0.53886116
270,0,0.53902614
271,1,0.5390032
272,1,0.5406432
273,1,0.5409363
274,0,0.54035914
275,1,0.5376948
276,1,0.53561133
277,1,0.53547055
278,0,0.5353466
279,1,0.5360859
280,0,0.5365725
281,0,0.53653747
282,1,0.53752065
283,1,0.538461
284,1,0.53795415
285,0,0.5382684
286,1,0.53786933
287,1,0.53622687
288,1,0.536032
289,1,0.53735566
290,0,0.53833264
291,1,0.5377846
292,0,0.53770214
293,0,0.5379837
294,0,0.5377761
295,1,0.5389644
296,1,0.5402695
297,1,0.5429357
298,1,0.54409856
299,1,0.5439249
300,0,0.53858674
301,1,0.5352857
302,1,0.5347047
303,1,0.53499466
304,0,0.5350516
305,0,0.53596187
306,0,0.5366565
307,1,0.53724045
308,1,0.5379786
309,0,0.54005355
310,0,0.5411538
311,0,0.54180604
312,1,0.5410001
313,1,0.5398782
314,0,0.54194134
315,0,0.54374856
316,0,0.542822
317,0,0.54103553
318,0,0.54119533
319,1,0.54464376
320,1,0.5493158
321,0,0.5500508
322,0,0.550182
323,1,0.55375344
324,0,0.54918766
325,0,0.5435982
326,1,0.5447873
327,0,0.540448
328,1,0.53526306
329,1,0.53549325
330,1,0.5381452
331,1,0.53943956
332,0,0.5418146
333,1,0.53882855
334,0,0.5363221
335,0,0.5381819
336,0,0.5395654
337,1,0.541686
338,0,0.54253286
339,0,0.5453292
340,1,0.5471595
