,True_Label,Predicted_results
0,1,0.5750421
1,1,0.57320106
2,1,0.57214266
3,1,0.5710025
4,1,0.5701796
5,1,0.5697975
6,1,0.5695558
7,0,0.5691926
8,0,0.5683969
9,0,0.56764644
10,0,0.56741947
11,0,0.5678133
12,1,0.5687899
13,1,0.57055026
14,1,0.5722092
15,1,0.5730112
16,0,0.57363856
17,0,0.57408
18,1,0.5745908
19,1,0.5745435
20,1,0.5758737
21,1,0.57719386
22,1,0.5784584
23,1,0.5804797
24,1,0.5810703
25,1,0.5817229
26,1,0.58272123
27,1,0.58488786
28,1,0.5877919
29,0,0.5914797
30,0,0.59541005
31,0,0.5973641
32,0,0.5988072
33,0,0.60121846
34,0,0.60345757
35,1,0.60542864
36,1,0.6074461
37,0,0.60875314
38,0,0.61023664
39,1,0.61023057
40,1,0.60858774
41,0,0.6068808
42,0,0.6044899
43,0,0.602436
44,0,0.60117567
45,0,0.59972876
46,0,0.59850466
47,0,0.5964393
48,0,0.5955957
49,0,0.5955451
50,1,0.5957526
51,1,0.5970365
52,1,0.59884584
53,1,0.60042524
54,1,0.60253066
55,1,0.6040402
56,1,0.6050694
57,1,0.6045849
58,1,0.6038098
59,1,0.6041523
60,1,0.6043613
61,1,0.6027861
62,1,0.60116255
63,0,0.6011206
64,0,0.6008158
65,0,0.60032135
66,0,0.60081995
67,0,0.60119724
68,0,0.60248417
69,1,0.60482246
70,1,0.6079081
71,1,0.61086
72,1,0.6134466
73,1,0.6140138
74,1,0.61453176
75,1,0.61485684
76,1,0.61360204
77,1,0.61161983
78,1,0.6096427
79,0,0.60824525
80,0,0.6060152
81,0,0.6035124
82,0,0.60159224
83,0,0.5997346
84,1,0.5986263
85,1,0.5982592
86,1,0.59778196
87,0,0.5968471
88,0,0.5964176
89,0,0.5981673
90,0,0.5990776
91,0,0.6006527
92,1,0.6015987
93,1,0.6023861
94,0,0.6021775
95,0,0.59948146
96,0,0.5978061
97,1,0.596035
98,1,0.5954968
99,1,0.595369
100,0,0.59566075
101,0,0.59635484
102,0,0.5979796
103,0,0.5983962
104,0,0.5986832
105,0,0.5995766
106,0,0.60169566
107,0,0.60433346
108,0,0.6068263
109,0,0.60916984
110,0,0.6095599
111,0,0.6109517
112,0,0.61316276
113,1,0.61535704
114,1,0.6158242
115,1,0.6157187
116,1,0.6156513
117,0,0.6165937
118,1,0.6170991
119,1,0.6166007
120,1,0.6153012
121,1,0.6131996
122,1,0.60994595
123,1,0.6074809
124,1,0.60474795
125,1,0.6021889
126,1,0.59998083
127,0,0.5979339
128,0,0.5961443
129,0,0.5951196
130,0,0.5954951
131,1,0.5970117
132,0,0.59783924
133,1,0.6002724
134,1,0.6029165
135,1,0.6055669
136,1,0.6080714
137,1,0.6070945
138,0,0.6057865
139,0,0.60420305
140,0,0.6033041
141,0,0.6006138
142,0,0.59796137
143,0,0.5943322
144,0,0.5920534
145,0,0.59130746
146,0,0.59170926
147,0,0.5931369
148,0,0.5964934
149,0,0.59908193
150,1,0.60110873
151,1,0.602916
152,1,0.60555345
153,1,0.607978
154,0,0.61002195
155,0,0.6125968
156,0,0.6134573
157,0,0.6138491
158,1,0.61284214
159,1,0.6116895
160,1,0.6102145
161,1,0.60810274
162,1,0.60630244
163,1,0.60491955
164,1,0.6025945
165,0,0.59909016
166,0,0.59600735
167,0,0.5925192
168,0,0.5899917
169,1,0.58779746
170,1,0.58779746
171,0,0.5872327
172,1,0.5875815
173,1,0.586746
174,1,0.58599
175,1,0.58432806
176,1,0.5831065
177,0,0.5818409
178,0,0.5831643
179,0,0.5865748
180,0,0.59136987
181,0,0.594689
182,1,0.59696984
183,1,0.59964323
184,0,0.602108
185,0,0.6023387
186,0,0.60089844
187,0,0.5992166
188,1,0.59784454
189,1,0.5987384
190,1,0.6008016
191,1,0.60111606
192,1,0.600903
193,1,0.6023644
194,1,0.60388064
195,1,0.6044687
196,1,0.6035377
197,1,0.6021637
198,0,0.6017409
199,1,0.6004833
200,0,0.59948033
201,1,0.59988886
202,1,0.6029462
203,1,0.60627455
204,0,0.6092468
205,1,0.61008275
206,1,0.6119185
207,0,0.6137224
208,0,0.61567724
209,0,0.6184515
210,1,0.62055314
211,1,0.6213576
212,0,0.62116104
213,0,0.6207961
214,0,0.6193983
215,0,0.6173947
216,1,0.6167248
217,1,0.615659
218,0,0.61498475
219,0,0.6139509
220,0,0.61242235
221,0,0.6107754
222,0,0.6098464
223,0,0.6080857
224,0,0.6073513
225,0,0.60747635
226,1,0.6076525
227,1,0.6088849
228,1,0.6098465
229,1,0.6105043
230,1,0.610974
231,1,0.61132634
232,1,0.611033
233,0,0.6109978
234,0,0.6112651
235,0,0.6111141
236,0,0.6124853
237,0,0.6134502
238,0,0.6132274
239,0,0.6132704
240,1,0.6124139
241,1,0.6119076
242,1,0.6117207
243,1,0.6124935
244,0,0.61364204
245,1,0.61487615
246,1,0.61674637
247,0,0.61912376
248,0,0.6196441
249,1,0.6203479
250,1,0.6194712
251,1,0.61841154
252,1,0.61735255
253,1,0.6160742
254,1,0.6143814
255,1,0.61215174
256,1,0.61092514
257,1,0.6096682
258,1,0.60921603
259,1,0.61021966
260,1,0.6130192
261,1,0.6160074
262,1,0.61830103
263,1,0.62118864
264,1,0.6206146
265,1,0.620271
266,1,0.6189404
267,1,0.61663944
268,1,0.613474
269,1,0.61048657
270,1,0.60649186
271,1,0.6016893
272,1,0.59730583
273,1,0.59195864
274,1,0.5871211
275,1,0.5828002
276,1,0.57871366
277,1,0.5760349
278,1,0.5733625
279,1,0.57121503
280,1,0.5688582
281,1,0.5671304
282,1,0.56608784
283,0,0.565424
284,1,0.5648231
285,1,0.5646055
286,1,0.5644717
287,1,0.56464064
288,1,0.5648818
289,1,0.5650111
290,0,0.56453025
291,0,0.5639868
292,0,0.5637093
293,0,0.56348956
294,1,0.56360596
295,1,0.5639974
296,1,0.5645593
297,1,0.5650261
298,1,0.5655873
299,1,0.56581527
300,1,0.5658916
301,1,0.565626
302,1,0.5653789
303,1,0.5652758
304,1,0.56517553
305,1,0.565011
306,1,0.5650115
307,1,0.5651367
308,1,0.56546605
309,0,0.5655204
310,0,0.56591713
311,0,0.5668832
312,0,0.56851524
313,0,0.5700664
314,0,0.5708115
315,0,0.5705951
316,0,0.57007337
317,0,0.5694146
318,0,0.56860006
319,1,0.5681106
320,1,0.56866425
321,0,0.5691683
322,1,0.5701008
323,1,0.57153076
324,0,0.573115
325,0,0.5745508
326,0,0.57626665
327,1,0.5778297
328,1,0.57971996
329,1,0.5825167
330,1,0.5852917
331,0,0.58726496
332,0,0.5891106
333,0,0.5913147
334,0,0.59341246
335,0,0.595729
336,0,0.59827375
337,0,0.5999584
338,0,0.6005158
339,0,0.60186636
340,0,0.60313183
341,0,0.6030041
342,0,0.60385734
343,0,0.60562646
344,0,0.60570896
345,0,0.6060236
346,1,0.6080833
347,1,0.6106327
348,1,0.61376333
349,1,0.6163751
350,0,0.61591524
351,0,0.6140724
352,0,0.61301386
353,0,0.6112634
354,0,0.6096804
355,0,0.6077846
356,1,0.60622394
357,1,0.6063112
358,1,0.6060296
359,0,0.6050334
360,1,0.603529
361,0,0.6016475
362,1,0.5994148
363,1,0.5973978
364,1,0.5953112
365,1,0.5939401
366,1,0.59535706
367,0,0.5975561
368,0,0.5983974
369,0,0.59893
370,1,0.59963447
371,0,0.600491
372,1,0.60158795
373,1,0.60132897
374,1,0.6016765
375,1,0.60273075
376,1,0.6054782
377,0,0.60814685
378,0,0.6103784
379,0,0.6097075
380,0,0.60924965
381,0,0.6080212
382,0,0.6076924
383,1,0.60663337
384,1,0.6055134
385,1,0.60415596
386,1,0.6021732
387,1,0.6010841
388,0,0.6013752
389,0,0.6018074
390,0,0.60193384
391,1,0.6020298
392,1,0.6034571
393,1,0.60497254
394,1,0.6054361
395,0,0.6075014
396,0,0.60747635
397,1,0.6079229
398,1,0.608703
399,1,0.6099499
400,1,0.60923475
401,1,0.6089149
402,1,0.60865164
403,1,0.60943735
404,1,0.61156887
405,1,0.6122468
406,1,0.6129648
407,1,0.6139158
408,1,0.6138163
409,1,0.6130667
410,0,0.6111218
411,0,0.61062735
412,1,0.61089027
413,0,0.611735
414,1,0.6121955
415,0,0.61125386
416,0,0.61001766
417,0,0.6082071
418,0,0.6054791
419,1,0.6018883
420,1,0.59795505
421,1,0.59446776
422,1,0.5918067
423,0,0.58852994
424,0,0.5850396
425,1,0.5818274
426,1,0.5786279
427,1,0.5763814
428,1,0.57404184
429,0,0.5723961
430,0,0.5713952
431,0,0.57055706
432,0,0.57069933
433,0,0.57091534
434,0,0.5710186
435,0,0.5712718
436,0,0.57151693
437,1,0.57191074
438,0,0.572364
439,1,0.572832
440,1,0.57361734
441,0,0.5741619
442,0,0.57467014
443,0,0.5760393
444,0,0.5764321
445,0,0.57625926
446,0,0.5763136
447,1,0.5765637
448,1,0.5781015
449,1,0.5803678
450,0,0.5828036
451,0,0.58495206
452,0,0.5871627
453,0,0.58918613
454,0,0.5922822
455,0,0.59511894
456,1,0.5980012
457,1,0.59999985
458,1,0.6011158
459,1,0.6025322
460,1,0.60419834
461,0,0.60515416
462,0,0.60575795
463,0,0.60581243
464,0,0.60569036
465,0,0.6059529
466,0,0.6065105
467,0,0.60708916
468,0,0.60787
469,0,0.6090493
470,1,0.61007285
471,1,0.61065906
472,1,0.6108451
473,1,0.6100035
474,1,0.6101562
475,1,0.60998774
476,1,0.6093325
477,1,0.60900176
478,1,0.6092382
479,1,0.6090884
480,0,0.6096441
481,0,0.6088038
482,0,0.6082927
483,0,0.6077116
484,1,0.6058702
485,1,0.6055
486,1,0.60606366
487,1,0.6063685
488,0,0.6071641
489,1,0.60940063
490,1,0.6129815
491,1,0.61672276
492,1,0.6198562
493,0,0.62054205
494,0,0.62079877
495,0,0.6206758
496,0,0.6193348
497,1,0.6176318
498,1,0.6155435
499,1,0.614252
500,1,0.612218
501,1,0.609789
502,0,0.60796094
503,1,0.60570306
504,1,0.60472006
505,1,0.60382336
506,1,0.60339314
507,1,0.6034135
508,0,0.60343766
509,0,0.6034408
510,1,0.6027318
511,1,0.6043538
512,1,0.6041075
513,1,0.6048659
514,1,0.6056005
515,1,0.6056315
516,0,0.60463
517,1,0.6039052
518,1,0.6047101
519,0,0.6050417
520,0,0.60682636
521,1,0.6059407
522,1,0.60615903
523,0,0.60619414
524,1,0.6058015
525,1,0.6042908
526,1,0.6022283
527,1,0.60049856
528,0,0.59988153
