,True_Label,Predicted_results
0,1,0.48735088
1,0,0.48697338
2,1,0.48790517
3,1,0.4868401
4,1,0.48621845
5,1,0.48534852
6,1,0.4867343
7,1,0.4885015
8,1,0.49026316
9,0,0.49109307
10,0,0.49581903
11,0,0.4946951
12,0,0.49313745
13,0,0.49753538
14,1,0.49638885
15,1,0.49929252
16,1,0.5024101
17,0,0.49924088
18,0,0.49890465
19,0,0.50741255
20,0,0.5088348
21,0,0.51064813
22,0,0.50493133
23,0,0.49834704
24,0,0.48873764
25,0,0.48797956
26,1,0.4855996
27,0,0.48779273
28,0,0.53608096
29,0,0.5328045
30,1,0.448193
31,0,0.4037973
32,0,0.4070917
33,0,0.42020306
34,0,0.4650139
35,1,0.51895696
36,1,0.65146935
37,1,0.76348746
38,1,0.7532363
39,1,0.76389194
40,0,0.7599015
41,1,0.7358623
42,0,0.6311611
43,0,0.5311214
44,0,0.5180115
45,1,0.56971467
46,0,0.59705734
47,1,0.59221745
48,1,0.5771071
49,1,0.5949195
50,1,0.6226846
51,1,0.6562878
52,1,0.633026
53,1,0.61811346
54,1,0.60417044
55,1,0.5993928
56,1,0.58981514
57,1,0.57206666
58,1,0.55690765
59,1,0.53626853
60,1,0.5209751
61,1,0.50862753
62,0,0.49996954
63,0,0.4981037
64,0,0.49647903
65,0,0.49606198
66,1,0.49661103
67,1,0.49704665
68,1,0.4992443
69,1,0.50016165
70,1,0.50238955
71,1,0.5075512
72,1,0.509807
73,1,0.5057227
74,1,0.50273407
75,1,0.49798125
76,0,0.49539995
77,1,0.49144015
78,0,0.48548898
79,0,0.4854382
80,0,0.4858772
81,0,0.48622647
82,0,0.48732716
83,0,0.49113154
84,0,0.49704695
85,0,0.50312734
86,0,0.5110237
87,0,0.5157194
88,0,0.5138686
89,0,0.51309586
90,0,0.540827
91,0,0.6100077
92,0,0.626516
93,0,0.6383065
94,1,0.63933945
95,1,0.63811857
96,1,0.66598207
97,1,0.68538505
98,1,0.7082392
99,1,0.661254
100,0,0.5345196
101,0,0.47076207
102,0,0.48281908
103,0,0.53194773
104,0,0.54459316
105,0,0.5279972
106,0,0.51295483
107,1,0.5051292
108,1,0.4954083
109,0,0.490523
110,0,0.4932124
111,0,0.4959392
112,1,0.54066694
113,1,0.55663574
114,1,0.5791668
115,1,0.6204744
116,1,0.6451315
117,0,0.6156376
118,1,0.56072026
119,1,0.5179217
120,1,0.54652643
121,1,0.56362206
122,1,0.56298304
123,1,0.54445946
124,0,0.5284796
125,0,0.513287
126,0,0.5015873
127,0,0.49606985
128,0,0.4942781
129,1,0.4945043
130,1,0.49493423
131,1,0.49565607
132,1,0.49874315
133,1,0.5002127
134,1,0.49800786
135,1,0.4966
136,1,0.49589333
137,0,0.4945113
138,1,0.49631292
139,0,0.49807173
140,0,0.5034709
141,0,0.5019256
142,0,0.50334615
143,0,0.5074245
144,0,0.5057562
145,0,0.50282586
146,0,0.49498755
147,0,0.49087453
148,0,0.49270827
149,1,0.56550074
150,1,0.5856784
151,1,0.5880388
152,1,0.5090211
153,0,0.46958083
154,0,0.43861255
155,0,0.4495457
156,1,0.45701662
157,1,0.49067205
158,1,0.56609404
159,1,0.64872634
160,1,0.73090744
161,1,0.72210157
162,1,0.6480711
163,0,0.5868081
164,0,0.5176609
165,0,0.51094943
166,0,0.5206396
167,1,0.5502955
168,1,0.5957575
169,0,0.59114176
170,0,0.5765237
171,0,0.56078297
172,1,0.5523306
173,1,0.54973537
174,0,0.544765
175,0,0.5451064
176,0,0.56566507
177,0,0.58874506
178,0,0.5801729
179,1,0.57401615
180,1,0.57780087
181,0,0.59641534
182,1,0.6463406
183,0,0.66749674
184,0,0.6174851
185,1,0.5631743
186,1,0.5494901
187,1,0.5298115
188,1,0.5547831
189,1,0.59320545
190,1,0.58951277
191,1,0.54666996
192,1,0.530177
193,1,0.55485547
194,0,0.571751
195,1,0.5721871
196,1,0.5565091
197,1,0.5429549
198,1,0.5297438
199,1,0.5181421
200,1,0.51238346
201,1,0.5059198
202,0,0.5086438
203,0,0.5114414
204,0,0.50678897
205,0,0.50446236
206,1,0.5002849
207,1,0.49417734
208,0,0.4935059
209,0,0.4922401
210,0,0.49192256
211,0,0.49240512
212,1,0.49300942
213,1,0.48918056
214,0,0.48494172
215,0,0.48136005
216,0,0.477467
217,0,0.48547378
218,0,0.4899339
219,0,0.4850189
220,0,0.48076573
221,1,0.4809216
222,1,0.48108396
223,1,0.5102437
224,1,0.53295946
225,1,0.5580843
226,1,0.564889
227,0,0.55640996
228,0,0.50196815
229,0,0.49564585
230,0,0.51115435
231,0,0.512361
232,0,0.52348745
233,0,0.516698
234,0,0.5132775
235,0,0.5078286
236,0,0.50299585
237,1,0.49823076
238,0,0.49269754
239,1,0.48385152
240,1,0.47677675
241,0,0.47290874
242,0,0.47587377
243,0,0.50480396
244,0,0.51788884
245,1,0.52437425
246,1,0.5262194
247,1,0.5241768
248,1,0.5202133
249,0,0.51572967
250,0,0.52058995
251,0,0.51871586
252,1,0.5189683
253,1,0.51899004
254,1,0.50783813
255,1,0.50016963
256,1,0.4927113
257,1,0.4931225
258,1,0.50000215
259,1,0.5037053
260,1,0.51087826
261,1,0.51406735
262,1,0.5103497
263,1,0.50771844
264,1,0.49979728
265,0,0.49205422
266,1,0.48632225
267,1,0.48399106
268,1,0.48519963
269,1,0.48596793
270,1,0.48704514
271,1,0.48746318
272,1,0.4875768
273,1,0.48719233
274,0,0.48803645
275,1,0.4876195
276,1,0.48904914
277,1,0.4898542
278,0,0.4894866
279,1,0.49023
280,0,0.49315953
281,0,0.49519187
282,0,0.49567175
283,0,0.49670762
284,1,0.4968749
285,0,0.4955368
286,1,0.5034119
287,1,0.5065829
288,0,0.5093599
289,0,0.5097777
290,0,0.51471305
291,1,0.5194695
292,1,0.53100127
293,1,0.5381502
294,1,0.570691
295,1,0.590693
296,1,0.59186584
297,0,0.55728966
298,0,0.53683126
299,0,0.52661407
300,0,0.51744914
301,0,0.50546265
302,1,0.5071014
303,1,0.50346106
304,0,0.5027167
305,1,0.500812
306,0,0.50144386
307,0,0.49921694
308,1,0.4959827
309,1,0.4915995
310,0,0.49471253
311,0,0.4948309
312,0,0.50399476
313,0,0.50736016
314,0,0.51020324
315,0,0.5042964
316,1,0.5103519
317,1,0.5156863
318,0,0.5054504
319,0,0.51848084
320,0,0.49969444
321,0,0.50937104
322,0,0.51018786
323,0,0.5144837
324,0,0.5081862
325,1,0.5015413
326,1,0.5188543
327,1,0.5799864
328,1,0.6054961
329,0,0.5896659
330,0,0.554531
331,0,0.5018408
332,0,0.454039
333,0,0.44820738
334,0,0.4721256
335,0,0.5000373
336,0,0.5098947
337,0,0.57656
338,0,0.60075325
339,0,0.645579
340,0,0.673438
341,0,0.6746594
342,1,0.6724456
343,1,0.6654116
344,0,0.63744617
345,1,0.5870184
346,1,0.55215955
347,1,0.5177404
348,0,0.53887695
349,0,0.53242004
350,0,0.51126647
351,0,0.5185424
352,1,0.5565906
353,1,0.6729412
354,1,0.74556965
355,1,0.79721117
356,1,0.8264208
357,1,0.73622036
358,1,0.6502043
359,1,0.63361245
360,1,0.6114229
361,0,0.6005038
362,0,0.58819497
363,0,0.5744413
364,0,0.55751157
365,0,0.5445854
366,1,0.53221625
367,1,0.5188592
368,1,0.5073625
369,1,0.49418646
370,1,0.49255767
371,1,0.5067414
372,0,0.5550951
373,0,0.56147903
374,0,0.5675808
375,0,0.56183654
376,0,0.5548953
377,0,0.5419772
378,0,0.5255853
379,1,0.5109471
380,1,0.5055532
381,0,0.50309515
382,0,0.51874673
383,1,0.5257753
384,0,0.5307132
385,0,0.5320244
386,1,0.5401778
387,1,0.5413703
388,1,0.525775
389,1,0.58906686
390,1,0.6857182
391,1,0.678115
392,0,0.6696126
393,0,0.5870892
394,1,0.55943274
395,1,0.56745875
396,1,0.5620551
397,1,0.55138177
398,1,0.5343743
399,1,0.52139556
400,1,0.50895375
401,1,0.5018407
402,0,0.49541816
403,0,0.49404946
404,0,0.49512672
405,0,0.49571094
406,0,0.49593917
407,0,0.4958454
408,0,0.49628282
409,0,0.4978242
410,0,0.4977975
411,0,0.50401866
412,0,0.5032353
413,0,0.49991876
414,0,0.4971636
415,0,0.49747807
416,0,0.5138691
417,1,0.57967
418,1,0.5957303
419,1,0.5931004
420,1,0.5917517
421,1,0.59852535
422,1,0.5555463
423,1,0.5268084
424,0,0.5254792
425,0,0.51753485
426,0,0.5025596
427,0,0.49666053
428,1,0.4886747
429,0,0.48778048
430,0,0.48853588
431,0,0.4898385
432,1,0.49306265
433,1,0.49559426
434,0,0.49904114
435,0,0.50036705
436,0,0.50636727
437,0,0.5010438
438,0,0.49666747
439,0,0.49425164
440,0,0.4937275
441,1,0.48838955
442,1,0.4977305
443,1,0.51485616
444,1,0.56340545
445,0,0.5362783
446,0,0.5063162
447,0,0.49982968
448,0,0.48820648
449,0,0.4948632
450,0,0.49584952
451,0,0.5248662
452,1,0.6132008
453,1,0.6576649
454,1,0.7138004
455,1,0.70774806
456,1,0.71371305
457,0,0.6692313
458,1,0.5638254
459,0,0.4997332
460,0,0.5118599
461,0,0.46872228
462,0,0.5084174
463,0,0.55205286
464,0,0.6042677
465,0,0.65727437
466,1,0.6995601
467,1,0.6952907
468,1,0.69116884
469,1,0.7226052
470,1,0.7474167
471,1,0.7212529
472,1,0.65643454
473,1,0.5586101
474,1,0.5312991
475,1,0.5287668
476,1,0.56782997
477,1,0.5837404
478,1,0.57013065
479,1,0.5445016
480,1,0.5310589
481,1,0.5177559
482,1,0.5110476
483,1,0.5063185
484,1,0.5012808
485,1,0.49648958
486,0,0.4919525
487,0,0.48864
488,1,0.48897848
489,0,0.48767766
490,0,0.48615918
491,1,0.48755544
492,1,0.4903594
493,1,0.493922
494,1,0.49377912
495,1,0.4963395
496,0,0.49323058
497,0,0.4905118
498,0,0.4978896
499,0,0.49874926
500,0,0.49375597
501,1,0.49579453
502,0,0.5042469
503,0,0.5094401
504,0,0.51782477
505,1,0.52136135
506,1,0.53011084
507,1,0.5516621
508,0,0.5936409
509,0,0.6393618
510,0,0.6889838
511,0,0.6640945
512,0,0.6208426
513,1,0.60690695
514,1,0.5942579
515,0,0.62855417
516,0,0.684433
517,0,0.6678108
518,0,0.63450754
519,0,0.5901422
520,1,0.56357676
521,1,0.5490588
522,1,0.5446228
523,1,0.54697096
524,1,0.5669714
525,1,0.5419868
526,1,0.5326363
527,1,0.52423394
528,1,0.5031963
529,1,0.504156
530,0,0.5091313
531,0,0.50936085
532,0,0.5014239
533,1,0.49331388
534,1,0.4858633
535,1,0.4859086
536,0,0.4856574
537,0,0.48782596
538,0,0.49109548
539,0,0.4893028
540,0,0.4895293
541,0,0.4901951
542,0,0.492532
543,0,0.49451256
544,0,0.4988852
545,0,0.4998374
546,0,0.5026151
547,0,0.50117236
548,0,0.5196018
549,1,0.54132104
550,1,0.5663353
551,1,0.6094858
552,1,0.58938867
553,1,0.592658
554,0,0.5687741
555,0,0.53298366
556,0,0.4843003
557,0,0.48007053
558,0,0.49762258
559,0,0.5053688
560,0,0.50072765
561,1,0.5005633
562,1,0.494721
563,1,0.4891078
564,0,0.5192533
565,0,0.51997495
566,0,0.5105256
567,0,0.51796913
568,0,0.5235201
569,0,0.5413005
570,1,0.58210164
571,1,0.65303874
572,1,0.70576155
573,1,0.7177876
574,1,0.7435178
575,1,0.69016695
576,1,0.5930925
577,1,0.5816229
578,0,0.56326616
579,1,0.5752233
580,0,0.57002515
581,0,0.55356133
582,1,0.53530204
583,1,0.51995665
584,0,0.5096088
585,1,0.49955577
586,1,0.49857965
587,1,0.49563184
588,1,0.49229574
589,0,0.49044782
590,0,0.49257788
591,0,0.49419466
592,0,0.49699292
593,1,0.49653882
594,1,0.49684757
595,1,0.49635497
596,1,0.49670944
597,0,0.49490905
598,0,0.4934352
599,0,0.49140072
600,0,0.49008355
601,0,0.48870525
602,0,0.4883472
603,0,0.48626375
604,0,0.48363566
605,0,0.47823882
606,0,0.4744846
607,0,0.48283547
608,0,0.48554602
609,0,0.4814547
610,0,0.43831652
611,0,0.40279612
612,0,0.39313847
613,0,0.42395002
614,1,0.49945426
615,1,0.6082178
616,1,0.7414504
617,1,0.76546574
618,0,0.6809408
619,0,0.5941474
620,0,0.53429276
621,1,0.52094907
622,0,0.52026117
623,1,0.5642039
624,1,0.62365365
625,1,0.6758586
626,1,0.68391955
627,0,0.667795
628,1,0.6419282
629,1,0.6207427
630,1,0.60628754
631,1,0.5926212
632,1,0.5811694
633,1,0.5671574
634,1,0.55331486
635,1,0.54030997
636,0,0.5278177
637,1,0.5193708
638,1,0.5132309
639,1,0.5095725
640,0,0.50578165
641,0,0.5045096
642,0,0.50207824
643,0,0.50033355
644,0,0.49947113
645,0,0.49589163
646,1,0.4935556
647,1,0.49061146
648,1,0.49134222
649,1,0.49129707
650,0,0.48809114
651,0,0.48785582
652,0,0.49207258
653,0,0.5034079
654,0,0.50062376
655,1,0.4932565
656,1,0.49960947
657,1,0.49619284
658,1,0.49575162
659,1,0.5232134
660,1,0.52617973
661,1,0.51421845
662,1,0.5135595
663,1,0.5158116
664,1,0.5170499
665,1,0.5194605
666,1,0.5122554
667,1,0.5038212
668,1,0.4972705
669,1,0.49337023
670,1,0.48757666
671,1,0.4840755
672,1,0.48229185
673,0,0.48048052
674,1,0.48053628
675,0,0.48020402
676,0,0.48196107
677,1,0.48483992
678,0,0.48810467
679,0,0.4897932
680,1,0.4929642
681,1,0.49578834
682,1,0.4975005
683,1,0.4970146
684,1,0.498816
685,1,0.49326342
686,1,0.49652046
687,1,0.5272212
688,1,0.5436633
689,1,0.53720266
690,1,0.5207539
691,1,0.50214523
692,0,0.5019742
693,0,0.49554962
694,0,0.4915263
695,1,0.49154788
696,0,0.49275008
697,1,0.492992
698,0,0.4973907
699,0,0.5031639
700,0,0.5067892
701,0,0.50653136
702,0,0.50550616
703,0,0.50360405
704,0,0.5038191
705,0,0.5066556
706,0,0.53543097
707,0,0.5961374
708,1,0.62853616
709,1,0.6415854
710,1,0.6535802
711,1,0.6485792
712,1,0.57551765
713,1,0.5018117
714,0,0.48304933
715,0,0.46366802
716,1,0.46242395
717,1,0.48051864
718,1,0.5346982
719,1,0.54826343
720,0,0.53299856
721,0,0.5278165
722,0,0.52151006
723,0,0.5168589
724,0,0.5149931
725,1,0.5079192
726,0,0.50185037
727,1,0.49407214
728,0,0.48328027
729,0,0.4769032
730,0,0.4857015
731,1,0.48655686
732,1,0.49037346
733,1,0.48959923
734,1,0.5268546
735,1,0.6055658
736,1,0.61911845
737,1,0.5657235
738,0,0.51812786
739,0,0.48819885
740,0,0.49654928
741,0,0.5175902
742,0,0.5327936
743,0,0.52450114
744,1,0.5165026
745,0,0.5093978
746,0,0.49770507
747,0,0.48650724
748,1,0.49362135
749,1,0.48738113
750,1,0.48772806
751,1,0.4935978
752,1,0.49626938
753,0,0.4985548
754,1,0.47987446
755,0,0.46130043
756,0,0.418294
757,0,0.41551527
758,0,0.47360435
759,0,0.47979665
760,1,0.49648052
761,0,0.5373667
762,0,0.55278957
763,0,0.6239794
764,1,0.6399887
765,1,0.62887657
766,1,0.6312753
767,1,0.65137035
768,1,0.6672609
769,1,0.6344955
770,1,0.5759836
771,1,0.5418006
772,1,0.535782
773,0,0.5511722
774,1,0.5705007
775,1,0.5666123
776,1,0.551166
777,1,0.5288125
778,1,0.5182516
779,1,0.5132854
780,0,0.51137775
781,0,0.51432145
782,0,0.5087812
783,1,0.50803375
784,1,0.5041606
785,0,0.5020092
786,0,0.50060976
787,0,0.49974984
788,0,0.4960327
789,0,0.49561518
790,0,0.49546084
791,0,0.49035674
792,1,0.48627645
793,1,0.4813795
794,0,0.47405177
795,1,0.48177618
796,1,0.49144378
797,1,0.49563026
798,1,0.49947873
799,1,0.4953409
800,1,0.49474025
801,1,0.4921804
802,1,0.49119887
803,1,0.5003944
804,1,0.49473247
805,0,0.5007223
806,1,0.49942374
807,1,0.49629736
808,1,0.4934156
809,1,0.48923025
810,0,0.4879017
811,0,0.4893164
812,0,0.49114352
813,0,0.49265203
814,1,0.49407744
815,1,0.49452534
816,1,0.49525365
817,0,0.4919804
818,0,0.48787183
819,0,0.4889814
820,0,0.4911419
821,0,0.49709672
822,0,0.5001694
823,0,0.5026095
824,0,0.49625438
825,0,0.49988502
826,0,0.54307014
827,1,0.54481614
828,1,0.54831636
829,1,0.5551773
830,1,0.5499813
831,1,0.5178594
832,1,0.48654824
833,1,0.46648717
834,1,0.45324126
835,0,0.44528866
836,0,0.49289012
837,1,0.51974016
838,0,0.522136
839,0,0.5131073
840,0,0.5072156
841,1,0.50249684
842,0,0.4985136
843,0,0.4983522
844,1,0.49977908
845,1,0.50132596
846,0,0.49647465
847,1,0.48956686
848,1,0.48203307
849,0,0.4823044
850,0,0.48487598
851,0,0.49528235
852,0,0.5002166
853,0,0.50203407
854,0,0.500563
855,0,0.49687415
856,0,0.511548
857,1,0.5051654
858,1,0.519384
859,0,0.5506123
860,1,0.5685276
861,1,0.59394825
862,1,0.5563456
863,1,0.5439
864,1,0.5413493
865,0,0.5404169
866,0,0.5425787
867,0,0.5403705
868,0,0.5283881
869,0,0.5160719
870,1,0.5098448
871,1,0.5056454
872,1,0.50338686
873,1,0.4991664
874,1,0.49347672
875,1,0.48994216
876,1,0.48774648
877,1,0.49518532
878,1,0.5012829
879,1,0.50088537
880,1,0.49734578
881,1,0.49863663
882,1,0.49228248
883,1,0.49154797
884,1,0.48663282
885,0,0.48373827
886,0,0.48039746
887,0,0.47525135
888,0,0.47283047
889,0,0.4727984
890,0,0.47691622
891,0,0.48242745
892,1,0.48681784
893,1,0.4923602
894,1,0.49614725
895,0,0.5008687
896,0,0.5067359
897,1,0.5020759
898,0,0.5003545
899,0,0.50183845
900,1,0.49965876
901,1,0.5017909
902,1,0.50091887
903,0,0.504777
904,0,0.50820583
905,0,0.50372136
906,0,0.49879894
907,0,0.49553317
908,0,0.49442607
909,0,0.4921744
910,0,0.49313694
911,0,0.49092883
912,1,0.4880566
913,1,0.48919854
914,1,0.49002925
915,1,0.49203572
916,0,0.5021613
917,0,0.5028168
918,0,0.5123501
919,0,0.5052613
920,1,0.484199
921,0,0.49182925
922,0,0.4853313
923,0,0.48336846
924,0,0.510056
925,0,0.5128259
926,0,0.51951563
927,0,0.55644006
928,0,0.5922588
929,0,0.6353152
930,0,0.6897324
931,0,0.68958825
932,0,0.62532693
933,0,0.6008291
934,0,0.61334455
935,1,0.6393398
936,1,0.6537343
937,0,0.6450654
938,1,0.6438525
939,0,0.6860302
940,1,0.6479243
941,1,0.5643162
942,1,0.55779696
943,1,0.48672628
944,0,0.52171767
945,0,0.547276
946,0,0.54237056
947,0,0.5840712
948,1,0.59569573
949,1,0.59846264
950,1,0.58265257
951,1,0.55797356
952,0,0.5365231
953,0,0.53203857
954,0,0.53872555
955,0,0.55154836
956,1,0.56083333
957,1,0.5494236
958,1,0.53039455
959,1,0.52133995
960,1,0.5128591
961,1,0.5118442
962,0,0.5162746
963,0,0.51148474
964,0,0.5099114
965,0,0.5057538
966,0,0.5005609
967,1,0.499322
968,1,0.49620265
969,1,0.49250183
970,0,0.49327874
971,0,0.49422273
972,0,0.49397367
973,0,0.49224582
974,0,0.4943191
975,0,0.4933237
976,0,0.48998442
977,0,0.4876613
978,1,0.5359516
979,1,0.56244344
980,1,0.5711741
981,1,0.57612693
982,0,0.52119243
983,0,0.45309892
984,0,0.40153942
985,0,0.4034277
986,0,0.4283586
987,0,0.47692752
988,0,0.5379534
989,0,0.54997414
990,1,0.55085486
991,1,0.56106204
992,1,0.5690788
993,0,0.5819856
994,0,0.6154433
995,0,0.5928601
996,0,0.5801886
997,0,0.57933223
998,1,0.5709977
999,1,0.5592829
1000,1,0.5501499
1001,1,0.5475647
1002,1,0.5432528
1003,1,0.5444356
1004,1,0.5454674
1005,1,0.53870785
1006,0,0.52662516
