,True_Label,Predicted_Label
0,1,0
1,0,0
2,0,0
3,1,0
4,0,0
5,1,0
6,1,0
7,0,0
8,1,0
9,0,0
10,0,0
11,1,0
12,0,0
13,0,0
14,1,0
15,1,0
16,1,0
17,1,0
18,0,0
19,0,0
20,1,0
21,1,0
22,0,0
23,0,0
24,0,0
25,0,0
26,1,0
27,0,0
28,0,0
29,0,0
30,1,0
31,0,0
32,0,0
33,0,0
34,0,0
35,1,0
36,0,0
37,0,0
38,1,0
39,1,0
40,0,0
41,1,0
42,1,0
43,0,0
44,0,0
45,1,0
46,0,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,0,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,0,0
61,1,0
62,0,0
63,0,0
64,1,0
65,0,0
66,0,0
67,1,0
68,1,0
69,0,0
70,0,0
71,0,0
72,1,0
73,1,0
74,0,0
75,1,0
76,0,0
77,1,0
78,1,0
79,0,0
80,1,0
81,0,0
82,0,0
83,0,0
84,0,0
85,1,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1,0
91,0,0
92,1,0
93,0,0
94,1,0
95,0,0
96,1,0
97,1,0
98,0,0
99,1,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,1,0
108,1,0
109,1,0
110,0,0
111,0,0
112,0,0
113,1,0
114,1,0
115,0,0
116,1,0
117,0,0
118,0,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,0,0
127,0,0
128,0,0
129,1,0
130,1,0
131,1,0
132,0,0
133,0,0
134,1,0
135,0,0
136,1,0
137,0,0
138,1,0
139,1,0
140,0,0
141,0,0
142,1,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,1,0
150,1,0
151,0,0
152,1,0
153,1,0
154,0,0
155,0,0
156,0,0
157,1,0
158,0,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,0,0
166,0,0
167,0,0
168,1,0
169,1,0
170,0,0
171,0,0
172,1,0
173,1,0
174,0,0
175,1,0
176,1,0
177,0,0
178,0,0
179,0,0
180,1,0
181,0,0
182,1,0
183,1,0
184,0,0
185,0,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,0,0
195,1,0
196,0,0
197,1,0
198,1,0
199,0,0
200,1,0
201,1,0
202,1,0
203,0,0
204,1,0
205,0,0
206,0,0
207,1,0
208,0,0
209,0,0
210,1,0
211,0,0
212,1,0
213,1,0
214,0,0
215,0,0
216,1,0
217,0,1
218,0,0
219,1,0
220,0,0
221,1,0
222,0,0
223,1,0
224,1,0
225,0,0
226,1,0
227,0,0
228,1,0
229,0,0
230,1,0
231,0,0
232,0,0
233,1,0
234,0,0
235,0,0
236,0,0
237,1,0
238,0,0
239,1,0
240,1,0
241,0,0
242,1,0
243,0,0
244,0,0
245,0,0
246,1,0
247,1,0
248,1,0
249,0,0
250,0,0
251,0,0
252,0,0
253,1,0
254,0,0
255,1,0
256,1,0
257,0,0
258,1,0
259,0,0
260,1,0
261,1,0
262,1,0
263,1,0
264,1,0
265,0,0
266,1,0
267,1,0
268,1,0
269,0,0
270,1,0
271,1,0
272,1,0
273,1,0
274,0,0
275,1,0
276,0,0
277,1,0
278,0,0
279,1,0
280,1,0
281,0,0
282,1,0
283,0,0
284,1,0
285,0,0
286,1,0
287,1,0
288,1,0
289,0,0
290,0,0
291,0,0
292,1,0
293,1,0
294,0,0
295,1,0
296,1,0
297,0,0
298,0,0
299,1,0
300,0,0
301,0,0
302,0,0
303,1,0
304,0,0
305,1,0
306,0,0
307,0,0
308,0,0
309,1,0
310,1,0
311,0,0
312,1,0
313,1,0
314,0,0
315,0,0
316,0,0
317,1,0
318,0,0
319,0,0
320,1,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,1,0
327,1,0
328,1,0
329,1,0
330,0,0
331,0,0
332,0,0
333,1,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,1,0
341,0,0
342,1,0
343,1,0
344,0,0
345,1,0
346,1,0
347,1,0
348,0,0
349,0,0
350,0,0
351,0,0
352,1,0
353,1,0
354,0,0
355,1,0
356,0,0
357,1,0
358,1,0
359,0,0
360,1,0
361,1,0
362,1,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,1,0
369,1,0
370,0,0
371,1,0
372,1,0
373,1,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,1,1
380,1,0
381,1,0
382,0,0
383,1,0
384,0,0
385,0,0
386,1,0
387,0,0
388,1,0
389,1,0
390,1,0
391,1,0
392,0,0
393,0,0
394,0,0
395,1,0
396,1,0
397,1,0
398,1,0
