,True_Label,Predicted_results
0,0,0.10057574
1,1,0.10363245
2,1,0.10659088
3,0,0.1063749
4,1,0.10270674
5,1,0.10450844
6,1,0.11750225
7,0,0.10508912
8,1,0.10188348
9,1,0.10669457
10,0,0.13469657
11,0,0.1065783
12,0,0.11083284
13,1,0.4940232
14,1,0.11025111
15,1,0.106794186
16,1,0.116067864
17,0,0.10899599
18,1,0.109363236
19,1,0.116966225
20,0,0.09760075
21,1,0.09916829
22,1,0.10028706
23,1,0.10780877
24,1,0.104947075
25,0,0.109445035
26,1,0.24892564
27,1,0.13195844
28,1,0.096338265
29,0,0.16244322
30,1,0.10580244
31,1,0.10605179
32,1,0.10717259
33,0,0.6867179
34,0,0.11190804
35,1,0.09841377
36,1,0.11566882
37,1,0.12545665
38,0,0.10339311
39,1,0.101165146
40,1,0.10239759
41,0,0.123080306
42,0,0.10526331
43,1,0.11265821
44,0,0.10462978
45,0,0.100043945
46,1,0.12383338
47,0,0.15969378
48,0,0.113211416
49,0,0.12164932
50,1,0.11099364
51,1,0.10925486
52,1,0.10124781
53,0,0.11489214
54,1,0.13183357
55,1,0.10400643
56,1,0.09877252
57,0,0.106333055
58,1,0.09815423
59,1,0.122542895
60,1,0.09939073
61,1,0.10173044
62,0,0.15093397
63,1,0.10387208
64,1,0.10843073
65,0,0.107895896
66,0,0.10508119
67,0,0.1244951
68,0,0.10852625
69,1,0.42390022
70,0,0.10881254
71,1,0.105692916
72,0,0.1001193
73,1,0.109021686
74,1,0.107200086
75,1,0.39878187
76,1,0.123098396
77,1,0.106554195
78,1,0.1064285
79,1,0.19913185
80,1,0.10791813
81,0,0.1034345
82,0,0.10376038
83,0,0.1046703
84,0,0.10775134
85,1,0.1064279
86,1,0.10915593
87,1,0.10821299
88,0,0.09966621
89,1,0.10981008
90,0,0.097258165
91,0,0.10717895
92,1,0.12536696
93,1,0.108478606
94,1,0.104027964
95,0,0.10402684
96,0,0.096450776
97,0,0.115063325
98,1,0.12955934
99,1,0.108769156
100,1,0.09794834
101,1,0.099712655
102,0,0.10707569
103,1,0.10725103
104,0,0.10256142
105,0,0.10169913
106,0,0.10684062
107,0,0.1121684
108,1,0.10071502
109,0,0.10491934
110,0,0.101806976
111,1,0.104404576
112,0,0.10327728
113,0,0.10322485
114,0,0.109676786
115,1,0.10723846
116,1,0.101873636
117,0,0.104829736
118,1,0.11544308
119,0,0.108931996
120,1,0.10730163
121,1,0.12222286
122,1,0.11983179
123,1,0.0989218
124,1,0.10388496
125,1,0.10987087
126,1,0.10377563
127,1,0.1300385
128,0,0.1050064
129,0,0.13302171
130,0,0.113468766
131,1,0.10880877
132,0,0.10789671
133,1,0.116232805
134,0,0.109187976
135,1,0.2210927
136,0,0.1236797
137,1,0.09695687
138,1,0.10359542
139,0,0.11990955
140,0,0.102773726
141,0,0.11852818
142,1,0.107684426
143,0,0.10296652
144,0,0.1357972
145,0,0.10586677
146,1,0.107209235
147,0,0.103277475
148,0,0.1061648
149,0,0.15716518
150,1,0.10769941
151,0,0.12141777
152,1,0.16912177
153,1,0.13280149
154,1,0.109389156
155,0,0.098576546
156,0,0.09639962
157,0,0.10728152
158,0,0.11239145
159,1,0.14704888
160,1,0.12098448
161,1,0.112552956
162,0,0.10710028
163,1,0.10407707
164,1,0.16360565
165,1,0.109071545
166,1,0.108544506
167,0,0.10862876
168,0,0.109339215
169,0,0.098783836
170,1,0.098923646
171,0,0.11976503
172,0,0.10518286
173,1,0.105757184
174,1,0.101426125
175,1,0.10255847
176,1,0.15205982
177,1,0.11037234
178,0,0.10836353
179,0,0.10173328
180,0,0.10632691
181,0,0.10606404
182,1,0.113985784
183,1,0.24892323
184,1,0.11129837
185,0,0.10257287
186,0,0.11008046
187,0,0.120296404
188,0,0.101329036
189,1,0.09926789
190,1,0.10816283
191,1,0.104672834
192,0,0.09735634
193,1,0.115788214
194,1,0.10489209
195,1,0.10205507
196,1,0.114235416
197,1,0.12341196
198,0,0.09738446
199,1,0.10594275
200,0,0.10532223
201,0,0.104677744
202,1,0.18066476
203,1,0.10129537
204,0,0.32901907
205,1,0.10439392
206,1,0.104232624
207,0,0.0989671
208,0,0.11562805
209,0,0.10502715
210,1,0.105410285
211,1,0.11366673
212,0,0.112844825
213,1,0.1040509
214,1,0.10209188
215,0,0.10407512
216,1,0.10536225
217,1,0.10605769
218,0,0.10465272
219,1,0.12904172
220,0,0.11021791
221,0,0.107891805
222,0,0.11825131
223,0,0.113967374
224,0,0.14682563
225,0,0.14203957
226,0,0.14836958
227,1,0.11868308
228,0,0.10476879
229,1,0.1008384
230,1,0.107600115
231,1,0.0996988
232,1,0.10107208
233,0,0.104812555
234,0,0.103426896
235,0,0.09644347
236,1,0.104626074
237,0,0.10418927
238,0,0.12338848
239,0,0.104903765
240,1,0.10286038
241,1,0.105299704
242,0,0.10586222
243,1,0.100902915
244,0,0.1023083
245,1,0.12835063
246,1,0.11712219
247,1,0.10124455
248,0,0.11254842
249,1,0.103010066
250,0,0.104613245
251,1,0.103855714
252,0,0.32807902
253,1,0.10656739
254,1,0.10378781
255,1,0.11080179
256,1,0.11283898
257,1,0.102931686
258,1,0.15389432
259,0,0.10611544
260,1,0.1026345
261,1,0.10380655
262,1,0.10323026
263,0,0.111085705
264,0,0.104999736
265,1,0.10066158
266,1,0.108682655
267,0,0.10941259
268,1,0.09740461
269,0,0.115909666
270,1,0.10645219
271,1,0.110331826
272,1,0.107270576
273,1,0.09501511
274,0,0.122848466
275,1,0.11833603
276,1,0.10953337
277,1,0.10554065
278,0,0.11626161
279,1,0.10494748
280,1,0.11247369
281,0,0.100903384
282,1,0.102551825
283,0,0.104713276
284,0,0.18821107
285,0,0.10608409
286,1,0.10349382
287,1,0.12355786
288,1,0.09927062
289,1,0.23248313
290,0,0.10715113
291,1,0.18686466
292,0,0.09967971
293,0,0.0964432
294,0,0.1004709
295,1,0.09978863
296,1,0.24426274
297,1,0.11892601
298,0,0.12878518
299,1,0.17226401
300,1,0.11104199
301,1,0.10797493
302,0,0.103596814
303,1,0.09757255
304,0,0.11508429
305,1,0.105730414
306,0,0.10787761
307,1,0.103859074
308,1,0.10560978
309,0,0.13421278
310,0,0.10142147
