,True_Label,Predicted_results
0,1,0.11494819
1,1,0.11478652
2,1,0.10497447
3,1,0.1816178
4,1,0.27092046
5,0,0.09919659
6,1,0.100095935
7,0,0.098739825
8,1,0.088792235
9,0,0.12509885
10,0,0.116144255
11,1,0.11995569
12,1,0.18099365
13,0,0.10561848
14,1,0.09580254
15,0,0.12624346
16,1,0.09849025
17,1,0.088815875
18,0,0.10564991
19,0,0.12084864
20,1,0.10844889
21,1,0.097054765
22,1,0.099563114
23,0,0.10065768
24,0,0.11544766
25,0,0.09284292
26,1,0.1172465
27,1,0.109344006
28,0,0.12276136
29,0,0.10659199
30,1,0.115154065
31,1,0.10859836
32,0,0.116254725
33,0,0.13023901
34,0,0.100391254
35,1,0.107503474
36,0,0.11514857
37,0,0.09144697
38,1,0.094124205
39,1,0.46069697
40,0,0.10713175
41,1,0.10985082
42,0,0.13084644
43,0,0.11657028
44,0,0.10382141
45,0,0.108534195
46,0,0.118282475
47,1,0.1178329
48,0,0.13270016
49,1,0.1042058
50,1,0.117223114
51,1,0.117285974
52,1,0.10145457
53,1,0.109499
54,1,0.117522426
55,0,0.09069521
56,1,0.10428733
57,1,0.10807952
58,1,0.10795543
59,1,0.11379982
60,1,0.1015879
61,1,0.15007164
62,0,0.10312512
63,1,0.12127993
64,0,0.111156695
65,0,0.13544323
66,0,0.10517307
67,1,0.113477536
68,1,0.11767027
69,1,0.13208549
70,0,0.12026303
71,0,0.12366176
72,1,0.13141228
73,0,0.1116376
74,0,0.11367331
75,1,0.106338106
76,0,0.11520039
77,0,0.09712561
78,0,0.096926555
79,0,0.103053465
80,1,0.10485743
81,0,0.10446128
82,0,0.11180018
83,0,0.29556865
84,0,0.087591715
85,1,0.097694464
86,0,0.113292105
87,1,0.110245876
88,0,0.109544806
89,0,0.112674
90,0,0.115747124
91,0,0.10927017
92,0,0.105791226
93,0,0.10073973
94,1,0.104245625
95,0,0.10485583
96,1,0.104765885
97,1,0.13091944
98,0,0.10132419
99,1,0.10762726
100,0,0.101870276
101,0,0.10949182
102,0,0.118078284
103,0,0.11115826
104,0,0.09707547
105,1,0.107656986
106,0,0.1090176
107,0,0.12127689
108,1,0.1082317
109,1,0.103290506
110,0,0.13788988
111,0,0.12353626
112,0,0.11859498
113,1,0.10194091
114,1,0.11019556
115,1,0.106943995
116,1,0.10793669
117,1,0.10158605
118,0,0.11953807
119,1,0.10420128
120,1,0.114161335
121,1,0.10561237
122,1,0.11928375
123,1,0.10024327
124,1,0.11152284
125,1,0.10978914
126,1,0.10023499
127,1,0.09656456
128,0,0.12917314
129,1,0.11761824
130,1,0.10692138
131,1,0.13473763
132,1,0.15391678
133,1,0.12592696
134,1,0.10383594
135,0,0.10620966
136,1,0.13329685
137,0,0.10685208
138,1,0.09443655
139,1,0.08403307
140,1,0.11014306
141,0,0.11255175
142,1,0.1176468
143,0,0.109626904
144,0,0.10869187
145,0,0.11344249
146,0,0.09456577
147,0,0.10525017
148,0,0.112922795
149,1,0.100156985
150,1,0.10714773
151,1,0.1046315
152,1,0.12084495
153,1,0.1238987
154,1,0.10670623
155,0,0.1059232
156,0,0.120036446
157,1,0.12858488
158,0,0.11362475
159,0,0.10554782
160,1,0.11381615
161,1,0.093112074
162,1,0.09691002
163,1,0.13121116
164,0,0.10828234
165,1,0.11211075
166,0,0.117607035
167,0,0.3283268
168,1,0.10042892
169,0,0.09646289
170,0,0.10904065
171,0,0.114133716
172,1,0.12107934
173,1,0.115816325
174,0,0.10855551
175,1,0.09140661
176,1,0.20796596
177,0,0.09845097
178,0,0.10680991
179,0,0.56955177
180,1,0.1824068
181,1,0.10610923
182,1,0.1117598
183,1,0.11777364
184,0,0.120761
185,0,0.15623322
186,1,0.087794565
187,1,0.11490195
188,1,0.10885331
189,1,0.116310306
190,1,0.100090496
191,1,0.10885742
192,1,0.3499733
193,1,0.10859079
194,0,0.12334583
195,1,0.11229293
196,0,0.09810883
197,1,0.1354292
198,1,0.10658861
199,0,0.09660154
200,1,0.21907839
201,0,0.10767258
202,0,0.12090775
203,1,0.098203115
204,1,0.10613655
205,1,0.18543145
206,0,0.1068041
207,1,0.11365484
208,1,0.10602532
209,0,0.10958249
210,1,0.099860474
211,0,0.1017831
212,1,0.100053966
213,1,0.10987598
214,0,0.12286391
215,0,0.12670407
216,1,0.09869324
217,0,0.097883426
218,0,0.10406503
219,1,0.10465019
220,0,0.115219384
221,0,0.106153905
222,0,0.11815186
223,1,0.11342691
224,1,0.11215103
225,1,0.101059675
226,1,0.101896964
227,1,0.10181848
228,1,0.102731146
229,0,0.096401066
230,1,0.0826976
231,1,0.11389746
232,0,0.10963924
233,1,0.108698316
234,0,0.08988568
235,0,0.1006998
236,0,0.1356483
237,1,0.103825316
238,0,0.22291362
239,1,0.119470246
240,1,0.10775972
241,1,0.1038278
242,1,0.10540943
243,0,0.10496206
244,0,0.11610268
245,1,0.11942211
246,1,0.10728094
247,1,0.09700862
248,1,0.10552552
249,1,0.11372283
250,1,0.13687699
251,0,0.1072553
252,1,0.09337295
253,1,0.10408518
254,0,0.14335231
255,1,0.10527438
256,1,0.1248975
257,0,0.11037949
258,0,0.10957183
259,0,0.1625154
260,1,0.104445
261,0,0.11379825
262,0,0.100440755
263,1,0.10449729
264,0,0.09573629
265,0,0.103668205
266,1,0.09977667
267,1,0.12023378
268,1,0.106951624
269,1,0.11438341
270,0,0.109080374
271,1,0.0851885
272,1,0.112226985
273,1,0.09868474
274,1,0.12152234
275,1,0.11003912
276,1,0.12308177
277,1,0.09593033
278,0,0.1036257
279,1,0.10509278
280,1,0.13250756
281,1,0.12026584
282,1,0.11075927
283,0,0.12184662
284,1,0.09958167
285,0,0.15029113
286,1,0.11018744
287,1,0.097816885
288,1,0.10369804
289,0,0.13143949
290,0,0.11805932
291,0,0.09989598
292,1,0.11596516
293,1,0.09733169
294,0,0.12146886
295,1,0.116781846
296,1,0.11193845
297,0,0.099165164
298,1,0.09498686
299,1,0.1093833
300,0,0.13764367
301,0,0.114313215
302,0,0.10954343
303,0,0.11226556
304,0,0.13271819
305,0,0.12058871
306,0,0.10747094
307,0,0.10476774
308,1,0.76543003
309,1,0.11523414
310,0,0.09961596
311,0,0.09395888
312,1,0.11434013
313,1,0.13053341
314,0,0.109369226
315,0,0.13308744
316,1,0.12344494
317,1,0.13705206
318,1,0.10654054
319,0,0.1105221
320,1,0.12420447
321,0,0.10919167
322,0,0.11390328
323,0,0.112630285
324,0,0.10818537
325,0,0.11798674
326,0,0.18188624
327,1,0.12663078
328,0,0.114677995
329,1,0.10971147
330,1,0.11796816
331,1,0.10821807
332,0,0.106194794
333,1,0.10555374
334,0,0.08787944
335,1,0.09561633
336,0,0.13871345
337,0,0.1405255
338,0,0.11238363
339,0,0.12089279
340,1,0.10928934
341,0,0.105366945
342,1,0.09713172
343,1,0.11731592
344,0,0.13890803
345,0,0.13393639
346,1,0.10075958
347,1,0.08935495
348,0,0.11059811
349,1,0.10827257
350,1,0.10021594
351,0,0.120129794
352,1,0.10903277
353,1,0.099335454
354,0,0.086919986
355,1,0.12774096
356,1,0.11239894
357,0,0.1161258
358,1,0.10157434
359,0,0.104219906
360,1,0.104377456
361,1,0.111675456
362,1,0.10357466
363,1,0.09552347
364,1,0.09054463
365,0,0.10251615
366,0,0.11190812
367,0,0.13243769
368,1,0.11230074
369,1,0.09307835
370,1,0.15192561
371,1,0.101636484
372,1,0.10603966
373,1,0.12902804
374,0,0.100356326
375,0,0.12355923
376,0,0.12153139
377,0,0.10071867
378,0,0.1227634
379,0,0.11540503
380,0,0.09544623
381,0,0.111043856
382,0,0.094528526
383,1,0.10213577
384,1,0.118033834
385,0,0.09790312
386,0,0.10714344
387,0,0.11553449
388,1,0.09517806
389,1,0.12498027
390,1,0.3646379
391,1,0.12405683
392,1,0.11635393
393,0,0.09191749
394,0,0.10378641
395,1,0.09806418
396,1,0.09539583
397,0,0.11051788
398,1,0.10337694
399,1,0.116314895
400,1,0.09620678
401,1,0.124096505
402,1,0.10297137
403,1,0.1283894
404,1,0.11554772
405,1,0.11297135
406,1,0.104440205
407,1,0.120425135
408,0,0.10842746
409,0,0.10184472
410,1,0.09973017
411,1,0.12118388
412,1,0.10303463
413,1,0.13640007
414,1,0.10200984
415,0,0.10264476
416,0,0.122792326
417,1,0.11647168
418,1,0.103504375
419,1,0.12746385
420,1,0.10334217
421,1,0.10566842
422,1,0.12001917
423,0,0.12212325
424,0,0.11206005
425,1,0.116505496
426,1,0.10456014
427,1,0.105393864
428,1,0.10986625
429,1,0.11215191
430,0,0.09670938
431,0,0.12041082
432,0,0.10175588
433,1,0.12638706
434,1,0.11191974
435,1,0.10158988
436,1,0.10603029
437,1,0.10644785
438,1,0.11919244
439,0,0.10888
440,1,0.09381732
441,1,0.10614208
442,0,0.12075923
443,1,0.10939991
444,0,0.10512585
445,0,0.10756922
446,1,0.100928366
447,1,0.102808684
448,1,0.1385027
449,1,0.10435561
450,0,0.09709428
451,0,0.12520684
452,0,0.09296818
453,1,0.114001974
454,1,0.098800965
455,1,0.102283075
456,1,0.29267088
457,1,0.10873492
458,1,0.1195318
459,1,0.106164105
460,1,0.10607684
461,1,0.09802736
462,1,0.09909484
463,0,0.09523345
464,0,0.109984435
465,0,0.10103213
466,0,0.36705703
467,1,0.11490776
