,True_Label,Predicted_results
0,1,0.08646193
1,0,0.08905562
2,0,0.10018684
3,1,0.08184107
4,0,0.08081077
5,1,0.08644552
6,1,0.08820605
7,0,0.08510508
8,1,0.085267745
9,0,0.08829648
10,0,0.086711936
11,1,0.08904689
12,0,0.08585051
13,0,0.086814746
14,1,0.09259541
15,1,0.0759237
16,1,0.08187406
17,1,0.085728996
18,0,0.08370697
19,0,0.07817932
20,1,0.09093109
21,1,0.09163001
22,0,0.08053433
23,0,0.08586684
24,0,0.0848234
25,0,0.08942765
26,1,0.08360945
27,0,0.08513446
28,0,0.09328344
29,0,0.10101172
30,1,0.08252964
31,0,0.09309133
32,0,0.08460172
33,0,0.086538404
34,0,0.08252383
35,1,0.8049826
36,0,0.08634749
37,0,0.08903522
38,1,0.08333473
39,1,0.08046381
40,0,0.080382876
41,1,0.080097176
42,1,0.0909217
43,0,0.08434435
44,0,0.08969831
45,1,0.08342019
46,0,0.081241846
47,1,0.08698168
48,1,0.08780744
49,1,0.07995225
50,1,0.08170657
51,1,0.08519029
52,0,0.08554117
53,1,0.086939596
54,1,0.07965062
55,1,0.07946248
56,1,0.079661705
57,1,0.08270429
58,1,0.09897707
59,1,0.08913986
60,0,0.08533676
61,1,0.097349286
62,0,0.096539475
63,0,0.10124837
64,1,0.08422764
65,0,0.10913554
66,0,0.083318174
67,1,0.09222007
68,1,0.08176574
69,0,0.092352785
70,0,0.08367843
71,0,0.08499444
72,1,0.07989055
73,1,0.079964906
74,0,0.07835602
75,1,0.08512496
76,0,0.085882895
77,1,0.08356865
78,1,0.07666589
79,0,0.078564085
80,1,0.08096133
81,0,0.080151126
82,0,0.08342125
83,0,0.26964697
84,0,0.0784234
85,1,0.07718348
86,0,0.08853463
87,0,0.08918056
88,0,0.08159764
89,0,0.098870106
90,1,0.088392034
91,0,0.07371985
92,1,0.084202915
93,0,0.07696446
94,1,0.44512329
95,0,0.08291273
96,1,0.09819441
97,1,0.07865496
98,0,0.08180702
99,1,0.083920345
100,0,0.12957786
101,0,0.08603356
102,0,0.083668865
103,0,0.087694794
104,0,0.0808661
105,0,0.087693
106,0,0.08616019
107,1,0.08865794
108,1,0.0886018
109,1,0.118983515
110,0,0.08774595
111,0,0.08888381
112,0,0.095142365
113,1,0.21637335
114,1,0.08893518
115,0,0.079311885
116,1,0.08736768
117,0,0.08878462
118,0,0.08241436
119,1,0.0812702
120,1,0.08744398
121,1,0.07963804
122,1,0.082084365
123,1,0.08291427
124,1,0.085822344
125,1,0.08684779
126,0,0.08225111
127,0,0.0885633
128,0,0.11541945
129,1,0.08463875
130,1,0.085022725
131,1,0.08336646
132,0,0.08063814
133,0,0.08479472
134,1,0.09140673
135,0,0.09594425
136,1,0.08766151
137,0,0.08279774
138,1,0.08366574
139,1,0.08832017
140,0,0.086454295
141,0,0.08330736
142,1,0.09429526
143,0,0.08339895
144,0,0.084594354
145,0,0.08560897
146,0,0.08560097
147,0,0.08735695
148,0,0.084630415
149,1,0.08387498
150,1,0.07870975
151,0,0.08039751
152,1,0.07645905
153,1,0.09227697
154,0,0.20901228
155,0,0.08200843
156,0,0.08210523
157,1,0.08278849
158,0,0.07272097
159,1,0.07943598
160,1,0.08629227
161,1,0.085126795
162,1,0.08397805
163,1,0.09162543
164,1,0.086226344
165,0,0.090575606
166,0,0.09679563
167,0,0.08116554
168,1,0.08721272
169,1,0.07792474
170,0,0.08716292
171,0,0.092176884
172,1,0.08005627
173,1,0.08716615
174,0,0.08789011
175,1,0.08372917
176,1,0.07686893
177,0,0.09947638
178,0,0.08783583
179,0,0.08460449
180,1,0.08155482
181,0,0.08832137
182,1,0.07947008
183,1,0.08130098
184,0,0.09400251
185,0,0.08143971
186,1,0.07950196
187,1,0.081970975
188,1,0.09476584
189,1,0.08518477
190,1,0.089537285
191,1,0.08699734
192,1,0.08199322
193,1,0.08492417
194,0,0.082181595
195,1,0.12858464
196,0,0.081346005
197,1,0.08531274
198,1,0.091081806
199,0,0.085646
200,1,0.08042898
201,1,0.08619699
202,1,0.09149019
203,0,0.09444339
204,1,0.08543805
205,0,0.07693432
206,0,0.2225087
207,1,0.080801316
208,0,0.12682252
209,0,0.08226005
210,1,0.08717843
211,0,0.08023677
212,1,0.12111267
213,1,0.10630213
214,0,0.10539972
215,0,0.09250528
216,1,0.081254296
217,0,0.08619049
218,0,0.086462915
219,1,0.086911626
220,0,0.0804865
221,1,0.089257725
222,0,0.08283412
223,1,0.09044687
224,1,0.0826747
225,0,0.08820289
226,1,0.09244511
227,0,0.08786119
228,1,0.11814389
229,0,0.09160368
230,1,0.081146285
231,0,0.083450034
232,0,0.082789555
233,1,0.12297232
234,0,0.0847878
235,0,0.08347907
236,0,0.07947627
237,1,0.08716007
238,0,0.08005489
239,1,0.0817369
240,1,0.08205369
241,0,0.086452425
242,1,0.09909222
243,0,0.085342206
244,0,0.076479524
245,0,0.07697956
246,1,0.08383256
247,1,0.0744302
248,1,0.07783273
249,0,0.08212595
250,0,0.080521815
251,0,0.074171364
252,0,0.09089366
253,1,0.075640894
254,0,0.07880142
255,1,0.08675889
256,1,0.086429626
257,0,0.081273794
258,1,0.07500671
259,0,0.084023505
260,1,0.07446936
261,1,0.086766936
262,1,0.07669885
263,1,0.08561714
264,1,0.09219652
265,0,0.084577456
266,1,0.09324947
267,1,0.091370896
268,1,0.08082877
269,0,0.078825936
270,1,0.084038414
271,1,0.2934098
272,1,0.0910232
273,1,0.086588606
274,0,0.09898806
275,1,0.082777336
276,0,0.09828838
277,1,0.08006302
278,0,0.08660963
279,1,0.08040078
280,1,0.08874158
281,0,0.0863169
282,1,0.08402002
283,0,0.089447066
284,1,0.08178716
285,0,0.081221886
286,1,0.09027429
287,1,0.08223127
288,1,0.07896787
289,0,0.08044454
290,0,0.10043096
291,0,0.085781805
292,1,0.09300496
293,1,0.09247598
294,0,0.08597923
295,1,0.09103397
296,1,0.08588697
297,0,0.10348767
298,0,0.08240408
299,1,0.08211995
300,0,0.09099758
301,0,0.08736126
302,0,0.10421913
303,1,0.0939751
304,0,0.07484843
305,1,0.07860728
306,0,0.08655158
307,0,0.08196457
308,0,0.096260086
309,1,0.085857704
310,1,0.08269973
311,0,0.07885812
312,1,0.081102885
313,1,0.0867258
314,0,0.07842524
315,0,0.089252315
316,0,0.08369507
317,1,0.09021605
318,0,0.080107294
319,0,0.06923951
320,1,0.08277322
321,0,0.08612954
322,0,0.07945369
323,0,0.07884269
324,0,0.079963095
325,0,0.08697142
326,1,0.08215692
327,1,0.07703474
328,1,0.08800454
329,1,0.08410375
330,0,0.080120064
331,0,0.08580547
332,0,0.097992145
333,1,0.084012315
334,0,0.07343969
335,0,0.09474046
336,0,0.0947751
337,0,0.07889747
338,0,0.078344755
339,0,0.079986416
340,1,0.077623665
341,0,0.086070046
342,1,0.07983973
343,1,0.08207568
344,0,0.08230163
345,1,0.083559535
346,1,0.08218029
347,1,0.09275072
348,0,0.08416916
349,0,0.086013414
350,0,0.08572964
351,0,0.08579573
352,1,0.08335362
353,1,0.08124724
354,0,0.091779254
355,1,0.081801176
356,0,0.08115924
357,1,0.07953191
358,1,0.08541883
359,0,0.08264108
360,1,0.0880846
361,1,0.08074663
362,1,0.08681004
363,0,0.07908354
364,0,0.077557236
365,0,0.09903517
366,0,0.08087503
367,0,0.077593625
368,1,0.08722181
369,1,0.07956715
370,0,0.077162
371,1,0.08170746
372,1,0.07910274
373,1,0.077774525
374,0,0.08048066
375,0,0.0857394
376,0,0.083893664
377,0,0.076947846
378,0,0.08992066
379,1,0.091148555
380,1,0.09628412
381,1,0.07919384
382,0,0.0988393
383,1,0.083602265
384,0,0.09275254
385,0,0.08305541
386,1,0.08199505
387,0,0.09743243
388,1,0.078928
389,1,0.11395463
390,1,0.081382096
391,1,0.09013708
392,0,0.08429866
393,0,0.115664706
394,0,0.08074357
395,1,0.101849824
396,1,0.082516916
397,1,0.090998866
398,1,0.07962647
399,1,0.07935199
400,0,0.08948277
401,1,0.08549953
402,1,0.07681069
403,0,0.08211944
404,0,0.083828695
405,0,0.098212354
406,0,0.07989323
407,1,0.078329876
408,0,0.08964857
409,0,0.08037326
410,0,0.08404004
411,1,0.08750673
412,0,0.08473917
413,0,0.08931375
414,1,0.08657962
415,0,0.089452796
416,0,0.08418189
417,1,0.09217725
418,1,0.089782774
419,0,0.09500067
420,0,0.09013897
421,1,0.09369756
422,1,0.088486165
423,1,0.08003204
424,0,0.08405834
425,1,0.07743571
426,1,0.09436688
427,0,0.09919572
428,1,0.09025038
429,1,0.08935409
430,0,0.08236721
431,0,0.08866472
432,1,0.11474398
433,1,0.078620456
434,0,0.09125938
435,0,0.07854859
436,1,0.084719665
437,0,0.6959971
438,0,0.07452109
439,0,0.07954802
440,0,0.08188327
441,1,0.0817061
442,0,0.0737106
443,1,0.40170115
444,1,0.08523779
445,1,0.081514254
446,0,0.08075177
447,0,0.084707335
448,0,0.08134719
449,0,0.08355355
450,1,0.0792899
451,0,0.083895706
452,1,0.08216711
453,1,0.086928464
454,1,0.08200751
455,0,0.16604866
456,1,0.095865116
457,0,0.088475466
458,1,0.09673412
459,1,0.07842981
460,0,0.07926397
461,0,0.09528709
462,0,0.08058625
463,0,0.08921137
464,1,0.089018464
465,0,0.08770004
466,0,0.08785538
467,1,0.08579973
468,1,0.0867767
469,0,0.10103213
470,1,0.11158129
471,1,0.7952471
472,0,0.094053805
473,1,0.08974126
474,0,0.10217614
475,1,0.08499377
476,0,0.09353541
477,1,0.08417927
478,0,0.08627578
479,1,0.07209179
480,1,0.100872464
481,1,0.08173301
482,0,0.085948616
483,1,0.2967908
484,1,0.09631181
485,1,0.11424622
486,0,0.29849654
487,0,0.081037976
488,1,0.082115486
489,1,0.08157968
490,0,0.08695869
491,1,0.08570113
492,1,0.082848646
493,1,0.078748845
494,1,0.083524756
495,1,0.10826811
496,0,0.088125184
497,0,0.09343784
498,0,0.08429081
499,0,0.08367417
500,0,0.1006111
501,1,0.0849302
502,0,0.40605637
503,1,0.08498808
504,0,0.07804233
505,0,0.088842615
506,0,0.13011977
507,1,0.08277594
508,0,0.08131726
509,1,0.08175382
510,0,0.08561012
511,0,0.08062469
512,0,0.08425329
513,0,0.08687025
514,1,0.08369633
515,1,0.089779854
516,0,0.092061356
517,0,0.0811541
518,0,0.08243697
519,0,0.085652255
520,0,0.08635647
521,0,0.08216767
522,1,0.08589558
523,0,0.09726589
524,1,0.08057333
525,1,0.09760685
526,1,0.10879623
527,1,0.09372992
528,1,0.085246176
529,1,0.09115958
530,0,0.07854959
531,1,0.08128681
532,0,0.08641591
533,0,0.078519985
534,1,0.085636295
535,1,0.12883407
536,0,0.101631075
537,1,0.08316498
538,1,0.08153401
539,0,0.07657819
540,1,0.08611962
541,0,0.08280512
542,0,0.100837804
543,1,0.09000643
544,1,0.10129209
545,0,0.08341683
546,0,0.08641748
547,1,0.08820691
548,0,0.094418816
549,0,0.079480104
550,0,0.085023485
551,1,0.083191685
552,1,0.099577576
553,1,0.08022331
554,1,0.07942283
555,1,0.08198354
556,0,0.08226867
557,0,0.081405506
558,0,0.09188884
559,0,0.0893423
560,0,0.08661113
561,0,0.08497079
562,1,0.08738054
563,1,0.08022546
564,1,0.086721316
565,0,0.07817642
566,0,0.07775837
567,1,0.077131175
568,1,0.09827046
569,0,0.084174685
570,1,0.60153735
571,1,0.19409537
572,0,0.09225604
573,1,0.080161266
574,1,0.08322792
575,0,0.07669295
576,0,0.08108975
577,1,0.07790399
578,0,0.09175391
579,1,0.075331256
580,0,0.08040435
581,0,0.08129698
582,1,0.08553035
583,1,0.081071615
584,0,0.089642964
585,1,0.11118379
586,1,0.08575835
587,1,0.0875121
588,1,0.14556454
589,0,0.08437667
590,0,0.07508523
591,1,0.0807812
592,0,0.083329394
593,1,0.09255355
594,1,0.08523246
595,1,0.08414431
596,1,0.08360439
597,0,0.09234047
598,1,0.08697937
599,0,0.08780541
600,0,0.09245778
601,0,0.1026225
602,0,0.08358288
603,1,0.08321338
604,0,0.09041643
605,0,0.081233285
606,0,0.093402795
607,1,0.083451554
608,0,0.091604695
609,1,0.08052822
610,0,0.08161524
611,0,0.084118605
612,0,0.08481757
613,0,0.08372244
614,0,0.090809435
615,1,0.08748557
616,1,0.09153057
617,1,0.085604705
618,0,0.082183994
619,0,0.09898511
620,0,0.09812678
621,1,0.08137693
622,0,0.080969654
623,0,0.083029196
624,1,0.09304558
625,0,0.085785694
626,1,0.09580293
627,0,0.08227029
628,1,0.09328465
629,0,0.08095396
630,1,0.08791274
631,0,0.08932777
632,0,0.08977379
633,1,0.08315907
634,1,0.081779495
635,1,0.10080505
636,0,0.08001214
637,1,0.09027894
638,0,0.09361972
639,1,0.07734726
640,0,0.07810433
641,1,0.085104376
642,1,0.08270888
643,0,0.08416615
644,0,0.08376807
645,0,0.08370849
646,1,0.08104808
647,0,0.08573368
648,1,0.07494698
649,1,0.07971148
650,1,0.11018497
651,0,0.0803621
652,0,0.08801365
653,0,0.28992137
654,0,0.085618876
655,0,0.07288883
656,1,0.082297765
657,1,0.09578333
658,0,0.085362226
659,0,0.08960476
660,1,0.08332794
661,1,0.098302774
662,0,0.08991824
663,1,0.08265729
664,0,0.08817413
665,1,0.09477089
666,1,0.096674345
667,1,0.07861212
668,1,0.07890064
669,1,0.089420795
670,1,0.08508867
671,0,0.08673128
672,1,0.09358977
673,0,0.08023682
674,1,0.09998674
675,0,0.10593695
676,0,0.08800246
677,1,0.09155134
678,1,0.08244716
679,0,0.0830845
680,1,0.08314164
681,1,0.08029036
682,0,0.078331366
683,0,0.084302455
684,1,0.08802283
685,0,0.0870502
686,1,0.09043138
687,0,0.09596846
688,1,0.08134081
689,0,0.08169832
690,1,0.08312031
691,1,0.079140514
692,1,0.08421336
693,1,0.07711736
694,0,0.08575441
695,1,0.07923044
696,0,0.083165385
697,1,0.0856377
698,1,0.08442314
699,1,0.09064633
700,0,0.09955142
701,1,0.08341284
702,0,0.089346066
703,0,0.08405645
704,0,0.07891027
705,0,0.1917711
706,0,0.088289514
707,0,0.07918849
708,1,0.09268168
709,0,0.076431915
710,1,0.08196368
711,1,0.085122764
712,1,0.080051355
713,1,0.083519414
714,0,0.0963705
715,0,0.08010777
716,1,0.082341775
717,1,0.08619283
718,1,0.079880156
719,1,0.0847502
720,1,0.09298517
721,0,0.08657692
722,0,0.08480031
723,0,0.07908479
724,0,0.08785997
725,0,0.08237566
726,0,0.08315404
727,1,0.08689218
728,0,0.08105819
729,0,0.08791668
730,0,0.08497208
731,0,0.08454101
732,0,0.07971059
733,1,0.08711446
734,1,0.08029725
735,1,0.08682011
736,1,0.08587318
737,1,0.0772275
738,1,0.080490164
739,0,0.08695933
740,1,0.08183733
741,1,0.09176459
742,0,0.10727496
743,0,0.08945456
744,1,0.09486034
745,1,0.0836006
746,0,0.08625443
747,0,0.08607008
748,0,0.08532554
749,1,0.08393804
750,0,0.08435047
751,1,0.08197212
752,1,0.08463849
753,0,0.08124069
754,1,0.08210361
755,1,0.07975597
756,1,0.09137916
757,0,0.1156628
758,0,0.08334356
759,0,0.08506267
760,1,0.08784065
761,1,0.08986505
762,0,0.08732015
763,0,0.0948016
764,1,0.083171144
765,1,0.09345286
766,1,0.097051695
767,1,0.0827375
768,1,0.085268036
769,1,0.081748605
770,0,0.08579066
771,1,0.08023393
772,1,0.088749506
773,1,0.08539391
774,0,0.087992735
775,0,0.090079136
776,1,0.082774326
777,0,0.08241558
778,1,0.086846724
779,1,0.08271722
780,1,0.08313468
781,1,0.089486495
782,0,0.078625314
783,0,0.090961635
784,1,0.08666611
785,1,0.078560375
786,0,0.07682875
787,0,0.090019256
788,1,0.080974005
789,0,0.083349645
790,1,0.084057644
791,0,0.09150124
792,1,0.09377874
793,1,0.08193572
794,0,0.08368586
795,0,0.08738982
796,1,0.085495666
797,1,0.07414195
798,0,0.085526675
799,1,0.0860218
800,1,0.081021175
801,1,0.14251484
802,1,0.07482432
803,1,0.081007436
804,1,0.07373834
805,0,0.08968447
806,0,0.079292245
807,1,0.08073332
808,1,0.07941799
809,1,0.08123081
810,1,0.08719177
811,0,0.07986652
812,0,0.116544835
813,0,0.096787065
814,0,0.09379437
815,0,0.078970455
816,1,0.08319273
817,0,0.081137784
818,1,0.09669134
819,0,0.08651378
820,0,0.083917215
821,0,0.087306656
822,0,0.084147856
823,0,0.10067255
824,0,0.51595515
825,0,0.07719941
826,0,0.080957495
827,1,0.08883107
828,1,0.084549464
829,1,0.082064174
830,1,0.088345766
831,1,0.08770472
832,0,0.08482438
833,1,0.084763534
834,1,0.08463604
835,0,0.10881096
836,0,0.08544049
837,1,0.080564685
838,1,0.09336638
839,0,0.08659645
840,0,0.084315024
841,1,0.096870594
842,0,0.08038112
843,0,0.07212108
844,1,0.2560619
845,1,0.08756782
846,0,0.08683507
847,0,0.07974778
848,1,0.07414062
849,1,0.08011508
850,0,0.089255124
851,0,0.07352406
852,1,0.07791515
853,1,0.0802714
854,0,0.07807329
855,1,0.0841345
856,0,0.08585699
857,1,0.092179604
858,1,0.084588245
859,0,0.08218525
860,1,0.086080514
861,0,0.08945899
862,1,0.07549937
863,0,0.08033361
864,1,0.16818817
865,0,0.08085287
866,0,0.081504084
867,0,0.084624305
868,1,0.08243601
869,0,0.081229106
870,1,0.092592545
871,0,0.117435135
872,1,0.10772235
873,1,0.3269245
874,1,0.086390704
875,1,0.09390706
876,0,0.092531204
877,0,0.0826917
878,1,0.08928299
879,0,0.08249608
880,0,0.08226068
881,1,0.087657414
882,1,0.08809086
883,1,0.08224909
884,1,0.07510989
885,0,0.107106
886,0,0.07617087
887,1,0.07937244
888,0,0.07375402
889,0,0.08630663
890,0,0.098486654
891,0,0.08487898
892,1,0.084533855
893,1,0.0816277
894,1,0.0849126
895,1,0.085251324
896,0,0.086889476
897,1,0.08148363
898,1,0.10317275
899,0,0.09171378
900,1,0.08374183
901,1,0.09410536
902,1,0.082654946
903,1,0.08502124
904,1,0.07632617
905,0,0.08548313
906,0,0.09164855
907,0,0.08712196
908,0,0.0856739
909,1,0.08742005
910,0,0.07765846
911,0,0.08794573
912,1,0.089731604
913,0,0.09037153
914,1,0.075467646
915,1,0.08715263
916,0,0.081117384
917,1,0.09598855
918,0,0.08124491
919,0,0.10642654
920,1,0.076010115
921,0,0.09915244
922,0,0.08013747
923,0,0.08848516
924,0,0.082271166
925,0,0.16418459
926,0,0.08533558
927,0,0.072523706
928,1,0.08273672
929,0,0.09072258
930,0,0.083935656
931,0,0.08967281
932,1,0.082895294
933,0,0.10513915
934,0,0.11386622
935,0,0.11145886
936,1,0.08911147
937,0,0.07853696
938,1,0.08730837
939,0,0.08758506
940,0,0.0829987
941,1,0.08121386
942,0,0.09119769
943,1,0.086745135
944,0,0.09044033
945,1,0.08468682
946,0,0.0896238
947,0,0.0848175
948,0,0.0883826
949,1,0.091743395
950,1,0.0907253
951,1,0.09059357
952,1,0.09046115
953,1,0.09917442
954,0,0.08152379
955,0,0.08995453
956,0,0.0866765
957,1,0.089145005
958,0,0.091741845
959,0,0.09096223
960,1,0.08917903
961,1,0.08367157
962,1,0.08664289
963,1,0.08177309
964,1,0.092626944
965,0,0.08343087
966,0,0.08355366
967,1,0.11776428
968,1,0.09050051
969,1,0.079064965
970,1,0.74848616
971,0,0.08496924
972,0,0.08122986
973,0,0.08869295
974,0,0.095831744
975,1,0.099230334
976,0,0.08134122
977,0,0.08463185
978,0,0.08917531
979,0,0.10001304
980,1,0.08616888
