,True_Label,Predicted_results
0,0,0.08543771
1,1,0.08836212
2,0,0.08714582
3,0,0.08046414
4,0,0.10391613
5,1,0.08909784
6,1,0.087283164
7,0,0.08569374
8,1,0.09104534
9,1,0.083347514
10,0,0.09506218
11,0,0.085622445
12,1,0.082215294
13,1,0.091317356
14,1,0.09539088
15,1,0.1425019
16,1,0.08715998
17,0,0.087535575
18,1,0.096203335
19,1,0.11264904
20,0,0.095620535
21,1,0.08424645
22,1,0.08737658
23,1,0.09164135
24,1,0.1153397
25,0,0.092052124
26,1,0.076180585
27,1,0.09716445
28,1,0.0858922
29,0,0.08502296
30,1,0.10091599
31,1,0.08265652
32,1,0.100088395
33,0,0.0824725
34,0,0.08282461
35,0,0.08907847
36,1,0.08578894
37,1,0.0745884
38,0,0.078763045
39,1,0.08212886
40,1,0.0912022
41,0,0.084635
42,0,0.098959684
43,1,0.08234492
44,0,0.08085265
45,0,0.07206544
46,1,0.083297096
47,0,0.09132333
48,0,0.10124355
49,0,0.12379876
50,1,0.38756567
51,1,0.08344134
52,1,0.080865175
53,0,0.09449711
54,1,0.3226403
55,1,0.086502135
56,1,0.08400246
57,0,0.092981145
58,1,0.15123226
59,1,0.085261986
60,0,0.07874239
61,1,0.13776848
62,1,0.08511835
63,0,0.08733211
64,1,0.08588798
65,0,0.08518962
66,0,0.07806027
67,0,0.08331885
68,0,0.13902606
69,1,0.08001263
70,1,0.09618289
71,1,0.08005583
72,0,0.088291
73,1,0.08138112
74,1,0.088717595
75,1,0.0910048
76,0,0.10835158
77,1,0.07504804
78,1,0.081841655
79,1,0.067996666
80,1,0.08986135
81,0,0.08094052
82,0,0.08452992
83,0,0.085609645
84,0,0.089269415
85,1,0.07859748
86,1,0.08597718
87,1,0.09903551
88,0,0.088798665
89,1,0.08690352
90,0,0.08483401
91,0,0.10294765
92,0,0.106201194
93,1,0.101327814
94,1,0.08685689
95,0,0.081710085
96,0,0.08510233
97,0,0.07579863
98,1,0.09372259
99,1,0.0872288
100,1,0.0824963
101,1,0.086213514
102,0,0.08668573
103,0,0.09604138
104,0,0.07763563
105,0,0.08296702
106,0,0.07926108
